
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 10.7000
2     6 0.002404  9.7520
3    14 0.007711  8.8860
4    16 0.015070  8.0970
5    25 0.023120  7.3770
6    29 0.031330  6.7220
7    33 0.039130  6.1250
8    36 0.046590  5.5810
9    37 0.053560  5.0850
10   37 0.060060  4.6330
11   36 0.066110  4.2220
12   37 0.071740  3.8470
13   37 0.076970  3.5050
14   38 0.081840  3.1930
15   38 0.086360  2.9100
16   37 0.090540  2.6510
17   36 0.094390  2.4160
18   36 0.097940  2.2010
19   35 0.101200  2.0060
20   36 0.104200  1.8270
21   33 0.107000  1.6650
22   33 0.109400  1.5170
23   32 0.111700  1.3820
24   31 0.113700  1.2600
25   31 0.115600  1.1480
26   31 0.117200  1.0460
27   30 0.118700  0.9528
28   29 0.120000  0.8682
29   28 0.121200  0.7911
30   27 0.122300  0.7208
31   28 0.123200  0.6567
32   28 0.124300  0.5984
33   31 0.125500  0.5452
34   32 0.126600  0.4968
35   32 0.127600  0.4527
36   31 0.128500  0.4125
37   31 0.129300  0.3758
38   32 0.130100  0.3424
39   34 0.130900  0.3120
40   37 0.131600  0.2843
41   39 0.132300  0.2590
42   40 0.132900  0.2360
43   41 0.133500  0.2151
44   41 0.134000  0.1959
45   43 0.134600  0.1785
46   44 0.135200  0.1627
47   45 0.135700  0.1482
48   47 0.136200  0.1351
49   47 0.136800  0.1231
50   47 0.137300  0.1121
51   48 0.137700  0.1022
52   47 0.138100  0.0931
53   47 0.138500  0.0848
54   48 0.138800  0.0773
55   48 0.139100  0.0704
56   49 0.139500  0.0642
57   49 0.139800  0.0585
58   52 0.140100  0.0533
59   51 0.140400  0.0485
60   53 0.140700  0.0442
61   55 0.141000  0.0403
62   57 0.141200  0.0367
63   58 0.141500  0.0335
64   60 0.141800  0.0305
65   61 0.142000  0.0278
66   68 0.142300  0.0253
67   72 0.142500  0.0231
68   74 0.142700  0.0210
69   81 0.142800  0.0191
70   89 0.143000  0.0174
71   90 0.143100  0.0159
72   93 0.143300  0.0145
73   94 0.143400  0.0132
74   96 0.143500  0.0120
75   96 0.143600  0.0110
76   97 0.143700  0.0100
77  102 0.143800  0.0091
78  103 0.143900  0.0083
79  104 0.144000  0.0076
80  104 0.144100  0.0069
81  105 0.144100  0.0063
82  106 0.144200  0.0057
83  106 0.144200  0.0052
84  107 0.144300  0.0047
85  108 0.144400  0.0043
86  108 0.144400  0.0039
87  109 0.144500  0.0036
88  109 0.144500  0.0033
89  109 0.144600  0.0030
90  108 0.144600  0.0027
91  107 0.144600  0.0025
92  108 0.144700  0.0023
93  108 0.144700  0.0021
94  108 0.144800  0.0019
95  109 0.144800  0.0017
96  107 0.144800  0.0016
97  108 0.144800  0.0014
98  109 0.144900  0.0013
99  111 0.144900  0.0012
100 113 0.144900  0.0011
