
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.42810
2    2 0.006302 0.39010
3    5 0.018210 0.35540
4    7 0.033000 0.32390
5    8 0.047880 0.29510
6   11 0.060650 0.26890
7   11 0.072210 0.24500
8   10 0.081790 0.22320
9   10 0.089720 0.20340
10  10 0.096300 0.18530
11   9 0.101800 0.16890
12   9 0.106300 0.15390
13  10 0.110100 0.14020
14  11 0.113300 0.12770
15  12 0.116100 0.11640
16  12 0.118300 0.10610
17  13 0.120200 0.09663
18  12 0.122000 0.08805
19  12 0.123400 0.08022
20  13 0.124500 0.07310
21  13 0.125400 0.06660
22  13 0.126200 0.06069
23  13 0.126800 0.05530
24  13 0.127400 0.05038
25  14 0.127800 0.04591
26  13 0.128200 0.04183
27  15 0.128800 0.03811
28  14 0.129600 0.03473
29  14 0.130300 0.03164
30  14 0.130800 0.02883
31  13 0.131300 0.02627
32  13 0.131600 0.02394
33  15 0.131900 0.02181
34  16 0.132300 0.01987
35  16 0.133000 0.01811
36  17 0.133600 0.01650
37  18 0.134100 0.01503
38  19 0.134500 0.01370
39  20 0.134900 0.01248
40  21 0.135300 0.01137
41  23 0.135800 0.01036
42  23 0.136400 0.00944
43  24 0.137000 0.00860
44  25 0.137600 0.00784
45  24 0.138100 0.00714
46  25 0.138500 0.00651
47  26 0.138900 0.00593
48  28 0.139400 0.00540
49  30 0.139900 0.00492
50  32 0.140400 0.00448
51  31 0.140800 0.00409
52  32 0.141200 0.00372
53  33 0.141600 0.00339
54  33 0.142000 0.00309
55  35 0.142200 0.00282
56  37 0.142500 0.00257
57  37 0.142700 0.00234
58  39 0.142900 0.00213
59  41 0.143100 0.00194
60  41 0.143300 0.00177
61  46 0.143400 0.00161
62  47 0.143500 0.00147
63  49 0.143600 0.00134
64  49 0.143700 0.00122
65  51 0.143800 0.00111
66  56 0.143900 0.00101
67  57 0.144000 0.00092
68  55 0.144000 0.00084
69  58 0.144100 0.00077
70  62 0.144200 0.00070
71  60 0.144200 0.00064
72  58 0.144300 0.00058
73  59 0.144400 0.00053
74  59 0.144500 0.00048
75  61 0.144600 0.00044
76  64 0.144600 0.00040
77  65 0.144700 0.00036
78  65 0.144700 0.00033
79  71 0.144800 0.00030
80  73 0.144900 0.00028
81  73 0.144900 0.00025
82  74 0.144900 0.00023
83  74 0.145000 0.00021
84  74 0.145000 0.00019
85  75 0.145000 0.00017
86  76 0.145000 0.00016
87  80 0.145000 0.00014
88  81 0.145100 0.00013
89  81 0.145100 0.00012
90  86 0.145100 0.00011
91  87 0.145100 0.00010
92  91 0.145100 0.00009
93  91 0.145100 0.00008
94  93 0.145200 0.00007
95  93 0.145200 0.00007
96  93 0.145200 0.00006
97  92 0.145200 0.00006
98  94 0.145200 0.00005
99  94 0.145200 0.00005
100 95 0.145200 0.00004
