
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.2800
2    2 0.007872  9.3650
3    2 0.014510  8.5330
4    2 0.020030  7.7750
5    2 0.024620  7.0840
6    2 0.028440  6.4550
7    2 0.031610  5.8810
8    2 0.034250  5.3590
9    2 0.036440  4.8830
10   2 0.038260  4.4490
11   4 0.040400  4.0540
12   4 0.042700  3.6940
13   6 0.046140  3.3660
14   6 0.049500  3.0670
15   6 0.052310  2.7940
16   6 0.054640  2.5460
17   6 0.056580  2.3200
18   6 0.058190  2.1140
19   7 0.059540  1.9260
20   7 0.060660  1.7550
21   7 0.061590  1.5990
22   8 0.062680  1.4570
23   8 0.064510  1.3270
24   8 0.066580  1.2100
25   8 0.068300  1.1020
26   8 0.069740  1.0040
27   8 0.070930  0.9150
28   9 0.072090  0.8337
29   9 0.073180  0.7596
30   9 0.074080  0.6921
31  10 0.074870  0.6306
32  10 0.075600  0.5746
33  10 0.076210  0.5236
34  11 0.076740  0.4771
35  11 0.077270  0.4347
36  11 0.077700  0.3961
37  13 0.080550  0.3609
38  13 0.087410  0.3288
39  15 0.093860  0.2996
40  16 0.099800  0.2730
41  16 0.105300  0.2487
42  16 0.110200  0.2266
43  16 0.114500  0.2065
44  18 0.118300  0.1882
45  17 0.121900  0.1714
46  18 0.125100  0.1562
47  18 0.127900  0.1423
48  19 0.130400  0.1297
49  21 0.132700  0.1182
50  21 0.134700  0.1077
51  21 0.136500  0.0981
52  22 0.137900  0.0894
53  23 0.139200  0.0814
54  23 0.140300  0.0742
55  23 0.141200  0.0676
56  24 0.142000  0.0616
57  24 0.142800  0.0561
58  24 0.143400  0.0512
59  22 0.143900  0.0466
60  23 0.144300  0.0425
61  23 0.144600  0.0387
62  23 0.144900  0.0353
63  24 0.145200  0.0321
64  25 0.145400  0.0293
65  25 0.145600  0.0267
66  26 0.145700  0.0243
67  26 0.145900  0.0221
68  28 0.146000  0.0202
69  29 0.146100  0.0184
70  30 0.146200  0.0168
71  31 0.146300  0.0153
72  32 0.146400  0.0139
73  33 0.146400  0.0127
74  33 0.146500  0.0116
75  35 0.146500  0.0105
76  34 0.146600  0.0096
77  35 0.146600  0.0087
78  35 0.146700  0.0080
79  35 0.146700  0.0073
80  36 0.146700  0.0066
81  36 0.146700  0.0060
82  36 0.146700  0.0055
83  38 0.146700  0.0050
84  38 0.146800  0.0046
85  38 0.146800  0.0041
86  40 0.146800  0.0038
87  41 0.146800  0.0034
88  43 0.146800  0.0031
89  43 0.146800  0.0029
90  43 0.146800  0.0026
91  43 0.146800  0.0024
92  43 0.146800  0.0022
93  44 0.146800  0.0020
94  44 0.146800  0.0018
95  45 0.146800  0.0016
96  45 0.146800  0.0015
97  45 0.146800  0.0014
98  46 0.146800  0.0012
99  45 0.146800  0.0011
100 45 0.146800  0.0010
