
Options: -C 1.0 -N 0 -I "weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1" -K "weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007" 

=== Classifier model (full training set) ===

SMOreg

weights (not support vectors):
 +       0.001  * (normalized) PKA_158_VOL
 +       0.0002 * (normalized) REC_R_HSA_187661_X_REC_R_HSA_8874078
 +       0.0009 * (normalized) GO_0001934_X_GO_0090002
 +       0.0005 * (normalized) DOM_Bromodomain
 +       0.0004 * (normalized) PKA_252
 +       0.0047 * (normalized) PKA_124_ASA
 -       0.0001 * (normalized) PKA_266_C_EXP
 -       0.0025 * (normalized) GO_0048010_EXP
 +       0.0199 * (normalized) PKA_113_R_CSV
 +       0      * (normalized) PKA_102_L
 -       0.0224 * (normalized) REC_R_HSA_202168_CSV
 -       0.0002 * (normalized) REC_R_HSA_171011_X_REC_R_HSA_2730876
 +       0      * (normalized) REC_R_HSA_114577_CSV
 +       0.001  * (normalized) REC_R_HSA_1524182_EXP
 +       0.0049 * (normalized) MOT_3D_KESaltBridge
 +       0.003  * (normalized) REC_R_NUL_3876071
 -       0.0004 * (normalized) PWY_R_HSA_195258_CSV
 +       0.0065 * (normalized) GO_0007099_CSV
 -       0.0009 * (normalized) GO_0060271_EXP
 +       0.0001 * (normalized) PKA_198_K_CSV
 +       0.0001 * (normalized) PKA_55_ENG
 -       0.0906 * (normalized) PKA_96_X_Fingerprint_818
 -       0.0003 * (normalized) PKA_184_ENG
 -       0.0012 * (normalized) SFAM_NEK6_EXP
 +       0.0004 * (normalized) PKA_54_VOL
 -       0.001  * (normalized) SDOM_subdomainX
 +       0.0021 * (normalized) PWY_R_HSA_8953854
 +       0.0001 * (normalized) PKA_276_I_CSV
 +       0.0016 * (normalized) REC_R_HSA_975100
 -       0.0083 * (normalized) GO_0060836
 +       0.0026 * (normalized) PKA_76_HYD
 +       0.0016 * (normalized) PWY_R_HSA_167044_EXP_X_PWY_R_HSA_6804115_EXP
 +       0.0001 * (normalized) PWY_R_HSA_1445148_CSV_X_PWY_R_HSA_74749_CSV
 -       0      * (normalized) REC_R_HSA_170835_EXP_X_REC_R_HSA_5687091_EXP
 +       0.0023 * (normalized) GO_0045663
 +       0.0011 * (normalized) GO_0000910_X_GO_0030866
 +       0.0025 * (normalized) GO_1990266_CSV
 -       0.0024 * (normalized) REC_R_HSA_2400009_X_REC_R_HSA_3239014
 -       0.0017 * (normalized) REC_R_HSA_168910_EXP
 -       0.0005 * (normalized) REC_R_HSA_198669_CSV
 +       0.0026 * (normalized) GO_0031032
 -       0.0001 * (normalized) GO_0006351
 +       0.0011 * (normalized) GO_0032467_X_GO_0043518
 -       0.0008 * (normalized) PKA_283_VOL
 +       0.0019 * (normalized) REC_R_HSA_2400009_X_REC_R_HSA_3928576
 +       0.0016 * (normalized) PKA_181_EXP
 +       0.0009 * (normalized) REC_R_HSA_1433428_EXP
 +       0.001  * (normalized) PKA_134_G_CSV
 +       0.0005 * (normalized) PKA_234_POL
 +       0.0149 * (normalized) PKA_292_R_CSV_X_Fingerprint_800
 -       0.0089 * (normalized) REC_R_HSA_202307_CSV
 +       0.0046 * (normalized) MUT_STKLD1_CSV
 +       0.0033 * (normalized) REC_R_HSA_5218812_EXP
 -       0.0021 * (normalized) MUT_LRRK2_EXP
 +       0.0017 * (normalized) GO_0007498_CSV
 +       0.0013 * (normalized) GO_0030073_EXP_X_GO_1990138_EXP
 +       0.0019 * (normalized) GO_0008286_CSV
 +       0.0063 * (normalized) GO_0016321_EXP
 +       0.0012 * (normalized) GO_0046329_CSV
 +       0.0012 * (normalized) REC_R_HSA_198611_EXP_X_REC_R_HSA_912458_EXP
 +       0.0534 * (normalized) PKA_194_A_EXP_X_Fingerprint_710
 -       0.0041 * (normalized) REC_R_HSA_879917
 -       0.0001 * (normalized) GO_0032743_EXP_X_GO_0050927_EXP
 -       0.0004 * (normalized) GO_0007623_EXP
 +       0.0043 * (normalized) MUT_CAMKV
 -       0.0002 * (normalized) PKA_242_K_EXP
 +       0.001  * (normalized) PKA_224_H_EXP
 +       0.0323 * (normalized) PKA_197_M_EXP_X_Fingerprint_698
 -       0.0093 * (normalized) MUT_RPS6KB1
 -       0.0171 * (normalized) PKA_249_I_CSV_X_Fingerprint_648
 +       0.0032 * (normalized) MUT_GRK2_EXP
 -       0.0059 * (normalized) SFAM_PKCi
 +       0.0024 * (normalized) GO_0034612_CSV
 +       0.0058 * (normalized) REC_R_HSA_166082
 +       0.0028 * (normalized) MUT_GUCY2F
 +       0.0009 * (normalized) GO_0006367_CSV_X_GO_0043410_CSV
 -       0.2637 * (normalized) PKA_90_HYD_X_Fingerprint_710
 -       0.0058 * (normalized) GO_2001028
 +       0.0015 * (normalized) PKA_240_H_EXP
 +       0.0021 * (normalized) REC_R_HSA_168184_X_REC_R_HSA_201443
 -       0.0026 * (normalized) GO_0007062
 -       0      * (normalized) PWY_R_HSA_114604_CSV_X_PWY_R_HSA_1445148_CSV
 -       0.0002 * (normalized) PKA_206_V_CSV
 +       0.0034 * (normalized) PKA_77_I_EXP
 +       0.0009 * (normalized) SFAM_TIF1
 -       0.0094 * (normalized) MOT_2D_I_helix
 -       0.0001 * (normalized) PKA_144_H_EXP
 +       0.0001 * (normalized) PWY_R_HSA_112316_X_PWY_R_HSA_2672351
 -       0.0011 * (normalized) REC_R_HSA_1168637
 +       0.0007 * (normalized) PKA_188_EXP
 +       0.001  * (normalized) GO_0061001_EXP
 -       0.0002 * (normalized) PKA_235_L_CSV
 +       0.0035 * (normalized) PKA_246_L_EXP
 -       0.0143 * (normalized) MUT_TNK2_EXP
 -       0.0011 * (normalized) GO_0016310_CSV
 +       0.0006 * (normalized) PWY_R_HSA_6796648_EXP
 -       0.1209 * (normalized) PKA_264_B62_X_Fingerprint_694
 +       0.0002 * (normalized) MUT_WEE2_CSV
 -       0.0001 * (normalized) MUT_FAM198A_EXP
 +       0.0052 * (normalized) MUT_PEAK1
 -       0.0039 * (normalized) PWY_R_HSA_450321_EXP
 -       0.0007 * (normalized) REC_R_HSA_2028589_X_REC_R_HSA_751040
 +       0.0005 * (normalized) PWY_R_HSA_168256
 +       0.0016 * (normalized) REC_R_HSA_3928577_X_REC_R_HSA_5684267
 -       0.0099 * (normalized) GO_0061626
 +       0.0534 * (normalized) PKA_101_T_X_Fingerprint_710
 +       0.0008 * (normalized) GO_0030866_X_GO_0048015
 +       0.0006 * (normalized) PKA_281_ENG
 -       0      * (normalized) PKA_228_HYD
 -       0.0002 * (normalized) PWY_R_HSA_68877_EXP
 +       0.0343 * (normalized) PKA_264_C_EXP_X_Fingerprint_694
 -       0.0016 * (normalized) MUT_AURKB_CSV
 +       0.0048 * (normalized) SFAM_ALK_EXP
 -       0.0036 * (normalized) PKA_170_Q_EXP
 +       0.0025 * (normalized) PKA_180_I_CSV
 +       0.0002 * (normalized) GO_0030278_EXP
 -       0.003  * (normalized) REC_R_HSA_2400001
 -       0.0032 * (normalized) GO_0048662_EXP
 +       0.0003 * (normalized) GO_0043029
 +       0.0001 * (normalized) PWY_R_HSA_389357_CSV_X_PWY_R_HSA_3928663_CSV
 +       0.0021 * (normalized) GO_0050861
 -       0.0012 * (normalized) PWY_R_HSA_1433559_CSV_X_PWY_R_HSA_3700989_CSV
 +       0.0011 * (normalized) REC_R_HSA_2028589_EXP_X_REC_R_HSA_6802932_EXP
 +       0.0016 * (normalized) GO_0000226_EXP_X_GO_0051894_EXP
 -       0.0036 * (normalized) EXP_RIPK3_X_EXP_NFKB2
 +       0.0095 * (normalized) GO_0050878
 -       0.0017 * (normalized) GO_0016579
 +       0.0011 * (normalized) GO_0050729_CSV
 +       0.0156 * (normalized) EXP_EIF2AK2_X_EXP_MYD88
 -       0      * (normalized) GO_0010628
 +       0.0193 * (normalized) EXP_MAP3K8_X_EXP_CAB39
 -       0.0023 * (normalized) PKA_50
 +       0.0024 * (normalized) GO_0016310_EXP_X_GO_0043518_EXP
 -       0.0001 * (normalized) PKA_260_ASA
 +       0.0001 * (normalized) PKA_107_T_EXP
 +       0      * (normalized) PWY_R_HSA_1445148_CSV_X_PWY_R_HSA_76002_CSV
 +       0.0001 * (normalized) REC_R_HSA_202168_CSV_X_REC_R_HSA_444253_CSV
 +       0.0001 * (normalized) GO_0045766
 +       0.001  * (normalized) REC_R_HSA_5692768_X_REC_R_HSA_6798748
 -       0.0035 * (normalized) GO_0031396
 +       0.001  * (normalized) MUT_CDK5_CSV
 +       0.0018 * (normalized) REC_R_HSA_2028555_X_REC_R_HSA_2730882
 -       0.0005 * (normalized) GO_0032092
 +       0.0052 * (normalized) SFAM_DDR_CSV
 -       0.0041 * (normalized) MUT_MAST3_EXP
 +       0.0004 * (normalized) GO_0021987
 +       0.0009 * (normalized) REC_R_HSA_5654566
 +       0.0016 * (normalized) REC_R_HSA_425861_EXP_X_REC_R_HSA_6798372_EXP
 +       0.0002 * (normalized) PWY_R_HSA_176814_CSV
 +       0.0021 * (normalized) REC_R_HSA_5357860_EXP
 +       0.0025 * (normalized) MOT_2D_H_helix_EXP
 -       0.0171 * (normalized) PKA_71_V_EXP_X_Fingerprint_648
 -       0.0007 * (normalized) PKA_187_VOL
 -       0.0041 * (normalized) PKA_170_Q_CSV
 -       0.0021 * (normalized) MUT_PRKD2_EXP
 +       0.0021 * (normalized) GO_1990138
 +       0.0007 * (normalized) GO_1902533_CSV
 +       0.0007 * (normalized) PKA_155_ENG
 -       0.0003 * (normalized) REC_R_HSA_5672966_CSV
 +       0.0002 * (normalized) PKA_88_POL
 -       0.0089 * (normalized) PWY_R_HSA_69473_CSV
 -       0      * (normalized) GO_0002755_EXP
 +       0.0011 * (normalized) PKA_187_HYD
 -       0.0005 * (normalized) MUT_TGFBR1_EXP
 +       0.0018 * (normalized) REC_R_HSA_446894
 +       0.0009 * (normalized) GO_0000226_EXP
 -       0.0005 * (normalized) PWY_R_HSA_109581_X_PWY_R_HSA_167044
 +       0.001  * (normalized) GO_0001890_X_GO_0051894
 -       0.0007 * (normalized) PWY_R_HSA_5621481
 -       0.001  * (normalized) GO_0046627
 -       0.0006 * (normalized) REC_R_HSA_1295634_CSV_X_REC_R_HSA_2984226_CSV
 +       0.0053 * (normalized) PKA_98_EXP
 -       0.0015 * (normalized) REC_R_HSA_5672966_EXP
 +       0      * (normalized) GO_0050927_EXP_X_GO_0090002_EXP
 -       0.0002 * (normalized) REC_R_HSA_3928595_X_REC_R_HSA_5692770
 -       0.0001 * (normalized) PKA_218_CSV
 +       0.0033 * (normalized) MUT_BRD2
 +       0.0024 * (normalized) REC_R_HSA_3928578_CSV
 +       0.0004 * (normalized) PKA_249_B62
 -       0.0161 * (normalized) SFAM_Met
 -       0.0018 * (normalized) GO_0046326_EXP
 +       0.0042 * (normalized) MUT_CAMKV_EXP
 -       0.0002 * (normalized) PKA_243_Q_EXP
 -       0.0008 * (normalized) DOM_Pkinase
 -       0.0003 * (normalized) REC_R_HSA_1247960_X_REC_R_HSA_3928577
 +       0.0069 * (normalized) PWY_R_HSA_8948751_CSV
 +       0.0013 * (normalized) GO_0007212_CSV
 -       0.0002 * (normalized) PKA_97_E_CSV
 -       0.0002 * (normalized) REC_R_HSA_205328_CSV_X_REC_R_HSA_376141_CSV
 +       0.0013 * (normalized) MUT_STK19_EXP
 +       0.0005 * (normalized) MUT_TAF1_EXP
 +       0      * (normalized) REC_R_HSA_1433508_CSV_X_REC_R_HSA_202168_CSV
 +       0.0015 * (normalized) GO_0060292_CSV
 +       0.0011 * (normalized) PKA_137_POL
 +       0.0022 * (normalized) PKA_76_F_CSV
 -       0.0015 * (normalized) PKA_53_ENG
 +       0.0022 * (normalized) REC_R_HSA_2730833
 +       0.0012 * (normalized) GO_0042127_X_GO_0051894
 +       0.0036 * (normalized) PKA_237_HYD
 +       0.0005 * (normalized) PKA_74_ENG
 +       0.0011 * (normalized) GO_0008286_CSV_X_GO_0016239_CSV
 -       0.0001 * (normalized) PKA_51_M_CSV
 +       0.0042 * (normalized) GO_0001666_CSV
