IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_363,PKA_153_CHA,MOT_2D_linker_CSV,MUT_ALPK1,GO_0001933_EXP,GO_0007257_CSV,GO_0014068_CSV,GO_0043524_CSV,EXP_FAM198B,EXP_DCLK2,EXP_MINK1,EXP_BRD2,EXP_PRKD3,EXP_TGFBR2,EXP_ANKK1,EXP_WNK4,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_CXCR4,EXP_CDK4_X_EXP_CCNB1,EXP_CDK4_X_EXP_CCNF,EXP_CDK4_X_EXP_CDKN3,EXP_CDK4_X_EXP_HSP90AA1,EXP_CDK4_X_EXP_MLH1,EXP_CDK4_X_EXP_RPA1,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_CTR9,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_POLR2B,EXP_CDK9_X_EXP_SNAPC2,EXP_CDK9_X_EXP_TCEA1,EXP_LIMK2_X_EXP_CDC42,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_MARK2_X_EXP_SLC3A2,EXP_MINK1_X_EXP_CHRNE,EXP_NEK7_X_EXP_NUP107,EXP_NEK7_X_EXP_NUP160,EXP_NEK7_X_EXP_NUP88,EXP_NEK7_X_EXP_TOP2B,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_CALM1,EXP_PRKCA_X_EXP_GNAO1,EXP_PRKCA_X_EXP_GNGT2,EXP_PRKCA_X_EXP_GRIA1,EXP_PRKCA_X_EXP_HSP90AA1,EXP_PRKCA_X_EXP_JAM2,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_NOS1,EXP_PRKCA_X_EXP_PLA2G6,EXP_PRKCA_X_EXP_PLCB2,EXP_PRKCA_X_EXP_SELE,EXP_PRKCA_X_EXP_SPHK2,EXP_PRKCA_X_EXP_YWHAG,EXP_PRKD1_X_EXP_PRKD3,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_CCND1,EXP_TGFBR2_X_EXP_FBN1,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_PPP1CA,EXP_TGFBR2_X_EXP_PPP1CC,EXP_TGFBR2_X_EXP_SMAD6,EXP_TGFBR2_X_EXP_TGFB3,EXP_TGFBR2_X_EXP_UBC,EXP_TGFBR2_X_EXP_USP15,EXP_TGFBR2_X_EXP_XPO1,EXP_TGFBR2_X_EXP_ZFYVE16,EXP_TRIB3_X_EXP_HELZ2,EXP_TRIB3_X_EXP_TGS1,GO_0000187_EXP_X_GO_0001525_EXP,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0006897_EXP_X_GO_0070372_EXP,GO_0007030_X_GO_0070372,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_1901215_EXP,Predicted IC50,Validation
-1.865082,753531,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.810932,0,0,0,0,0,2.916380121,2.803208918,4.853301877,9.401288317,4.442734534,4.178660292,3.115838107,3.318952286,11.57753454,11.23305674,59.19381492,32.90743492,43.68313517,63.23913686,29.35167853,50.12018811,26.60278271,45.68388597,49.45993297,38.5570385,70.17760888,31.37234806,66.23515511,30.20204912,58.52239284,31.29413532,18.66228575,40.40477823,19.19906181,52.38314581,33.90332557,35.37115532,44.8968211,20.6465852,34.43155211,11.15261187,10.20836774,10.99511728,30.31262632,10.94049803,17.38946904,11.79073869,11.56898362,11.01234823,10.99607894,11.99515053,16.87224938,12.09657208,22.79712804,28.30755357,11.56602782,22.77673136,35.32621175,42.18426966,13.60328718,13.18554754,56.19087658,17.85487303,35.22187487,14.85241912,33.23367828,56.69140868,0,0,0,0,0,0,0,0.2274663538,3
4.022717,753532,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.816725,0,0,5.256379074,3.415309813,4.308280252,7.604230206,5.613279267,7.611987203,2.83416047,3.105633054,14.16358835,13.24450014,66.45031265,37.704588,50.6875219,78.64361483,38.87906954,53.47594807,31.4070038,16.98435746,39.41696532,27.16510624,57.03420237,25.37981738,47.70949565,19.4690669,46.41758113,26.16969165,19.52853639,27.52459728,16.99217876,54.74221966,37.12766784,43.70886356,62.97292184,24.66461151,43.90074853,15.81401555,14.43467588,14.99242817,47.09373489,15.1120956,21.96616838,15.53005101,17.18419356,15.53799944,14.87113437,17.24054334,23.05249785,16.36169579,21.65263725,56.36060646,38.14769516,42.0565867,65.00586136,78.81324222,34.04757684,23.83909275,99.66118063,31.40182401,59.33747642,27.64228085,21.50189036,33.92001053,0,0,0,0,0,0,0,3.6445125867,1
1.384855,753583,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,2.801726795,2.848393959,4.488503724,8.127704289,4.796078888,3.749285454,3.112513554,3.036758232,14.46872226,15.24054856,103.1758422,57.2037438,81.60190492,97.10256023,49.91398962,71.72808388,39.83070121,18.02450724,44.8080102,29.26440946,54.86799467,22.95577786,55.90054905,17.43670673,48.61379922,22.05673827,19.8688094,32.18559495,16.7872699,65.97050853,42.17685013,55.68495121,68.09566011,23.90646033,38.72460923,12.64478433,11.60962881,11.70931752,38.23668281,11.60274063,17.36268384,11.84252363,13.04388885,12.11038933,11.11212131,14.28710512,19.40631245,13.7755185,22.0067284,29.88545288,10.40311795,27.25460606,37.06782019,40.91495196,19.28782247,11.06716155,48.92479295,15.86274,35.20947782,14.99993791,24.2427994,41.80938963,0,0,0,0,0,0,0,2.2470703641,6
3.898851,910911,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.83012,0,0,4.107482824,2.760311557,4.657239859,7.971932976,5.453373595,4.476833591,2.889930526,3.091708073,12.45269153,12.1897289,65.76647504,35.74576,54.75470195,72.49679906,33.10769925,54.44583223,35.97406693,32.00800317,49.72234254,35.12329618,60.83914622,24.93231078,55.81833719,25.0207621,46.95151388,24.29471576,19.56917324,35.97382695,16.04034919,53.44407755,38.49157367,40.25039321,50.37006532,23.92126896,41.39739196,12.63111281,11.99911033,11.7378582,37.3475966,11.48765371,19.03303892,12.15793436,12.0007725,11.98026821,11.33543858,13.27861188,20.61484373,16.60120748,23.86762592,43.68034637,13.08401596,25.86179932,46.99726747,46.87323101,17.65720972,13.74210754,59.79077031,18.27068162,37.2443132,16.82722275,24.44002675,37.7134144,0,0,0,0,0,0,0,2.22668216,4
0.912361,753531,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0.810932,0,0,0,0,0,2.916380121,2.803208918,4.853301877,9.401288317,4.442734534,4.178660292,3.115838107,3.318952286,11.57753454,11.23305674,59.19381492,32.90743492,43.68313517,63.23913686,29.35167853,50.12018811,26.60278271,45.68388597,49.45993297,38.5570385,70.17760888,31.37234806,66.23515511,30.20204912,58.52239284,31.29413532,18.66228575,40.40477823,19.19906181,52.38314581,33.90332557,35.37115532,44.8968211,20.6465852,34.43155211,11.15261187,10.20836774,10.99511728,30.31262632,10.94049803,17.38946904,11.79073869,11.56898362,11.01234823,10.99607894,11.99515053,16.87224938,12.09657208,22.79712804,28.30755357,11.56602782,22.77673136,35.32621175,42.18426966,13.60328718,13.18554754,56.19087658,17.85487303,35.22187487,14.85241912,33.23367828,56.69140868,0,0,0,0,0,0,0,0.7451958705,10
1.283439,753532,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.816725,0,0,5.256379074,3.415309813,4.308280252,7.604230206,5.613279267,7.611987203,2.83416047,3.105633054,14.16358835,13.24450014,66.45031265,37.704588,50.6875219,78.64361483,38.87906954,53.47594807,31.4070038,16.98435746,39.41696532,27.16510624,57.03420237,25.37981738,47.70949565,19.4690669,46.41758113,26.16969165,19.52853639,27.52459728,16.99217876,54.74221966,37.12766784,43.70886356,62.97292184,24.66461151,43.90074853,15.81401555,14.43467588,14.99242817,47.09373489,15.1120956,21.96616838,15.53005101,17.18419356,15.53799944,14.87113437,17.24054334,23.05249785,16.36169579,21.65263725,56.36060646,38.14769516,42.0565867,65.00586136,78.81324222,34.04757684,23.83909275,99.66118063,31.40182401,59.33747642,27.64228085,21.50189036,33.92001053,0,0,0,0,0,0,0,3.2263580229,4
4.649339,753583,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,-1,0,0,0,0,0,0,2.801726795,2.848393959,4.488503724,8.127704289,4.796078888,3.749285454,3.112513554,3.036758232,14.46872226,15.24054856,103.1758422,57.2037438,81.60190492,97.10256023,49.91398962,71.72808388,39.83070121,18.02450724,44.8080102,29.26440946,54.86799467,22.95577786,55.90054905,17.43670673,48.61379922,22.05673827,19.8688094,32.18559495,16.7872699,65.97050853,42.17685013,55.68495121,68.09566011,23.90646033,38.72460923,12.64478433,11.60962881,11.70931752,38.23668281,11.60274063,17.36268384,11.84252363,13.04388885,12.11038933,11.11212131,14.28710512,19.40631245,13.7755185,22.0067284,29.88545288,10.40311795,27.25460606,37.06782019,40.91495196,19.28782247,11.06716155,48.92479295,15.86274,35.20947782,14.99993791,24.2427994,41.80938963,0,0,0,0,0,0,0,1.9134665027,4
2.539996,910911,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.83012,0,0,4.107482824,2.760311557,4.657239859,7.971932976,5.453373595,4.476833591,2.889930526,3.091708073,12.45269153,12.1897289,65.76647504,35.74576,54.75470195,72.49679906,33.10769925,54.44583223,35.97406693,32.00800317,49.72234254,35.12329618,60.83914622,24.93231078,55.81833719,25.0207621,46.95151388,24.29471576,19.56917324,35.97382695,16.04034919,53.44407755,38.49157367,40.25039321,50.37006532,23.92126896,41.39739196,12.63111281,11.99911033,11.7378582,37.3475966,11.48765371,19.03303892,12.15793436,12.0007725,11.98026821,11.33543858,13.27861188,20.61484373,16.60120748,23.86762592,43.68034637,13.08401596,25.86179932,46.99726747,46.87323101,17.65720972,13.74210754,59.79077031,18.27068162,37.2443132,16.82722275,24.44002675,37.7134144,0,0,0,0,0,0,0,2.4158262387,9
2.724171,753531,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0.810932,0,0,0,0,0,2.916380121,2.803208918,4.853301877,9.401288317,4.442734534,4.178660292,3.115838107,3.318952286,11.57753454,11.23305674,59.19381492,32.90743492,43.68313517,63.23913686,29.35167853,50.12018811,26.60278271,45.68388597,49.45993297,38.5570385,70.17760888,31.37234806,66.23515511,30.20204912,58.52239284,31.29413532,18.66228575,40.40477823,19.19906181,52.38314581,33.90332557,35.37115532,44.8968211,20.6465852,34.43155211,11.15261187,10.20836774,10.99511728,30.31262632,10.94049803,17.38946904,11.79073869,11.56898362,11.01234823,10.99607894,11.99515053,16.87224938,12.09657208,22.79712804,28.30755357,11.56602782,22.77673136,35.32621175,42.18426966,13.60328718,13.18554754,56.19087658,17.85487303,35.22187487,14.85241912,33.23367828,56.69140868,0,0,0,0,0,0,0,2.6010954214,9
2.857536,753532,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0.816725,0,0,5.256379074,3.415309813,4.308280252,7.604230206,5.613279267,7.611987203,2.83416047,3.105633054,14.16358835,13.24450014,66.45031265,37.704588,50.6875219,78.64361483,38.87906954,53.47594807,31.4070038,16.98435746,39.41696532,27.16510624,57.03420237,25.37981738,47.70949565,19.4690669,46.41758113,26.16969165,19.52853639,27.52459728,16.99217876,54.74221966,37.12766784,43.70886356,62.97292184,24.66461151,43.90074853,15.81401555,14.43467588,14.99242817,47.09373489,15.1120956,21.96616838,15.53005101,17.18419356,15.53799944,14.87113437,17.24054334,23.05249785,16.36169579,21.65263725,56.36060646,38.14769516,42.0565867,65.00586136,78.81324222,34.04757684,23.83909275,99.66118063,31.40182401,59.33747642,27.64228085,21.50189036,33.92001053,0,0,0,0,0,0,0,2.8752896801,1
