IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_828,Fingerprint_821,Fingerprint_818,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_672,Fingerprint_669,Fingerprint_648,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_611,MOT_2D_linker_CSV,MOT_2D_linker_EXP,SDOM_subdomainI,SDOM_subdomainI_EXP,SDOM_subdomainV_CSV,EXP_FASTK,EXP_BTK,EXP_CDKL4,EXP_SRPK3,EXP_MARK3,EXP_MET,Predicted IC50,Validation
3.176001,907173,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,1.8335688113,7
1.262042,908150,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.4465623207,6
2.629854,907173,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.6867936517,5
3.095066,908150,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.8183176014,1
2.59111,908152,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,2.449250311,3
3.406062,907173,6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.8384333984,2
3.154035,908150,6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,3.7915984667,3
3.133817,908152,6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,3.2080943052,6
2.682806,907173,29,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.6850359614,5
0.782183,908150,29,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.1787489837,5
0.964176,908152,29,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,2.8732778677,7
1.174086,907173,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.7035172538,2
2.30332,908150,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,2.7025644808,3
2.974963,908152,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,2.7882372351,8
1.579114,907173,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.2090108056,8
2.254056,908150,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.2034132982,1
2.842929,908152,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,3.025270914,3
3.397974,907173,34,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.8721637547,7
1.953697,908150,34,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.3196382199,6
3.133872,908152,34,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,3.450243215,2
0.016363,907173,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,-1.236160071,7
-0.679694,908150,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,-0.605191357,8
0.985927,908152,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,0.3321515046,5
2.74356,907173,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,1.4218287829,5
2.226145,908150,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.8925688817,7
3.116413,908152,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,3.9242775463,6
1.270719,907173,38,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,1.0381920474,7
1.898904,908150,38,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.0593574957,2
1.07767,908152,38,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,0.9037200287,10
-2.581976,907173,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,2.8721637547,5
-3.040898,908150,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.3196382199,2
1.678484,908152,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,3.450243215,2
2.923338,907173,52,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,4.1202517101,4
3.01031,908150,52,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,4.7815141166,3
2.675413,908152,52,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,4.8495470022,3
-2.233399,907173,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,1.3076776459,10
-2.305724,908150,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.9313367416,4
-0.113812,908152,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,2.4046752762,7
3.894592,907173,54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,1.8335688113,7
2.50948,908150,54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,1.4465623207,6
3.371871,908152,54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,2.4570917425,9
-0.010899,907173,55,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,1.4216827696,5
1.872112,908150,55,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.1184414732,2.8330325461,2.8930331312,2.8019659182,7.3629118232,4.7177303391,2.1047277787,7
3.432916,908152,55,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.3429321045,2.6871948187,3.019345519,2.77312149,7.2646683493,6.3986407051,2.6636181903,1
-1.736336,907173,56,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.728878424,2.7360690798,3.0389984847,2.9151501544,8.0093635257,3.6171489264,-0.843380267,5
