
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 8.9160
2     1 0.00168 8.1230
3     2 0.00402 7.4020
4     3 0.00813 6.7440
5     3 0.01254 6.1450
6     4 0.01735 5.5990
7     5 0.02326 5.1020
8     9 0.03062 4.6490
9    11 0.03883 4.2360
10   11 0.04721 3.8590
11   14 0.05562 3.5160
12   15 0.06433 3.2040
13   18 0.07316 2.9190
14   29 0.08328 2.6600
15   42 0.09520 2.4240
16   46 0.10730 2.2080
17   53 0.11960 2.0120
18   59 0.13300 1.8330
19   70 0.14710 1.6710
20   79 0.16150 1.5220
21   89 0.17610 1.3870
22   93 0.19070 1.2640
23  103 0.20460 1.1510
24  112 0.21830 1.0490
25  115 0.23210 0.9560
26  119 0.24500 0.8711
27  123 0.25710 0.7937
28  147 0.26840 0.7232
29  151 0.27910 0.6589
30  157 0.28940 0.6004
31  161 0.29950 0.5470
32  164 0.30920 0.4984
33  164 0.31840 0.4542
34  168 0.32690 0.4138
35  171 0.33490 0.3771
36  177 0.34230 0.3436
37  177 0.34920 0.3130
38  180 0.35560 0.2852
39  183 0.36160 0.2599
40  183 0.36710 0.2368
41  186 0.37230 0.2158
42  190 0.37710 0.1966
43  192 0.38180 0.1791
44  193 0.38620 0.1632
45  197 0.39030 0.1487
46  199 0.39390 0.1355
47  199 0.39720 0.1235
48  201 0.40020 0.1125
49  204 0.40300 0.1025
50  208 0.40560 0.0934
51  211 0.40800 0.0851
52  213 0.41020 0.0775
53  215 0.41230 0.0706
54  218 0.41440 0.0644
55  219 0.41620 0.0587
56  221 0.41790 0.0534
57  224 0.41940 0.0487
58  225 0.42070 0.0444
59  226 0.42190 0.0404
60  227 0.42320 0.0368
61  226 0.42420 0.0336
62  226 0.42500 0.0306
63  231 0.42580 0.0279
64  231 0.42650 0.0254
65  230 0.42720 0.0231
66  233 0.42780 0.0211
67  233 0.42830 0.0192
68  234 0.42880 0.0175
69  234 0.42920 0.0160
70  235 0.42960 0.0145
71  239 0.42990 0.0132
72  239 0.43020 0.0121
73  239 0.43050 0.0110
74  241 0.43070 0.0100
75  240 0.43090 0.0091
76  238 0.43100 0.0083
77  239 0.43120 0.0076
78  240 0.43130 0.0069
79  242 0.43140 0.0063
80  241 0.43150 0.0057
81  241 0.43160 0.0052
82  242 0.43170 0.0048
83  241 0.43170 0.0043
84  242 0.43180 0.0040
85  245 0.43180 0.0036
86  245 0.43190 0.0033
87  243 0.43190 0.0030
88  244 0.43200 0.0027
89  248 0.43200 0.0025
90  248 0.43200 0.0023
91  247 0.43200 0.0021
92  252 0.43210 0.0019
93  250 0.43210 0.0017
94  252 0.43210 0.0016
95  253 0.43210 0.0014
96  254 0.43210 0.0013
97  249 0.43210 0.0012
98  250 0.43210 0.0011
99  251 0.43210 0.0010
100 254 0.43220 0.0009
