IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_819,Fingerprint_818,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_776,Fingerprint_710,Fingerprint_709,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_648,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,GO_0034976,EXP_STK10,EXP_PLK3,EXP_PRKCG,EXP_CLK4,EXP_TLK1
3.015268,910568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
3.133641,924238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
-2.649341,910568,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
2.132354,924238,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
2.566877,910568,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
3.11055,924238,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
-1.995556,910568,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
-2.030435,924238,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
-1.590963,910568,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
2.74816,924238,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
3.054886,910568,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
0.019325,924238,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
-1.469164,910568,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
2.958832,924238,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
0.60073,910568,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
-0.240399,924238,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
1.58458,910568,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
3.038614,924238,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.91131964764162,5.20153042148274,3.25642281824346,4.87761746333998,5.63840454985211
1.338999,910568,38,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407048,5.03172967114308,3.34851903052928,5.14408365533655,5.06530797011133
