
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 4.6460
2     1 0.00654 4.2340
3     1 0.01198 3.8580
4     1 0.01649 3.5150
5     2 0.02144 3.2030
6     2 0.02712 2.9180
7     2 0.03183 2.6590
8     2 0.03574 2.4230
9     3 0.03922 2.2070
10    3 0.04333 2.0110
11    3 0.04674 1.8330
12    4 0.05017 1.6700
13    4 0.05375 1.5210
14    5 0.05710 1.3860
15    6 0.06031 1.2630
16    7 0.06442 1.1510
17    8 0.06824 1.0490
18    8 0.07148 0.9555
19    8 0.07417 0.8707
20    8 0.07640 0.7933
21    8 0.07826 0.7228
22    8 0.07980 0.6586
23    8 0.08108 0.6001
24    9 0.08221 0.5468
25    9 0.08349 0.4982
26   10 0.08463 0.4540
27   10 0.08583 0.4136
28   10 0.08682 0.3769
29   10 0.08764 0.3434
30   13 0.08860 0.3129
31   15 0.08998 0.2851
32   16 0.09124 0.2598
33   17 0.09232 0.2367
34   19 0.09355 0.2157
35   19 0.09490 0.1965
36   19 0.09603 0.1791
37   20 0.09696 0.1631
38   22 0.09825 0.1487
39   24 0.10270 0.1354
40   24 0.10810 0.1234
41   26 0.11660 0.1124
42   26 0.12560 0.1025
43   29 0.13380 0.0934
44   32 0.14620 0.0851
45   33 0.15830 0.0775
46   36 0.17020 0.0706
47   38 0.18250 0.0644
48   38 0.19400 0.0586
49   40 0.20400 0.0534
50   42 0.21450 0.0487
51   42 0.22450 0.0444
52   42 0.23270 0.0404
53   44 0.24070 0.0368
54   47 0.24960 0.0336
55   49 0.25850 0.0306
56   53 0.26780 0.0278
57   57 0.27950 0.0254
58   60 0.28990 0.0231
59   61 0.30090 0.0211
60   67 0.31190 0.0192
61   73 0.32590 0.0175
62   78 0.34350 0.0159
63   85 0.36220 0.0145
64   86 0.37970 0.0132
65   86 0.39420 0.0121
66   90 0.40750 0.0110
67   93 0.41950 0.0100
68   95 0.43010 0.0091
69   95 0.43960 0.0083
70   97 0.44750 0.0076
71   98 0.45420 0.0069
72   99 0.45980 0.0063
73  100 0.46460 0.0057
74  100 0.46870 0.0052
75  103 0.47220 0.0048
76  103 0.47530 0.0043
77  106 0.47800 0.0039
78  107 0.48040 0.0036
79  109 0.48250 0.0033
80  109 0.48420 0.0030
81  111 0.48560 0.0027
82  113 0.48690 0.0025
83  113 0.48790 0.0023
84  114 0.48880 0.0021
85  115 0.48950 0.0019
86  115 0.49010 0.0017
87  115 0.49070 0.0016
88  116 0.49110 0.0014
89  116 0.49150 0.0013
90  118 0.49180 0.0012
91  119 0.49210 0.0011
92  120 0.49230 0.0010
93  123 0.49260 0.0009
94  124 0.49280 0.0008
95  125 0.49310 0.0007
96  125 0.49330 0.0007
97  126 0.49340 0.0006
98  126 0.49360 0.0006
99  125 0.49380 0.0005
100 127 0.49390 0.0005
