
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.3300
2     1 0.00642  9.4080
3     1 0.01178  8.5720
4     1 0.01626  7.8110
5     2 0.02124  7.1170
6     2 0.02689  6.4850
7     2 0.03158  5.9090
8     2 0.03550  5.3840
9     3 0.03907  4.9050
10    3 0.04314  4.4700
11    3 0.04654  4.0730
12    4 0.05001  3.7110
13    4 0.05357  3.3810
14    5 0.05695  3.0810
15    6 0.06018  2.8070
16    7 0.06428  2.5580
17    8 0.06811  2.3300
18    8 0.07135  2.1230
19    8 0.07404  1.9350
20    8 0.07628  1.7630
21    8 0.07814  1.6060
22    8 0.07970  1.4640
23    8 0.08099  1.3340
24    9 0.08212  1.2150
25    9 0.08341  1.1070
26   10 0.08455  1.0090
27   10 0.08575  0.9192
28   10 0.08675  0.8375
29   10 0.08758  0.7631
30   13 0.08855  0.6953
31   15 0.08993  0.6336
32   16 0.09119  0.5773
33   17 0.09226  0.5260
34   19 0.09350  0.4793
35   19 0.09484  0.4367
36   19 0.09596  0.3979
37   20 0.09690  0.3625
38   22 0.09818  0.3303
39   24 0.10160  0.3010
40   24 0.10580  0.2743
41   26 0.11240  0.2499
42   28 0.11990  0.2277
43   32 0.12780  0.2075
44   34 0.13620  0.1890
45   34 0.14670  0.1722
46   36 0.15770  0.1569
47   37 0.16900  0.1430
48   38 0.17950  0.1303
49   39 0.18930  0.1187
50   41 0.19900  0.1082
51   42 0.20880  0.0986
52   42 0.21760  0.0898
53   44 0.22620  0.0818
54   47 0.23510  0.0746
55   50 0.24390  0.0679
56   52 0.25260  0.0619
57   58 0.26290  0.0564
58   59 0.27290  0.0514
59   63 0.28200  0.0468
60   70 0.29300  0.0427
61   72 0.30410  0.0389
62   77 0.31680  0.0354
63   84 0.32990  0.0323
64   86 0.34340  0.0294
65   89 0.35650  0.0268
66   91 0.36890  0.0244
67   94 0.38120  0.0222
68   95 0.39250  0.0203
69   96 0.40290  0.0185
70   99 0.41270  0.0168
71  100 0.42160  0.0153
72  100 0.42960  0.0140
73  101 0.43680  0.0127
74  103 0.44320  0.0116
75  105 0.44910  0.0106
76  105 0.45450  0.0096
77  107 0.45930  0.0088
78  109 0.46370  0.0080
79  110 0.46760  0.0073
80  111 0.47100  0.0066
81  111 0.47400  0.0060
82  114 0.47670  0.0055
83  114 0.47900  0.0050
84  115 0.48100  0.0046
85  117 0.48280  0.0042
86  117 0.48440  0.0038
87  117 0.48570  0.0035
88  118 0.48690  0.0032
89  118 0.48780  0.0029
90  119 0.48870  0.0026
91  121 0.48940  0.0024
92  122 0.49010  0.0022
93  123 0.49070  0.0020
94  124 0.49120  0.0018
95  125 0.49170  0.0016
96  125 0.49210  0.0015
97  125 0.49240  0.0014
98  127 0.49270  0.0012
99  128 0.49300  0.0011
100 128 0.49320  0.0010
