IC50,Cancer,Drug,REC_R_HSA_141409,REC_R_HSA_141409_EXP,GO_0030878_EXP,CLS_average_ploidy
3.64169,910691,1,0,0,0,2.2577327546
0.799783,930082,1,0,0,6.9632637271,2.0219194553
3.972882,910691,5,0,0,0,2.2577327546
3.534226,924187,5,1,4.7143561173,0,2.6533508085
0.830005,930082,5,0,0,6.9632637271,2.0219194553
3.539677,910691,6,0,0,0,2.2577327546
3.297155,924187,6,1,4.7143561173,0,2.6533508085
2.336064,930082,6,0,0,6.9632637271,2.0219194553
3.380056,910691,29,0,0,0,2.2577327546
0.8642,930082,29,0,0,6.9632637271,2.0219194553
2.420028,910691,30,0,0,0,2.2577327546
2.336796,930082,30,0,0,6.9632637271,2.0219194553
0.886639,910691,32,0,0,0,2.2577327546
2.583061,924187,32,1,4.7143561173,0,2.6533508085
-1.936889,930082,32,0,0,6.9632637271,2.0219194553
3.125124,910691,34,0,0,0,2.2577327546
4.187025,924187,34,1,4.7143561173,0,2.6533508085
2.336243,930082,34,0,0,6.9632637271,2.0219194553
2.334775,910691,35,0,0,0,2.2577327546
2.30349,924187,35,1,4.7143561173,0,2.6533508085
-0.686207,930082,35,0,0,6.9632637271,2.0219194553
3.110071,910691,37,0,0,0,2.2577327546
3.755156,924187,37,1,4.7143561173,0,2.6533508085
0.83085,930082,37,0,0,6.9632637271,2.0219194553
3.479497,910691,38,0,0,0,2.2577327546
1.699622,924187,38,1,4.7143561173,0,2.6533508085
0.562325,930082,38,0,0,6.9632637271,2.0219194553
1.648891,910691,51,0,0,0,2.2577327546
-2.316504,924187,51,1,4.7143561173,0,2.6533508085
-2.800373,930082,51,0,0,6.9632637271,2.0219194553
2.545646,910691,52,0,0,0,2.2577327546
3.190022,924187,52,1,4.7143561173,0,2.6533508085
0.618159,930082,52,0,0,6.9632637271,2.0219194553
-2.214281,910691,53,0,0,0,2.2577327546
-2.772782,924187,53,1,4.7143561173,0,2.6533508085
-3.189763,930082,53,0,0,6.9632637271,2.0219194553
3.760932,910691,54,0,0,0,2.2577327546
1.875022,924187,54,1,4.7143561173,0,2.6533508085
1.095107,930082,54,0,0,6.9632637271,2.0219194553
4.09921,910691,55,0,0,0,2.2577327546
0.330918,924187,55,1,4.7143561173,0,2.6533508085
-0.815802,930082,55,0,0,6.9632637271,2.0219194553
3.804584,910691,56,0,0,0,2.2577327546
-0.263269,924187,56,1,4.7143561173,0,2.6533508085
-0.11246,930082,56,0,0,6.9632637271,2.0219194553
5.121062,910691,59,0,0,0,2.2577327546
3.118655,924187,59,1,4.7143561173,0,2.6533508085
2.438339,930082,59,0,0,6.9632637271,2.0219194553
-2.503141,910691,60,0,0,0,2.2577327546
-1.01954,924187,60,1,4.7143561173,0,2.6533508085
-3.92596,930082,60,0,0,6.9632637271,2.0219194553
4.391354,910691,63,0,0,0,2.2577327546
4.350625,924187,63,1,4.7143561173,0,2.6533508085
1.615005,930082,63,0,0,6.9632637271,2.0219194553
2.588104,910691,64,0,0,0,2.2577327546
2.0881,924187,64,1,4.7143561173,0,2.6533508085
1.092362,930082,64,0,0,6.9632637271,2.0219194553
-2.851566,910691,83,0,0,0,2.2577327546
-4.692665,930082,83,0,0,6.9632637271,2.0219194553
-2.458176,910691,86,0,0,0,2.2577327546
-1.671104,924187,86,1,4.7143561173,0,2.6533508085
-3.697383,930082,86,0,0,6.9632637271,2.0219194553
-2.994851,910691,87,0,0,0,2.2577327546
-1.949234,924187,87,1,4.7143561173,0,2.6533508085
-4.44524,930082,87,0,0,6.9632637271,2.0219194553
4.511931,910691,91,0,0,0,2.2577327546
3.656679,930082,91,0,0,6.9632637271,2.0219194553
2.837127,910691,106,0,0,0,2.2577327546
2.175758,930082,106,0,0,6.9632637271,2.0219194553
3.656439,910691,110,0,0,0,2.2577327546
3.728418,930082,110,0,0,6.9632637271,2.0219194553
3.39061,910691,119,0,0,0,2.2577327546
0.433177,930082,119,0,0,6.9632637271,2.0219194553
2.402868,907000,152,0,0,0,2.0060246273
4.904537,907051,152,2,8.9210509035,0,3.4323658044
2.754186,908130,152,0,0,0,1.9667921549
1.31293,909735,152,0,0,14.449119202,1.9784991522
1.70786,910691,152,0,0,0,2.2577327546
2.747536,910781,152,1,4.8081334031,5.5312781323,2.1709069768
2.335331,924187,152,1,4.7143561173,0,2.6533508085
3.223073,930082,152,0,0,6.9632637271,2.0219194553
2.738897,1240127,152,2,8.7835949774,0,3.6815714119
2.578577,1240174,152,1,4.2286055327,0,1.931980783
-0.781285,907000,153,0,0,0,2.0060246273
0.525454,907051,153,2,8.9210509035,0,3.4323658044
0.196021,908130,153,0,0,0,1.9667921549
-0.534157,909735,153,0,0,14.449119202,1.9784991522
0.820125,910691,153,0,0,0,2.2577327546
-1.245863,910781,153,1,4.8081334031,5.5312781323,2.1709069768
0.94215,924187,153,1,4.7143561173,0,2.6533508085
-0.715216,930082,153,0,0,6.9632637271,2.0219194553
0.010892,1240127,153,2,8.7835949774,0,3.6815714119
-0.20126,1240174,153,1,4.2286055327,0,1.931980783
-0.948643,907000,155,0,0,0,2.0060246273
0.155268,907051,155,2,8.9210509035,0,3.4323658044
