IC50,Cancer,Drug,PKA_161,PKA_161_CHA,PKA_161_ENG,PKA_161_EXP,PKA_226,DOM_PI3_PI4_kinase,MUT_ULK4,CNV_PTK2_gain,REC_R_HSA_176298_EXP,PWY_R_HSA_193648_CSV,PWY_R_HSA_373755,PWY_R_HSA_6804115,PWY_R_HSA_68877_CSV,PWY_R_HSA_73894_EXP,GO_0002053,GO_0002053_EXP,GO_0003351,GO_0007283_CSV,GO_0032436_CSV,GO_0042060,GO_0043524,GO_0048010,GO_0048813,EXP_EPHB6,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_PASK,EXP_WNK4
5.164448,749716,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
4.149822,906812,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
1.118564,906844,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
1.870624,906862,5,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
2.195492,908151,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
1.959576,909256,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
4.74273,910948,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
4.481919,924106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
4.768427,946359,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
2.151263,749711,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
3.541408,749715,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
4.06244,749716,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
2.652028,906812,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
2.607702,906844,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
2.719277,906862,6,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
0.947224,908151,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
2.776025,909256,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
2.418576,910910,6,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449
3.349511,910948,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
3.095625,924106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
3.531474,946359,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
3.069284,1303900,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7400797568,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,4.5988011836,2.9381421436
1.510261,749711,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
2.535459,749715,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
4.712368,749716,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
2.580373,906812,29,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
-3.594837,906844,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
3.459914,906862,29,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
2.150691,908151,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
2.24749,909256,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
4.163249,910910,29,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449
4.082351,910948,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
3.783634,924106,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
3.802895,946359,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
2.348196,1303900,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7400797568,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,4.5988011836,2.9381421436
1.791957,749711,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
2.029034,749715,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
0.785559,749716,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
2.66414,906812,30,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
1.009294,906844,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
1.52352,906862,30,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
0.634727,908151,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
1.27764,909256,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
2.537305,910910,30,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449
2.709183,910948,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
1.808132,924106,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
2.851876,946359,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
2.257886,1303900,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7400797568,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,4.5988011836,2.9381421436
-0.096825,749711,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
2.549715,749715,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
3.370671,749716,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
3.351436,906812,32,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
-0.187619,906844,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
2.095042,906862,32,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
-1.442381,908151,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
-2.705153,909256,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
3.342548,910948,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
1.775011,924106,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
3.174052,946359,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
2.843457,749711,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
3.541408,749715,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
2.679203,749716,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
2.684309,906812,34,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
2.60914,906844,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
2.835222,906862,34,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
2.06822,908151,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
2.775802,909256,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
1.815464,910910,34,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449
3.135745,910948,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
2.997996,924106,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
3.63306,946359,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
2.691768,1303900,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7400797568,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,4.5988011836,2.9381421436
0.503575,749711,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
0.784358,749715,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
3.23381,749716,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
1.723084,906812,35,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
-0.176087,906844,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
1.906691,906862,35,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
0.711445,908151,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
0.244791,909256,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
2.839262,910910,35,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449
3.343275,910948,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
2.668087,924106,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
3.424831,946359,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
1.75277,1303900,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7400797568,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,4.5988011836,2.9381421436
1.684583,749711,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
3.541408,749715,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
3.468049,749716,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
3.507801,906812,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
2.311552,906844,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
2.655406,906862,37,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
1.399555,908151,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.1867768347
2.034959,909256,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,4.958213665,2.8704571751
3.277587,910910,37,0,0,0,0,0,0,0,0,0,0.746166,0,0,0,11.824999272,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,3.8940011801,3.0678321449
2.989534,910948,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.706277,0,1,1,1,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.1649797746
2.646565,924106,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,5.0555033281,3.1009686989
3.65499,946359,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5332953274,1,4.1577292737,0,0,0,1,1,3,1,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,4.5830480231,3.136024292
2.747611,1303900,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7400797568,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,4.5988011836,2.9381421436
2.813243,749711,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,4.4042592037,2.9567255508
3.209252,749715,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,4.2790178663,3.0489435542
2.46156,749716,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,4.2601794475,3.1468346177
3.486667,906812,38,0,0,0,0,0,0,0,0,0,0,0,0,0,13.178430696,0,0,0,0,0,0,0,2,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,4.5092482412,2.8992583303
2.558108,906844,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,5.0176717292,2.8749949746
1.971341,906862,38,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1549449795,0,0,0,0,0,1,0,1,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.2351098269
