
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.5500
2    1 0.001396  9.6100
3    1 0.002556  8.7560
4    1 0.003519  7.9780
5    1 0.004319  7.2690
6    1 0.004984  6.6230
7    1 0.005536  6.0350
8    1 0.005994  5.4990
9    2 0.007209  5.0100
10   3 0.013750  4.5650
11   3 0.019490  4.1600
12   3 0.024260  3.7900
13   3 0.028230  3.4530
14   4 0.031740  3.1470
15   4 0.034840  2.8670
16   4 0.037410  2.6120
17   4 0.039550  2.3800
18   4 0.041320  2.1690
19   4 0.042790  1.9760
20   5 0.044500  1.8010
21   5 0.046190  1.6410
22   6 0.047700  1.4950
23   6 0.049050  1.3620
24   6 0.050170  1.2410
25   6 0.051100  1.1310
26   6 0.051880  1.0300
27   6 0.052520  0.9389
28   6 0.053060  0.8555
29   6 0.053500  0.7795
30   6 0.053870  0.7102
31   7 0.054860  0.6471
32   8 0.056040  0.5896
33  10 0.057840  0.5372
34  11 0.059730  0.4895
35  11 0.061310  0.4460
36  11 0.062620  0.4064
37  12 0.064580  0.3703
38  11 0.066660  0.3374
39  11 0.068390  0.3074
40  11 0.069820  0.2801
41  11 0.071030  0.2552
42  11 0.072040  0.2326
43  10 0.072880  0.2119
44  11 0.073590  0.1931
45  12 0.074380  0.1759
46  14 0.075070  0.1603
47  15 0.075730  0.1461
48  16 0.076380  0.1331
49  17 0.077040  0.1213
50  17 0.077670  0.1105
51  17 0.078210  0.1007
52  17 0.078660  0.0917
53  17 0.079010  0.0836
54  18 0.079330  0.0762
55  18 0.079660  0.0694
56  19 0.079950  0.0632
57  21 0.080220  0.0576
58  21 0.080470  0.0525
59  21 0.080740  0.0478
60  21 0.080950  0.0436
61  21 0.081130  0.0397
62  23 0.081280  0.0362
63  23 0.081460  0.0330
64  24 0.081610  0.0300
65  24 0.081740  0.0274
66  24 0.081870  0.0249
67  24 0.081960  0.0227
68  26 0.082040  0.0207
69  26 0.082110  0.0189
70  27 0.082160  0.0172
71  28 0.082220  0.0157
72  29 0.082280  0.0143
73  29 0.082330  0.0130
74  29 0.082370  0.0118
75  29 0.082410  0.0108
76  29 0.082440  0.0098
77  30 0.082470  0.0090
78  31 0.082490  0.0082
79  31 0.082510  0.0074
80  33 0.082530  0.0068
81  32 0.082540  0.0062
82  33 0.082560  0.0056
83  33 0.082570  0.0051
84  34 0.082580  0.0047
85  34 0.082590  0.0043
86  34 0.082600  0.0039
87  34 0.082600  0.0035
88  34 0.082610  0.0032
89  34 0.082610  0.0029
90  34 0.082620  0.0027
91  36 0.082620  0.0024
92  36 0.082630  0.0022
93  36 0.082630  0.0020
94  37 0.082630  0.0018
95  37 0.082630  0.0017
96  37 0.082630  0.0015
97  37 0.082640  0.0014
98  38 0.082640  0.0013
99  38 0.082640  0.0012
100 38 0.082640  0.0011
