
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 6.3280
2    1 0.001399 5.7660
3    1 0.002560 5.2530
4    1 0.003524 4.7870
5    1 0.004324 4.3620
6    1 0.004988 3.9740
7    1 0.005540 3.6210
8    1 0.005998 3.2990
9    2 0.007225 3.0060
10   3 0.013810 2.7390
11   3 0.019580 2.4960
12   3 0.024370 2.2740
13   3 0.028340 2.0720
14   4 0.031850 1.8880
15   4 0.034950 1.7200
16   4 0.037510 1.5670
17   4 0.039640 1.4280
18   4 0.041400 1.3010
19   4 0.042870 1.1860
20   5 0.044560 1.0800
21   5 0.046250 0.9844
22   6 0.047760 0.8970
23   6 0.049100 0.8173
24   6 0.050210 0.7447
25   6 0.051140 0.6785
26   6 0.051910 0.6182
27   6 0.052550 0.5633
28   6 0.053080 0.5133
29   6 0.053520 0.4677
30   6 0.053890 0.4261
31   7 0.054890 0.3883
32   8 0.056080 0.3538
33  10 0.057890 0.3223
34  11 0.059790 0.2937
35  11 0.061380 0.2676
36  11 0.062710 0.2438
37  11 0.064770 0.2222
38  11 0.066850 0.2024
39  11 0.068600 0.1845
40  11 0.070040 0.1681
41  11 0.071240 0.1531
42  11 0.072230 0.1395
43  10 0.073020 0.1271
44  11 0.073730 0.1158
45  12 0.074500 0.1056
46  14 0.075230 0.0962
47  15 0.075860 0.0876
48  16 0.076500 0.0798
49  17 0.077140 0.0728
50  17 0.077760 0.0663
51  17 0.078300 0.0604
52  17 0.078720 0.0550
53  17 0.079070 0.0502
54  18 0.079360 0.0457
55  18 0.079650 0.0416
56  18 0.079950 0.0379
57  21 0.080230 0.0346
58  21 0.080480 0.0315
59  21 0.080750 0.0287
60  21 0.080970 0.0262
61  21 0.081130 0.0238
62  23 0.081290 0.0217
63  23 0.081470 0.0198
64  24 0.081620 0.0180
65  24 0.081750 0.0164
66  25 0.081870 0.0150
67  25 0.081970 0.0136
68  26 0.082050 0.0124
69  26 0.082120 0.0113
70  27 0.082180 0.0103
71  27 0.082240 0.0094
72  29 0.082290 0.0086
73  29 0.082330 0.0078
74  29 0.082380 0.0071
75  29 0.082410 0.0065
76  28 0.082440 0.0059
77  29 0.082470 0.0054
78  30 0.082490 0.0049
79  30 0.082510 0.0045
80  32 0.082530 0.0041
81  32 0.082550 0.0037
82  32 0.082560 0.0034
83  31 0.082570 0.0031
84  33 0.082580 0.0028
85  33 0.082590 0.0026
86  33 0.082600 0.0023
87  34 0.082600 0.0021
88  34 0.082610 0.0019
89  34 0.082610 0.0018
90  35 0.082620 0.0016
91  37 0.082620 0.0015
92  37 0.082630 0.0013
93  37 0.082630 0.0012
94  37 0.082630 0.0011
95  37 0.082630 0.0010
96  37 0.082630 0.0009
97  37 0.082640 0.0008
98  37 0.082640 0.0008
99  38 0.082640 0.0007
100 38 0.082640 0.0006
