
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.9000
2    1 0.00586  9.9320
3    1 0.01073  9.0500
4    1 0.01478  8.2460
5    1 0.01814  7.5130
6    1 0.02094  6.8460
7    1 0.02326  6.2380
8    1 0.02519  5.6830
9    1 0.02680  5.1790
10   1 0.02813  4.7180
11   1 0.02924  4.2990
12   1 0.03016  3.9170
13   1 0.03092  3.5690
14   1 0.03155  3.2520
15   1 0.03208  2.9630
16   3 0.03266  2.7000
17   5 0.03805  2.4600
18   5 0.04289  2.2420
19   5 0.04691  2.0430
20   5 0.05025  1.8610
21   5 0.05303  1.6960
22   5 0.05534  1.5450
23   5 0.05726  1.4080
24   6 0.05887  1.2830
25   7 0.06081  1.1690
26   8 0.06307  1.0650
27   8 0.06650  0.9704
28   8 0.06937  0.8842
29   8 0.07162  0.8056
30   8 0.07354  0.7340
31   8 0.07513  0.6688
32   8 0.07647  0.6094
33   8 0.07758  0.5553
34   9 0.07867  0.5059
35   9 0.07973  0.4610
36  11 0.08073  0.4200
37  13 0.08206  0.3827
38  14 0.08333  0.3487
39  15 0.08470  0.3178
40  16 0.08857  0.2895
41  17 0.09650  0.2638
42  17 0.10340  0.2404
43  18 0.11000  0.2190
44  18 0.11840  0.1996
45  16 0.12550  0.1818
46  18 0.13170  0.1657
47  20 0.13860  0.1510
48  22 0.14490  0.1375
49  24 0.15270  0.1253
50  25 0.16170  0.1142
51  28 0.17080  0.1040
52  28 0.17920  0.0948
53  29 0.18650  0.0864
54  30 0.19300  0.0787
55  31 0.19840  0.0717
56  34 0.20420  0.0654
57  35 0.20980  0.0595
58  37 0.21590  0.0542
59  39 0.22200  0.0494
60  39 0.22730  0.0450
61  43 0.23270  0.0410
62  43 0.23830  0.0374
63  43 0.24330  0.0341
64  46 0.24920  0.0310
65  49 0.25520  0.0283
66  50 0.26110  0.0258
67  54 0.26650  0.0235
68  56 0.27130  0.0214
69  58 0.27570  0.0195
70  58 0.28020  0.0178
71  59 0.28450  0.0162
72  60 0.28850  0.0148
73  62 0.29200  0.0134
74  64 0.29510  0.0122
75  68 0.29800  0.0112
76  70 0.30060  0.0102
77  70 0.30290  0.0093
78  71 0.30480  0.0084
79  71 0.30660  0.0077
80  72 0.30800  0.0070
81  72 0.30930  0.0064
82  73 0.31040  0.0058
83  73 0.31130  0.0053
84  76 0.31200  0.0048
85  80 0.31270  0.0044
86  83 0.31330  0.0040
87  83 0.31390  0.0037
88  84 0.31430  0.0033
89  85 0.31470  0.0030
90  86 0.31510  0.0028
91  86 0.31540  0.0025
92  85 0.31570  0.0023
93  87 0.31590  0.0021
94  89 0.31610  0.0019
95  90 0.31630  0.0017
96  91 0.31650  0.0016
97  91 0.31660  0.0014
98  91 0.31670  0.0013
99  91 0.31690  0.0012
100 92 0.31700  0.0011
