
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.1900
2    1 0.002042  9.2830
3    1 0.003737  8.4590
4    1 0.005145  7.7070
5    1 0.006314  7.0230
6    1 0.007284  6.3990
7    1 0.008090  5.8300
8    1 0.008759  5.3120
9    1 0.009315  4.8400
10   1 0.009776  4.4100
11   2 0.011070  4.0190
12   2 0.012190  3.6620
13   2 0.013130  3.3360
14   3 0.014150  3.0400
15   4 0.015540  2.7700
16   4 0.017970  2.5240
17   4 0.020000  2.3000
18   4 0.021670  2.0950
19   4 0.023070  1.9090
20   6 0.024250  1.7400
21   8 0.026420  1.5850
22   9 0.029680  1.4440
23   9 0.032820  1.3160
24  10 0.035580  1.1990
25  11 0.038650  1.0920
26  11 0.041240  0.9954
27  12 0.043590  0.9070
28  13 0.046030  0.8264
29  14 0.048310  0.7530
30  13 0.050130  0.6861
31  14 0.051630  0.6252
32  13 0.053010  0.5696
33  13 0.054080  0.5190
34  13 0.054930  0.4729
35  12 0.055480  0.4309
36  13 0.055970  0.3926
37  14 0.056630  0.3577
38  15 0.057300  0.3260
39  19 0.058370  0.2970
40  19 0.059900  0.2706
41  19 0.061210  0.2466
42  19 0.062440  0.2247
43  20 0.067610  0.2047
44  23 0.074290  0.1865
45  25 0.081120  0.1700
46  25 0.089030  0.1549
47  26 0.095730  0.1411
48  26 0.101700  0.1286
49  29 0.107400  0.1171
50  29 0.112700  0.1067
51  32 0.117500  0.0972
52  34 0.121700  0.0886
53  33 0.125500  0.0807
54  32 0.128600  0.0736
55  33 0.131200  0.0670
56  33 0.133500  0.0611
57  33 0.135400  0.0556
58  35 0.137100  0.0507
59  37 0.138600  0.0462
60  40 0.139900  0.0421
61  42 0.141300  0.0384
62  42 0.142800  0.0350
63  45 0.145700  0.0319
64  44 0.148200  0.0290
65  47 0.150400  0.0264
66  49 0.152200  0.0241
67  49 0.153900  0.0220
68  49 0.155300  0.0200
69  50 0.156500  0.0182
70  52 0.157600  0.0166
71  52 0.158500  0.0151
72  54 0.159300  0.0138
73  53 0.160000  0.0126
74  58 0.160600  0.0114
75  60 0.161200  0.0104
76  61 0.161700  0.0095
77  64 0.162200  0.0087
78  63 0.162700  0.0079
79  66 0.163300  0.0072
80  70 0.163700  0.0065
81  71 0.164300  0.0060
82  71 0.164800  0.0054
83  74 0.165400  0.0050
84  80 0.166100  0.0045
85  77 0.166800  0.0041
86  77 0.167500  0.0037
87  76 0.168100  0.0034
88  78 0.168800  0.0031
89  74 0.169300  0.0028
90  76 0.169700  0.0026
91  82 0.170300  0.0024
92  84 0.170600  0.0021
93  90 0.170700  0.0020
94  85 0.171600  0.0018
95  93 0.171600  0.0016
96  84 0.172400  0.0015
97  89 0.172400  0.0013
98  90 0.173000  0.0012
99  94 0.173000  0.0011
100 89 0.173500  0.0010
