
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 11.6400
2     1 0.002041 10.6100
3     1 0.003735  9.6670
4     1 0.005143  8.8080
5     1 0.006312  8.0260
6     1 0.007282  7.3130
7     1 0.008088  6.6630
8     1 0.008758  6.0710
9     1 0.009313  5.5320
10    1 0.009775  5.0400
11    2 0.011060  4.5930
12    2 0.012190  4.1850
13    2 0.013130  3.8130
14    3 0.014140  3.4740
15    4 0.015540  3.1660
16    4 0.017970  2.8840
17    4 0.019990  2.6280
18    4 0.021670  2.3950
19    4 0.023060  2.1820
20    6 0.024250  1.9880
21    8 0.026410  1.8110
22    9 0.029670  1.6510
23    9 0.032810  1.5040
24   10 0.035570  1.3700
25   11 0.038640  1.2490
26   11 0.041230  1.1380
27   12 0.043570  1.0370
28   13 0.046020  0.9445
29   14 0.048300  0.8606
30   13 0.050110  0.7841
31   14 0.051620  0.7145
32   13 0.053000  0.6510
33   13 0.054070  0.5932
34   13 0.054920  0.5405
35   12 0.055480  0.4925
36   13 0.055970  0.4487
37   14 0.056630  0.4088
38   15 0.057300  0.3725
39   19 0.058360  0.3394
40   19 0.059890  0.3093
41   19 0.061200  0.2818
42   19 0.062430  0.2568
43   20 0.067310  0.2340
44   23 0.073670  0.2132
45   25 0.080270  0.1942
46   25 0.087970  0.1770
47   26 0.094570  0.1613
48   26 0.100500  0.1469
49   29 0.106300  0.1339
50   29 0.111700  0.1220
51   32 0.116500  0.1111
52   34 0.120800  0.1013
53   33 0.124600  0.0923
54   32 0.127800  0.0841
55   33 0.130500  0.0766
56   33 0.132900  0.0698
57   33 0.134900  0.0636
58   35 0.136700  0.0580
59   37 0.138200  0.0528
60   40 0.139600  0.0481
61   42 0.141000  0.0438
62   42 0.142600  0.0399
63   45 0.145300  0.0364
64   44 0.147700  0.0332
65   46 0.149800  0.0302
66   49 0.151700  0.0275
67   50 0.153300  0.0251
68   50 0.154800  0.0229
69   50 0.156000  0.0208
70   52 0.157100  0.0190
71   52 0.158100  0.0173
72   54 0.158900  0.0158
73   53 0.159700  0.0144
74   58 0.160300  0.0131
75   60 0.160900  0.0119
76   62 0.161500  0.0109
77   63 0.162000  0.0099
78   66 0.162500  0.0090
79   67 0.163100  0.0082
80   70 0.163500  0.0075
81   71 0.164100  0.0068
82   69 0.164700  0.0062
83   70 0.165300  0.0057
84   74 0.166000  0.0052
85   75 0.166600  0.0047
86   77 0.167300  0.0043
87   73 0.168000  0.0039
88   76 0.168700  0.0036
89   74 0.169100  0.0032
90   76 0.169600  0.0030
91   80 0.170200  0.0027
92   80 0.170600  0.0025
93   85 0.171000  0.0022
94   86 0.171400  0.0020
95   87 0.171700  0.0019
96   88 0.172200  0.0017
97   96 0.172200  0.0015
98   99 0.173000  0.0014
99  100 0.173000  0.0013
100  97 0.173400  0.0012
