
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.8700
2    1 0.002041  9.9020
3    1 0.003736  9.0230
4    1 0.005144  8.2210
5    1 0.006313  7.4910
6    1 0.007283  6.8250
7    1 0.008089  6.2190
8    1 0.008759  5.6660
9    1 0.009314  5.1630
10   1 0.009776  4.7040
11   2 0.011060  4.2860
12   2 0.012190  3.9060
13   2 0.013130  3.5590
14   3 0.014150  3.2430
15   4 0.015540  2.9550
16   4 0.017970  2.6920
17   4 0.019990  2.4530
18   4 0.021670  2.2350
19   4 0.023060  2.0360
20   6 0.024250  1.8560
21   8 0.026410  1.6910
22   9 0.029670  1.5400
23   9 0.032820  1.4040
24  10 0.035570  1.2790
25  11 0.038650  1.1650
26  11 0.041230  1.0620
27  12 0.043580  0.9675
28  13 0.046030  0.8815
29  14 0.048310  0.8032
30  13 0.050120  0.7319
31  14 0.051630  0.6668
32  13 0.053000  0.6076
33  13 0.054070  0.5536
34  13 0.054930  0.5044
35  12 0.055480  0.4596
36  13 0.055970  0.4188
37  14 0.056630  0.3816
38  15 0.057300  0.3477
39  19 0.058360  0.3168
40  19 0.059890  0.2887
41  19 0.061200  0.2630
42  19 0.062430  0.2396
43  20 0.067460  0.2184
44  23 0.073990  0.1990
45  25 0.080710  0.1813
46  25 0.088530  0.1652
47  26 0.095170  0.1505
48  26 0.101200  0.1371
49  29 0.106900  0.1250
50  29 0.112200  0.1139
51  32 0.117000  0.1037
52  34 0.121300  0.0945
53  33 0.125100  0.0861
54  32 0.128200  0.0785
55  33 0.130900  0.0715
56  33 0.133200  0.0652
57  33 0.135200  0.0594
58  35 0.136900  0.0541
59  37 0.138400  0.0493
60  40 0.139800  0.0449
61  42 0.141100  0.0409
62  42 0.142700  0.0373
63  45 0.145500  0.0340
64  44 0.148000  0.0310
65  46 0.150100  0.0282
66  49 0.152000  0.0257
67  49 0.153600  0.0234
68  50 0.155100  0.0213
69  50 0.156300  0.0194
70  52 0.157300  0.0177
71  52 0.158300  0.0161
72  54 0.159100  0.0147
73  53 0.159800  0.0134
74  58 0.160500  0.0122
75  60 0.161000  0.0111
76  62 0.161700  0.0101
77  63 0.162100  0.0092
78  66 0.162600  0.0084
79  68 0.163200  0.0077
80  70 0.163600  0.0070
81  71 0.164200  0.0064
82  69 0.164800  0.0058
83  70 0.165400  0.0053
84  74 0.166100  0.0048
85  77 0.166700  0.0044
86  78 0.167400  0.0040
87  74 0.168100  0.0036
88  75 0.168800  0.0033
89  74 0.169100  0.0030
90  76 0.169600  0.0028
91  79 0.170300  0.0025
92  84 0.170600  0.0023
93  85 0.171000  0.0021
94  84 0.171400  0.0019
95  85 0.171800  0.0017
96  87 0.172300  0.0016
97  93 0.172300  0.0014
98  98 0.173000  0.0013
99  99 0.173100  0.0012
100 94 0.173500  0.0011
