
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 10.7700
2     1 0.001343  9.8160
3     1 0.002744  8.9440
4     2 0.004223  8.1490
5     4 0.007077  7.4250
6     9 0.011870  6.7660
7    18 0.018260  6.1650
8    27 0.026040  5.6170
9    40 0.034760  5.1180
10   56 0.044180  4.6630
11   66 0.053340  4.2490
12   69 0.062070  3.8720
13   72 0.070220  3.5280
14   72 0.077760  3.2140
15   71 0.084720  2.9290
16   70 0.091120  2.6690
17   68 0.097000  2.4320
18   69 0.102400  2.2160
19   69 0.107400  2.0190
20   69 0.111900  1.8390
21   66 0.116000  1.6760
22   66 0.119700  1.5270
23   65 0.123200  1.3910
24   65 0.126200  1.2680
25   63 0.129000  1.1550
26   62 0.131400  1.0530
27   60 0.133600  0.9590
28   59 0.135600  0.8738
29   57 0.137300  0.7962
30   54 0.138800  0.7255
31   54 0.140200  0.6610
32   57 0.141800  0.6023
33   58 0.143400  0.5488
34   62 0.144900  0.5000
35   61 0.146400  0.4556
36   65 0.147800  0.4151
37   68 0.149100  0.3783
38   68 0.150400  0.3447
39   70 0.151600  0.3140
40   71 0.152700  0.2861
41   71 0.153800  0.2607
42   72 0.154800  0.2376
43   76 0.155800  0.2165
44   79 0.156700  0.1972
45   82 0.157700  0.1797
46   79 0.158600  0.1637
47   79 0.159400  0.1492
48   78 0.160100  0.1359
49   82 0.160800  0.1239
50   83 0.161500  0.1129
51   84 0.162100  0.1028
52   90 0.162800  0.0937
53   95 0.163500  0.0854
54   98 0.164100  0.0778
55   98 0.164800  0.0709
56   98 0.165400  0.0646
57   98 0.166100  0.0588
58   98 0.166600  0.0536
59   99 0.167100  0.0488
60  103 0.167600  0.0445
61  103 0.168100  0.0406
62  104 0.168500  0.0370
63  101 0.168900  0.0337
64  102 0.169200  0.0307
65  106 0.169500  0.0280
66  111 0.169800  0.0255
67  113 0.170000  0.0232
68  114 0.170300  0.0212
69  116 0.170600  0.0193
70  116 0.170900  0.0176
71  116 0.171100  0.0160
72  119 0.171300  0.0146
73  121 0.171600  0.0133
74  123 0.171800  0.0121
75  126 0.172000  0.0110
76  123 0.172200  0.0100
77  125 0.172400  0.0092
78  125 0.172600  0.0083
79  129 0.172800  0.0076
80  137 0.173000  0.0069
81  142 0.173100  0.0063
82  146 0.173300  0.0057
83  148 0.173400  0.0052
84  150 0.173600  0.0048
85  155 0.173700  0.0043
86  155 0.173800  0.0040
87  155 0.173900  0.0036
88  158 0.174000  0.0033
89  163 0.174200  0.0030
90  165 0.174300  0.0027
91  170 0.174400  0.0025
92  165 0.174400  0.0023
93  169 0.174500  0.0021
94  169 0.174600  0.0019
95  176 0.174700  0.0017
96  179 0.174800  0.0016
97  170 0.174800  0.0014
98  172 0.174800  0.0013
99  185 0.174900  0.0012
100 183 0.174900  0.0011
