
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 0.61560
2     1 0.00657 0.56090
3     1 0.01214 0.51110
4     2 0.01696 0.46570
5     3 0.02485 0.42430
6     5 0.03411 0.38660
7     7 0.04512 0.35230
8     9 0.05475 0.32100
9    11 0.06606 0.29250
10   14 0.07686 0.26650
11   16 0.08692 0.24280
12   23 0.09607 0.22120
13   23 0.10430 0.20160
14   25 0.11140 0.18370
15   27 0.11740 0.16740
16   30 0.12240 0.15250
17   29 0.12700 0.13890
18   28 0.13080 0.12660
19   31 0.13400 0.11540
20   30 0.13660 0.10510
21   32 0.13870 0.09577
22   32 0.14040 0.08726
23   32 0.14180 0.07951
24   32 0.14290 0.07245
25   30 0.14390 0.06601
26   30 0.14470 0.06015
27   30 0.14540 0.05480
28   30 0.14590 0.04993
29   31 0.14660 0.04550
30   31 0.14800 0.04146
31   30 0.14920 0.03777
32   30 0.15030 0.03442
33   31 0.15120 0.03136
34   33 0.15210 0.02857
35   34 0.15310 0.02604
36   34 0.15420 0.02372
37   37 0.15510 0.02162
38   39 0.15600 0.01969
39   45 0.15700 0.01795
40   48 0.15800 0.01635
41   50 0.15890 0.01490
42   50 0.15960 0.01357
43   50 0.16050 0.01237
44   50 0.16120 0.01127
45   52 0.16200 0.01027
46   54 0.16290 0.00936
47   56 0.16370 0.00852
48   59 0.16460 0.00777
49   59 0.16530 0.00708
50   62 0.16620 0.00645
51   66 0.16680 0.00588
52   67 0.16750 0.00535
53   69 0.16810 0.00488
54   69 0.16870 0.00444
55   69 0.16910 0.00405
56   70 0.16950 0.00369
57   73 0.16990 0.00336
58   74 0.17030 0.00306
59   74 0.17060 0.00279
60   74 0.17100 0.00254
61   76 0.17130 0.00232
62   78 0.17160 0.00211
63   80 0.17200 0.00192
64   82 0.17230 0.00175
65   83 0.17270 0.00160
66   82 0.17300 0.00146
67   77 0.17330 0.00133
68   75 0.17360 0.00121
69   78 0.17380 0.00110
70   77 0.17390 0.00100
71   82 0.17410 0.00091
72   88 0.17420 0.00083
73   93 0.17430 0.00076
74   96 0.17440 0.00069
75  102 0.17450 0.00063
76  106 0.17460 0.00057
77  105 0.17460 0.00052
78  109 0.17470 0.00048
79  110 0.17480 0.00043
80  113 0.17480 0.00040
81  109 0.17500 0.00036
82  110 0.17500 0.00033
83  111 0.17510 0.00030
84  113 0.17510 0.00027
85  116 0.17510 0.00025
86  114 0.17510 0.00023
87  123 0.17510 0.00021
88  129 0.17510 0.00019
89  132 0.17510 0.00017
90  135 0.17510 0.00016
91  138 0.17520 0.00014
92  140 0.17520 0.00013
93  145 0.17520 0.00012
94  150 0.17520 0.00011
95  154 0.17520 0.00010
96  158 0.17520 0.00009
97  161 0.17520 0.00008
98  162 0.17520 0.00007
99  162 0.17520 0.00007
100 168 0.17520 0.00006
