IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,PKA_152,PKA_152_ASA,PKA_152_CSV,PKA_160_CSV,PKA_190_EXP,DOM_Alpha_kinase_EXP,DOM_Myosin_head_EXP,DOM_SH3_1,MUT_CDC42BPA_EXP,MUT_CDKL5,MUT_CDKL5_EXP,MUT_PAN3,MUT_RIPK4_EXP,REC_R_HSA_2730861_EXP,REC_R_HSA_74885,REC_R_HSA_74885_EXP,PWY_R_HSA_111465,PWY_R_HSA_8864260,PWY_R_HSA_8878171,GO_0006357,GO_0030900,GO_0030900_EXP,GO_0034122,GO_0043547,GO_0048015,GO_0048015_EXP,GO_0048170,EXP_MAP3K20,EXP_STK38,EXP_RPS6KB1,EXP_NEK11,EXP_BMPR2,PKA_111_EXP_X_Fingerprint_643,PKA_114_B62_X_Fingerprint_363,PKA_164_ENG_X_Fingerprint_363,PKA_214_HYD_X_Fingerprint_812,PKA_214_HYD_X_Fingerprint_818,PKA_228_B62_X_Fingerprint_363,PKA_228_CSV_X_Fingerprint_363,PKA_228_ENG_X_Fingerprint_812,PKA_228_ENG_X_Fingerprint_818,PKA_228_VOL_X_Fingerprint_812,PKA_228_VOL_X_Fingerprint_818,PKA_228_X_Fingerprint_363,PKA_235_X_Fingerprint_363,PKA_235_X_Fingerprint_776,PKA_239_B62_X_Fingerprint_363,PKA_264_CSV_X_Fingerprint_363,PKA_264_POL_X_Fingerprint_812,PKA_48_ASA_X_Fingerprint_672,PKA_48_CSV_X_Fingerprint_672,PKA_48_POL_X_Fingerprint_672,PKA_48_VOL_X_Fingerprint_672,PKA_72_EXP_X_Fingerprint_672,PKA_98_ASA_X_Fingerprint_363,PKA_98_ASA_X_Fingerprint_776,PKA_98_B62_X_Fingerprint_363,PKA_98_B62_X_Fingerprint_776,PKA_98_CSV_X_Fingerprint_363,PKA_98_ENG_X_Fingerprint_363,PKA_98_EXP_X_Fingerprint_611,PKA_98_EXP_X_Fingerprint_776,PKA_98_POL_X_Fingerprint_776,PKA_98_VOL_X_Fingerprint_363,PKA_98_X_Fingerprint_363,EXP_MAP4K4_X_EXP_FADD,EXP_MAP4K4_X_EXP_TP53,EXP_STK25_X_EXP_SIKE1,GO_0001934_EXP_X_GO_0019221_EXP,GO_0002318_X_GO_0016572,GO_0008284_X_GO_0051402,GO_0032212_EXP_X_GO_0051402_EXP,GO_0048661_EXP_X_GO_0070059_EXP,Predicted IC50,Validation
4.568453,906870,1030,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.49502066,0,6.5309552311,8.0241236289,6.5766665458,3.4589675158,7.2483063309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.204290329,25.515584744,42.052840238,42.185293374,0,0,0,0,4.486141895,5
-4.280502,906855,260,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.875249767,0,6.0736389378,8.4696551966,7.4951280696,3.4985837213,5.7297720946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.552904792,21.644863771,38.005707707,0,0,0,0,0,-3.682558984,8
-0.319739,910710,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0691796652,0,0,0,0,0,6.3095677972,9.5607971857,6.1365409864,3.3313170354,5.9672993147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.359740741,31.638298689,39.97427887,0,0,0,0,0,0.0817841544,9
4.56435,907311,288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.9738327121,7.7621322073,6.559493241,3.5163131376,6.322549717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.253417189,30.085647944,42.14138695,0,0,0,0,0,3.2499531945,4
2.488577,908148,294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9628428931,0,0,0,0,0,6.2721830814,7.2167976286,6.9368781843,3.279795275,6.1400620802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.008717636,24.718190579,35.56889637,0,0,0,0,0,1.9527647075,2
1.522908,1330991,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,-60,0.772849,0.783855,0,2.7614239148,0,0,0,0,0,1,3.6618326067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706805974,6.67721219,6.3942889296,3.4642280325,4.6594439134,0,0,1.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.365032204,20.716604125,31.381958971,0,1,0,0,0,0.9700437697,8
1.623094,906870,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.49502066,0,6.5309552311,8.0241236289,6.5766665458,3.4589675158,7.2483063309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.204290329,25.515584744,42.052840238,42.185293374,0,0,0,0,1.9246659532,10
0.944589,906870,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.49502066,0,6.5309552311,8.0241236289,6.5766665458,3.4589675158,7.2483063309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.204290329,25.515584744,42.052840238,42.185293374,0,0,0,0,-0.615768892,7
3.593651,1330991,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,-60,0.772849,0.783855,0,2.7614239148,0,0,0,0,0,1,3.6618326067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706805974,6.67721219,6.3942889296,3.4642280325,4.6594439134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.365032204,20.716604125,31.381958971,0,1,0,0,0,3.5724990631,6
-1.173862,909715,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.1491430884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,6.2316962244,1,5.2865254926,6.898856315,6.4646310938,3.4253898472,5.2656798228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.402704747,27.833389032,36.533507715,29.262738288,0,0,0,0,-1.182574318,9
