IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_830,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_646,Fingerprint_644,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,MUT_MAST2,FAM_PKL_EXP,EXP_HASPIN,EXP_FER,EXP_TRPM6,PKA_141_B62_X_Fingerprint_776,PKA_141_CSV_X_Fingerprint_776,PKA_141_ENG_X_Fingerprint_776,PKA_242_HYD_X_Fingerprint_658,PKA_271_ENG_X_Fingerprint_617,PKA_296_ASA_X_Fingerprint_824,PKA_296_ENG_X_Fingerprint_824,PKA_296_POL_X_Fingerprint_824,PKA_296_VOL_X_Fingerprint_824,EXP_BLK_X_EXP_DAPP1,EXP_GRK7_X_EXP_CCR8,EXP_LRRK2_X_EXP_RAB29,EXP_LRRK2_X_EXP_TFDP1,EXP_MAP3K1_X_EXP_NRK,EXP_MAPK14_X_EXP_ACTA1,EXP_MAPK14_X_EXP_ESR1,EXP_MAPK14_X_EXP_GNA15,EXP_RAF1_X_EXP_SCNN1G,PWY_R_HSA_194315_EXP_X_PWY_R_HSA_3928662_EXP
2.634343,688086,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47858749983974,6.15923773089956,2.95881720998222,0,0,0,0,0,0,0,0,0,10.1692779034029,9.53669194621327,13.8607182353319,21.350870204538,20.3422891595845,15.1985137632625,13.9981185089393,15.1784629164547,19.2498904003468,0
3.991539,688087,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.29503467667247,6.53523443724426,2.92588903257302,0,0,0,0,0,0,0,0,0,8.74279204571537,8.59172207485249,12.4427311220029,18.6608607087835,22.7125843413101,14.7903980644957,14.8710183916385,14.631480559494,16.5741846313685,0
4.345365,717431,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91708608606513,5.21811468040466,2.95579561099349,0,0,0,0,0,0,0,0,0,8.78615184195452,10.1076979206019,15.7222880498451,18.9922130476709,25.8060438541245,15.281969069482,14.8475360392683,15.5834802610041,18.4730266375937,0
4.532426,724828,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58565049586801,5.40832031582864,3.06917830361149,0,0,0,0,0,0,0,0,0,9.86502261924001,9.00569719561553,22.6285135177444,20.238928150587,30.4926214856347,18.0671189698137,17.0222148361757,18.1098954345616,16.7946084678428,0
4.168496,753616,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17935239001706,6.3150001347541,3.04756526091554,0,0,0,0,0,-43.7,6.223,-3.3,-62,9.02649185545318,9.34264806118968,18.2262158412973,18.3416048663405,28.1099082420695,17.2569195534234,14.5534215888169,15.580136941171,18.3856096730956,0
2.487038,753618,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.93258601114191,4.15743112485985,6.2040964011719,2.79407655491103,0,0,0,0,0,0,0,0,0,9.15227636272835,9.75261142248093,20.5326442327439,19.4602337641289,21.3533307426385,17.0870207518534,15.9478496123976,16.5418768157985,20.5406852642805,0
3.614228,753620,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9955726525555,5.47722152768162,3.04981599772812,0,0,0,0,0,0,0,0,0,9.53995159787112,9.18485649412245,18.2763617662569,19.3369536078076,24.9861470799467,15.103576539248,14.1873598724974,15.396528752285,19.8028368814122,33.389882892825
2.494886,907170,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.60544330926387,5.06351085361844,5.05435663374791,2.89862901336571,0,0,0,0,0,0,0,0,0,8.64555922765711,10.0135389689864,25.7019167419002,23.5463094299577,18.332404863959,18.096705538898,15.9981853321234,16.9463549824311,22.0342087583223,0
4.231409,907314,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.93527185728945,5.93809817348175,3.31585205012393,0,0,0,0,0,0,0,0,0,10.1242799789659,8.74186360444478,11.2256313873294,20.9954033241275,29.6978270524706,16.6161779287668,15.1394601929039,15.924896128319,20.7787492375441,38.6610835743386
3.76495,908447,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58327750490517,5.95497563802901,3.05449944373379,0,0,0,0,0,0,0,0,0,9.00263104221253,9.1869703409058,14.1537900290321,18.7152653940914,29.9906104073813,16.0707920954893,15.2338938663649,16.6335943140064,19.542371655273,0
3.724458,910780,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04581266052502,5.91307381144235,2.87523783772635,0,0,0,0,0,0,0,0,0,8.6117793652844,9.05168680929511,19.9000771887352,19.9986986214498,27.7381547416322,17.0331646181438,16.1918746951211,15.6210212635077,21.4515931422636,0
3.204984,949171,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43384796042592,5.65505191045686,3.28932060396708,0,0,0,0,0,0,0,0,0,9.0542677751924,9.13537808467234,17.6450250947319,17.8642098914699,26.9333345257609,17.751558479899,15.5445448682368,17.4982701576281,19.1054692629892,0
3.453014,949172,1010,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79059748326254,6.6002168183482,3.0231986151127,0,0,0,0,0,0,0,0,0,11.1494221120692,8.32512144252869,22.6324576762485,20.9903073785383,27.5960680178844,17.0299413673812,14.9152916205472,16.664877450791,16.6964726886135,0
