
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 104.300
2    1 0.004809  95.000
3    1 0.008855  86.560
4    1 0.012250  78.870
5    1 0.015110  71.860
6    1 0.017500  65.480
7    1 0.019510  59.660
8    1 0.021190  54.360
9    1 0.022590  49.530
10   1 0.023770  45.130
11   2 0.025450  41.120
12   2 0.028390  37.470
13   2 0.030870  34.140
14   3 0.033830  31.110
15   3 0.037460  28.340
16   3 0.040540  25.830
17   4 0.043180  23.530
18   4 0.045590  21.440
19   4 0.047630  19.540
20   6 0.050980  17.800
21   7 0.053970  16.220
22   9 0.056800  14.780
23   8 0.059680  13.470
24  10 0.062000  12.270
25  10 0.064010  11.180
26  12 0.066400  10.190
27  13 0.068730   9.281
28  15 0.070890   8.457
29  17 0.073210   7.706
30  17 0.075280   7.021
31  17 0.077060   6.397
32  16 0.078580   5.829
33  15 0.079800   5.311
34  15 0.080850   4.839
35  15 0.081710   4.409
36  16 0.082490   4.018
37  15 0.083330   3.661
38  15 0.084070   3.336
39  19 0.085820   3.039
40  18 0.088130   2.769
41  20 0.090220   2.523
42  20 0.092060   2.299
43  20 0.093600   2.095
44  20 0.094890   1.909
45  20 0.096000   1.739
46  20 0.096940   1.585
47  24 0.097860   1.444
48  26 0.099840   1.316
49  25 0.101800   1.199
50  29 0.104400   1.092
51  31 0.107600   0.995
52  32 0.110900   0.907
53  34 0.114800   0.826
54  34 0.118800   0.753
55  33 0.123200   0.686
56  34 0.127400   0.625
57  37 0.131600   0.570
58  36 0.135700   0.519
59  38 0.139700   0.473
60  38 0.143600   0.431
61  38 0.147400   0.392
62  40 0.151000   0.358
63  42 0.154400   0.326
64  42 0.157800   0.297
65  44 0.161000   0.271
66  46 0.164000   0.246
67  47 0.166800   0.225
68  46 0.169500   0.205
69  51 0.172000   0.186
70  51 0.174300   0.170
71  52 0.176500   0.155
72  51 0.178400   0.141
73  55 0.180200   0.128
74  58 0.181900   0.117
75  58 0.183300   0.107
76  60 0.184600   0.097
77  61 0.185800   0.089
78  65 0.186800   0.081
79  68 0.187700   0.074
80  67 0.188600   0.067
81  67 0.189300   0.061
82  69 0.190000   0.056
83  70 0.190500   0.051
84  73 0.191000   0.046
85  74 0.191400   0.042
86  75 0.191800   0.038
87  75 0.192100   0.035
88  75 0.192400   0.032
89  76 0.192600   0.029
90  78 0.192800   0.026
91  78 0.193000   0.024
92  78 0.193100   0.022
93  80 0.193200   0.020
94  82 0.193300   0.018
95  84 0.193400   0.017
96  87 0.193500   0.015
97  87 0.193600   0.014
98  88 0.193600   0.013
99  89 0.193700   0.011
100 90 0.193700   0.010
