
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.4300
2    1 0.005038  9.5000
3    1 0.009220  8.6560
4    1 0.012690  7.8870
5    1 0.015570  7.1860
6    1 0.017970  6.5480
7    1 0.019960  5.9660
8    1 0.021600  5.4360
9    1 0.022970  4.9530
10   1 0.024110  4.5130
11   2 0.025570  4.1120
12   2 0.028680  3.7470
13   2 0.031270  3.4140
14   3 0.034250  3.1110
15   3 0.038060  2.8340
16   3 0.041220  2.5830
17   3 0.043840  2.3530
18   4 0.046110  2.1440
19   4 0.048180  1.9540
20   5 0.051520  1.7800
21   6 0.054750  1.6220
22   7 0.057460  1.4780
23   8 0.059820  1.3470
24   9 0.062240  1.2270
25   9 0.064360  1.1180
26  10 0.066850  1.0190
27  12 0.069130  0.9281
28  14 0.071200  0.8457
29  16 0.073630  0.7706
30  15 0.075850  0.7021
31  15 0.077660  0.6397
32  15 0.079130  0.5829
33  15 0.080350  0.5311
34  14 0.081370  0.4839
35  14 0.082210  0.4409
36  15 0.082930  0.4018
37  13 0.083700  0.3661
38  14 0.084520  0.3336
39  17 0.086480  0.3039
40  18 0.088770  0.2769
41  19 0.090850  0.2523
42  19 0.092700  0.2299
43  19 0.094250  0.2095
44  19 0.095520  0.1909
45  19 0.096580  0.1739
46  19 0.097470  0.1585
47  23 0.098310  0.1444
48  23 0.104000  0.1316
49  25 0.108800  0.1199
50  26 0.114500  0.1092
51  27 0.121000  0.0995
52  27 0.127100  0.0907
53  31 0.134500  0.0826
54  32 0.142900  0.0753
55  32 0.151000  0.0686
56  32 0.157800  0.0625
57  35 0.163400  0.0570
58  35 0.168100  0.0519
59  36 0.172000  0.0473
60  35 0.175300  0.0431
61  36 0.178100  0.0392
62  36 0.180400  0.0358
63  38 0.182500  0.0326
64  40 0.184200  0.0297
65  40 0.185600  0.0271
66  43 0.186800  0.0246
67  45 0.187900  0.0225
68  48 0.188800  0.0205
69  50 0.189600  0.0186
70  50 0.190300  0.0170
71  52 0.190800  0.0155
72  53 0.191300  0.0141
73  57 0.191700  0.0128
74  59 0.192100  0.0117
75  58 0.192400  0.0107
76  60 0.192600  0.0097
77  61 0.192800  0.0089
78  65 0.193000  0.0081
79  66 0.193100  0.0074
80  67 0.193300  0.0067
81  68 0.193300  0.0061
82  69 0.193400  0.0056
83  69 0.193500  0.0051
84  70 0.193600  0.0046
85  70 0.193600  0.0042
86  72 0.193700  0.0038
87  72 0.193700  0.0035
88  73 0.193700  0.0032
89  75 0.193800  0.0029
90  77 0.193800  0.0026
91  78 0.193800  0.0024
92  79 0.193800  0.0022
93  80 0.193800  0.0020
94  80 0.193900  0.0018
95  80 0.193900  0.0017
96  80 0.193900  0.0015
97  81 0.193900  0.0014
98  84 0.193900  0.0013
99  84 0.193900  0.0011
100 90 0.193900  0.0010
