
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 1043.00
2     1 0.003306  950.00
3     1 0.006337  865.60
4     1 0.009098  788.70
5     2 0.011700  718.60
6     2 0.014210  654.80
7     2 0.016400  596.60
8     2 0.018310  543.60
9     4 0.020080  495.30
10    4 0.021610  451.30
11    5 0.023830  411.20
12    5 0.026080  374.70
13    5 0.028090  341.40
14    7 0.031050  311.10
15    7 0.034160  283.40
16    8 0.037020  258.30
17    9 0.039770  235.30
18    9 0.042290  214.40
19   10 0.045020  195.40
20   12 0.047870  178.00
21   13 0.050580  162.20
22   14 0.053140  147.80
23   16 0.055820  134.70
24   17 0.058490  122.70
25   19 0.061100  111.80
26   21 0.063760  101.90
27   21 0.066320   92.81
28   19 0.068480   84.57
29   20 0.070360   77.06
30   20 0.072070   70.21
31   20 0.073590   63.97
32   21 0.074970   58.29
33   20 0.076180   53.11
34   20 0.077250   48.39
35   20 0.078230   44.09
36   22 0.079200   40.18
37   22 0.080100   36.61
38   22 0.080940   33.36
39   23 0.081810   30.39
40   26 0.083110   27.69
41   27 0.085060   25.23
42   27 0.086870   22.99
43   30 0.088570   20.95
44   30 0.090160   19.09
45   30 0.091610   17.39
46   32 0.092950   15.85
47   31 0.094230   14.44
48   33 0.095460   13.16
49   35 0.096600   11.99
50   36 0.097820   10.92
51   37 0.099040    9.95
52   38 0.100200    9.07
53   40 0.101400    8.26
54   41 0.102600    7.53
55   43 0.103800    6.86
56   44 0.105200    6.25
57   45 0.106500    5.70
58   47 0.107900    5.19
59   49 0.109200    4.73
60   49 0.110600    4.31
61   51 0.112100    3.92
62   53 0.113600    3.58
63   55 0.115100    3.26
64   56 0.116800    2.97
65   57 0.118500    2.71
66   57 0.120200    2.46
67   56 0.122000    2.25
68   58 0.123900    2.05
69   61 0.125800    1.86
70   63 0.127800    1.70
71   64 0.129900    1.55
72   64 0.132000    1.41
73   66 0.134100    1.28
74   68 0.136400    1.17
75   70 0.138700    1.07
76   71 0.141000    0.97
77   73 0.143400    0.89
78   74 0.145800    0.81
79   75 0.148200    0.74
80   76 0.150600    0.67
81   77 0.153000    0.61
82   79 0.155400    0.56
83   82 0.157800    0.51
84   84 0.160100    0.46
85   84 0.162400    0.42
86   85 0.164600    0.38
87   85 0.166800    0.35
88   85 0.168900    0.32
89   87 0.170900    0.29
90   89 0.172900    0.26
91   91 0.174700    0.24
92   91 0.176500    0.22
93   92 0.178100    0.20
94   94 0.179600    0.18
95   95 0.181100    0.17
96   96 0.182400    0.15
97   97 0.183600    0.14
98   99 0.184800    0.13
99  101 0.185800    0.11
100 101 0.186800    0.10
