
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 2.21800
2    2 0.004586 2.02100
3    3 0.010630 1.84200
4    4 0.018810 1.67800
5    7 0.027830 1.52900
6   11 0.037700 1.39300
7   16 0.051490 1.26900
8   20 0.067240 1.15700
9   22 0.081390 1.05400
10  25 0.094160 0.96020
11  27 0.105700 0.87490
12  30 0.116100 0.79720
13  31 0.125300 0.72630
14  41 0.133700 0.66180
15  42 0.141200 0.60300
16  42 0.147700 0.54950
17  41 0.153300 0.50060
18  38 0.158000 0.45620
19  39 0.162100 0.41560
20  38 0.165700 0.37870
21  38 0.168800 0.34510
22  38 0.171500 0.31440
23  37 0.173800 0.28650
24  36 0.175700 0.26100
25  34 0.177200 0.23780
26  36 0.178600 0.21670
27  36 0.179800 0.19750
28  34 0.180700 0.17990
29  34 0.181600 0.16390
30  33 0.182300 0.14940
31  33 0.182800 0.13610
32  33 0.183300 0.12400
33  34 0.183900 0.11300
34  34 0.184300 0.10300
35  33 0.185000 0.09381
36  36 0.185700 0.08548
37  39 0.186600 0.07788
38  40 0.187400 0.07096
39  41 0.188100 0.06466
40  41 0.188800 0.05892
41  42 0.189300 0.05368
42  42 0.189800 0.04891
43  45 0.190200 0.04457
44  46 0.190600 0.04061
45  46 0.191000 0.03700
46  52 0.191300 0.03371
47  52 0.191600 0.03072
48  54 0.191900 0.02799
49  52 0.192100 0.02550
50  52 0.192300 0.02324
51  54 0.192500 0.02117
52  56 0.192700 0.01929
53  57 0.192800 0.01758
54  60 0.193000 0.01602
55  60 0.193100 0.01459
56  59 0.193200 0.01330
57  61 0.193300 0.01212
58  61 0.193400 0.01104
59  61 0.193500 0.01006
60  61 0.193500 0.00916
61  61 0.193600 0.00835
62  61 0.193600 0.00761
63  65 0.193700 0.00693
64  65 0.193700 0.00632
65  68 0.193700 0.00576
66  71 0.193700 0.00524
67  72 0.193800 0.00478
68  74 0.193800 0.00435
69  74 0.193800 0.00397
70  76 0.193800 0.00362
71  76 0.193800 0.00329
72  78 0.193900 0.00300
73  78 0.193900 0.00274
74  79 0.193900 0.00249
75  82 0.193900 0.00227
76  84 0.193900 0.00207
77  85 0.193900 0.00188
78  86 0.193900 0.00172
79  87 0.193900 0.00156
80  88 0.193900 0.00143
81  91 0.193900 0.00130
82  93 0.193900 0.00118
83  93 0.193900 0.00108
84  96 0.193900 0.00098
85  96 0.193900 0.00090
86  96 0.193900 0.00082
87  98 0.193900 0.00074
88 100 0.193900 0.00068
