
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1   141 0.00000 10430.0
2   141 0.03982  9500.0
3   141 0.04104  8656.0
4   141 0.04226  7887.0
5   141 0.04347  7186.0
6   141 0.04467  6548.0
7   141 0.04586  5966.0
8   141 0.04704  5436.0
9   141 0.04821  4953.0
10  141 0.04938  4513.0
11  141 0.05053  4112.0
12  141 0.05168  3747.0
13  141 0.05281  3414.0
14  141 0.05394  3111.0
15  141 0.05506  2834.0
16  141 0.05617  2583.0
17  141 0.05726  2353.0
18  141 0.05835  2144.0
19  141 0.05942  1954.0
20  141 0.06049  1780.0
21  141 0.06154  1622.0
22  141 0.06257  1478.0
23  141 0.06360  1347.0
24  141 0.06461  1227.0
25  141 0.06561  1118.0
26  141 0.06660  1019.0
27  141 0.06758   928.1
28  141 0.06855   845.7
29  141 0.06950   770.6
30  141 0.07045   702.1
31  141 0.07139   639.7
32  141 0.07232   582.9
33  141 0.07324   531.1
34  141 0.07417   483.9
35  141 0.07509   440.9
36  141 0.07600   401.8
37  141 0.07692   366.1
38  141 0.07784   333.6
39  141 0.07876   303.9
40  141 0.07968   276.9
41  141 0.08062   252.3
42  141 0.08155   229.9
43  141 0.08249   209.5
44  141 0.08343   190.9
45  141 0.08439   173.9
46  141 0.08534   158.5
47  141 0.08629   144.4
48  141 0.08725   131.6
49  141 0.08821   119.9
50  141 0.08917   109.2
51  141 0.09012    99.5
52  141 0.09107    90.7
53  141 0.09201    82.6
54  141 0.09295    75.3
55  141 0.09388    68.6
56  141 0.09479    62.5
57  141 0.09569    57.0
58  141 0.09658    51.9
59  141 0.09745    47.3
60  141 0.09830    43.1
61  141 0.09913    39.2
62  141 0.09996    35.8
63  141 0.10080    32.6
64  141 0.10150    29.7
65  141 0.10230    27.1
66  141 0.10310    24.6
67  141 0.10380    22.5
68  141 0.10460    20.5
69  141 0.10530    18.6
70  141 0.10600    17.0
71  141 0.10670    15.5
72  141 0.10740    14.1
73  141 0.10820    12.8
74  141 0.10890    11.7
75  141 0.10970    10.7
76  141 0.11040     9.7
77  141 0.11120     8.9
78  141 0.11200     8.1
79  141 0.11280     7.4
80  141 0.11370     6.7
81  141 0.11460     6.1
82  141 0.11560     5.6
83  141 0.11660     5.1
84  141 0.11760     4.6
85  141 0.11870     4.2
86  141 0.11990     3.8
87  141 0.12110     3.5
88  141 0.12230     3.2
89  141 0.12370     2.9
90  141 0.12510     2.6
91  141 0.12650     2.4
92  141 0.12810     2.2
93  141 0.12970     2.0
94  141 0.13140     1.8
95  141 0.13310     1.7
96  141 0.13500     1.5
97  141 0.13690     1.4
98  141 0.13880     1.3
99  141 0.14080     1.1
100 141 0.14290     1.0
