
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.5100
2    1 0.003644  9.5790
3    1 0.006670  8.7280
4    1 0.009184  7.9520
5    1 0.011270  7.2460
6    1 0.013000  6.6020
7    1 0.014440  6.0160
8    1 0.015640  5.4810
9    1 0.016630  4.9940
10   1 0.017460  4.5510
11   1 0.018140  4.1460
12   1 0.018710  3.7780
13   1 0.019180  3.4420
14   1 0.019580  3.1370
15   1 0.019900  2.8580
16   1 0.020170  2.6040
17   1 0.020400  2.3730
18   1 0.020580  2.1620
19   1 0.020740  1.9700
20   1 0.020870  1.7950
21   1 0.020970  1.6350
22   1 0.021060  1.4900
23   1 0.021130  1.3580
24   1 0.021200  1.2370
25   2 0.024190  1.1270
26   2 0.027190  1.0270
27   2 0.029690  0.9358
28   2 0.031780  0.8527
29   2 0.033510  0.7769
30   2 0.034950  0.7079
31   3 0.036180  0.6450
32   3 0.039430  0.5877
33   3 0.042140  0.5355
34   3 0.044400  0.4879
35   3 0.046280  0.4446
36   3 0.047840  0.4051
37   3 0.049140  0.3691
38   3 0.050230  0.3363
39   4 0.051710  0.3064
40   4 0.054100  0.2792
41   4 0.056100  0.2544
42   4 0.057770  0.2318
43   4 0.059160  0.2112
44   5 0.060340  0.1925
45   5 0.061350  0.1754
46   6 0.062410  0.1598
47   6 0.063870  0.1456
48   7 0.065370  0.1327
49   8 0.067070  0.1209
50   9 0.068870  0.1101
51   9 0.070420  0.1003
52  10 0.071950  0.0914
53  10 0.073300  0.0833
54  11 0.074480  0.0759
55  11 0.075530  0.0692
56  11 0.076420  0.0630
57  12 0.077160  0.0574
58  12 0.077840  0.0523
59  12 0.078420  0.0477
60  12 0.078900  0.0434
61  14 0.079380  0.0396
62  14 0.080070  0.0361
63  13 0.080500  0.0329
64  13 0.080850  0.0299
65  13 0.081150  0.0273
66  13 0.081400  0.0249
67  14 0.081640  0.0226
68  14 0.082000  0.0206
69  14 0.082320  0.0188
70  15 0.082540  0.0171
71  16 0.082800  0.0156
72  16 0.083080  0.0142
73  16 0.083330  0.0130
74  15 0.083510  0.0118
75  15 0.083620  0.0108
76  15 0.083720  0.0098
77  16 0.083820  0.0089
78  16 0.083920  0.0081
79  16 0.084010  0.0074
80  17 0.084090  0.0068
81  15 0.084140  0.0062
82  16 0.084170  0.0056
83  16 0.084200  0.0051
84  16 0.084230  0.0047
85  17 0.084250  0.0042
86  20 0.084280  0.0039
87  20 0.084330  0.0035
88  20 0.084380  0.0032
89  20 0.084430  0.0029
90  20 0.084470  0.0027
91  20 0.084490  0.0024
92  20 0.084520  0.0022
93  20 0.084540  0.0020
94  20 0.084560  0.0018
95  20 0.084580  0.0017
96  20 0.084590  0.0015
97  20 0.084600  0.0014
98  20 0.084610  0.0013
99  20 0.084620  0.0012
100 20 0.084630  0.0011
