
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 7.4640
2    1 0.007305 6.8010
3    1 0.013370 6.1970
4    2 0.019270 5.6470
5    2 0.024850 5.1450
6    2 0.029490 4.6880
7    2 0.033340 4.2710
8    2 0.036540 3.8920
9    2 0.039190 3.5460
10   2 0.041400 3.2310
11   2 0.043230 2.9440
12   3 0.046600 2.6830
13   3 0.050530 2.4440
14   3 0.053800 2.2270
15   3 0.056510 2.0290
16   3 0.058770 1.8490
17   3 0.060640 1.6850
18   3 0.062190 1.5350
19   3 0.063480 1.3990
20   3 0.064550 1.2740
21   3 0.065440 1.1610
22   3 0.066170 1.0580
23   3 0.066790 0.9641
24   3 0.067290 0.8784
25   5 0.067960 0.8004
26   5 0.070230 0.7293
27   5 0.072100 0.6645
28   5 0.073660 0.6055
29   5 0.074950 0.5517
30   6 0.076040 0.5027
31   6 0.077140 0.4580
32   6 0.078030 0.4173
33   6 0.078770 0.3802
34   6 0.079390 0.3465
35   7 0.080090 0.3157
36   6 0.081150 0.2876
37   7 0.081990 0.2621
38   7 0.082860 0.2388
39   7 0.083570 0.2176
40   8 0.084170 0.1983
41   9 0.090780 0.1806
42  11 0.101400 0.1646
43  11 0.113900 0.1500
44  11 0.124300 0.1367
45  12 0.136400 0.1245
46  12 0.146600 0.1135
47  12 0.155100 0.1034
48  12 0.162200 0.0942
49  12 0.168100 0.0858
50  13 0.173000 0.0782
51  14 0.177900 0.0712
52  16 0.182300 0.0649
53  17 0.189100 0.0592
54  17 0.196100 0.0539
55  18 0.201900 0.0491
56  18 0.206800 0.0448
57  19 0.210800 0.0408
58  20 0.214400 0.0372
59  21 0.218000 0.0338
60  23 0.222400 0.0308
61  23 0.226300 0.0281
62  23 0.229600 0.0256
63  23 0.232300 0.0233
64  23 0.234500 0.0213
65  23 0.236400 0.0194
66  24 0.238100 0.0176
67  24 0.239700 0.0161
68  24 0.241100 0.0146
69  25 0.242400 0.0134
70  25 0.243600 0.0122
71  26 0.244600 0.0111
72  26 0.245500 0.0101
73  25 0.246300 0.0092
74  25 0.246900 0.0084
75  25 0.247400 0.0076
76  26 0.247800 0.0070
77  26 0.248200 0.0063
78  27 0.248500 0.0058
79  27 0.248700 0.0053
80  27 0.248900 0.0048
81  28 0.249100 0.0044
82  28 0.249300 0.0040
83  28 0.249400 0.0036
84  28 0.249500 0.0033
85  28 0.249600 0.0030
86  28 0.249700 0.0027
87  28 0.249700 0.0025
88  28 0.249800 0.0023
89  29 0.249800 0.0021
90  29 0.249800 0.0019
91  29 0.249900 0.0017
92  30 0.249900 0.0016
93  31 0.249900 0.0014
94  31 0.249900 0.0013
95  33 0.250000 0.0012
96  33 0.250000 0.0011
97  34 0.250000 0.0010
98  34 0.250000 0.0009
99  34 0.250000 0.0008
100 34 0.250000 0.0007
