
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.6600
2    1 0.007272  9.7160
3    1 0.013320  8.8530
4    2 0.019240  8.0670
5    2 0.024810  7.3500
6    2 0.029450  6.6970
7    2 0.033300  6.1020
8    2 0.036500  5.5600
9    2 0.039150  5.0660
10   2 0.041360  4.6160
11   2 0.043190  4.2060
12   3 0.046580  3.8320
13   3 0.050480  3.4920
14   3 0.053730  3.1820
15   3 0.056430  2.8990
16   3 0.058680  2.6410
17   3 0.060560  2.4070
18   3 0.062110  2.1930
19   3 0.063400  1.9980
20   3 0.064480  1.8210
21   3 0.065380  1.6590
22   3 0.066120  1.5120
23   3 0.066740  1.3770
24   3 0.067250  1.2550
25   5 0.067930  1.1430
26   5 0.070170  1.0420
27   5 0.072040  0.9493
28   5 0.073600  0.8649
29   5 0.074890  0.7881
30   6 0.076010  0.7181
31   6 0.077110  0.6543
32   6 0.078000  0.5962
33   6 0.078740  0.5432
34   6 0.079360  0.4950
35   7 0.080070  0.4510
36   6 0.081120  0.4109
37   7 0.081970  0.3744
38   7 0.082840  0.3412
39   7 0.083560  0.3108
40   8 0.084160  0.2832
41   9 0.089690  0.2581
42  11 0.098750  0.2351
43  11 0.109900  0.2143
44  11 0.119500  0.1952
45  12 0.130800  0.1779
46  12 0.140800  0.1621
47  12 0.149300  0.1477
48  12 0.156600  0.1346
49  12 0.162900  0.1226
50  14 0.168400  0.1117
51  15 0.173900  0.1018
52  16 0.179100  0.0928
53  17 0.185600  0.0845
54  17 0.192500  0.0770
55  18 0.198400  0.0702
56  18 0.203400  0.0639
57  19 0.207700  0.0582
58  20 0.211800  0.0531
59  22 0.215700  0.0484
60  23 0.220400  0.0441
61  23 0.224300  0.0402
62  23 0.227600  0.0366
63  23 0.230500  0.0333
64  23 0.232900  0.0304
65  23 0.234900  0.0277
66  24 0.236900  0.0252
67  24 0.238600  0.0230
68  24 0.240100  0.0209
69  25 0.241300  0.0191
70  25 0.242600  0.0174
71  26 0.243800  0.0158
72  26 0.244800  0.0144
73  26 0.245600  0.0132
74  25 0.246300  0.0120
75  25 0.246900  0.0109
76  26 0.247400  0.0099
77  26 0.247800  0.0091
78  27 0.248200  0.0083
79  27 0.248500  0.0075
80  27 0.248700  0.0069
81  28 0.248900  0.0062
82  28 0.249100  0.0057
83  28 0.249300  0.0052
84  28 0.249400  0.0047
85  28 0.249500  0.0043
86  28 0.249600  0.0039
87  29 0.249700  0.0036
88  29 0.249700  0.0033
89  29 0.249800  0.0030
90  30 0.249800  0.0027
91  30 0.249800  0.0025
92  30 0.249900  0.0022
93  31 0.249900  0.0020
94  31 0.249900  0.0019
95  31 0.249900  0.0017
96  34 0.249900  0.0015
97  34 0.250000  0.0014
98  33 0.250000  0.0013
99  33 0.250000  0.0012
100 33 0.250000  0.0011
