
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.5300
2    1 0.00620  9.5900
3    1 0.01139  8.7380
4    1 0.01574  7.9620
5    1 0.01939  7.2550
6    1 0.02243  6.6100
7    1 0.02498  6.0230
8    1 0.02710  5.4880
9    1 0.02888  5.0000
10   1 0.03036  4.5560
11   2 0.03185  4.1510
12   2 0.03313  3.7830
13   2 0.03419  3.4470
14   3 0.03562  3.1400
15   3 0.03744  2.8610
16   3 0.03896  2.6070
17   3 0.04022  2.3760
18   3 0.04128  2.1650
19   3 0.04216  1.9720
20   3 0.04290  1.7970
21   4 0.04390  1.6370
22   4 0.04501  1.4920
23   4 0.04592  1.3590
24   4 0.04669  1.2390
25   4 0.04732  1.1290
26   4 0.04786  1.0280
27   4 0.04830  0.9370
28   4 0.04867  0.8538
29   6 0.04906  0.7779
30   6 0.04951  0.7088
31   6 0.04989  0.6458
32   7 0.05042  0.5885
33   7 0.05091  0.5362
34   9 0.05176  0.4885
35   9 0.05604  0.4451
36  10 0.06209  0.4056
37  11 0.06825  0.3696
38  14 0.07482  0.3367
39  14 0.08401  0.3068
40  14 0.09231  0.2796
41  14 0.09978  0.2547
42  14 0.10650  0.2321
43  15 0.11400  0.2115
44  16 0.12250  0.1927
45  16 0.13090  0.1756
46  21 0.14000  0.1600
47  21 0.14970  0.1458
48  24 0.15960  0.1328
49  27 0.16980  0.1210
50  29 0.18030  0.1103
51  31 0.19020  0.1005
52  33 0.19990  0.0916
53  35 0.20920  0.0834
54  37 0.21820  0.0760
55  40 0.22770  0.0693
56  41 0.23670  0.0631
57  44 0.24660  0.0575
58  46 0.25610  0.0524
59  48 0.26530  0.0477
60  50 0.27380  0.0435
61  52 0.28160  0.0396
62  54 0.28960  0.0361
63  58 0.29770  0.0329
64  59 0.30580  0.0300
65  62 0.31360  0.0273
66  64 0.32110  0.0249
67  66 0.32830  0.0227
68  65 0.33480  0.0207
69  67 0.34070  0.0188
70  68 0.34630  0.0172
71  69 0.35140  0.0156
72  71 0.35600  0.0142
73  71 0.36020  0.0130
74  71 0.36390  0.0118
75  72 0.36730  0.0108
76  72 0.37020  0.0098
77  72 0.37280  0.0089
78  73 0.37510  0.0081
79  74 0.37720  0.0074
80  75 0.37910  0.0068
81  76 0.38080  0.0062
82  75 0.38230  0.0056
83  75 0.38360  0.0051
84  75 0.38480  0.0047
85  75 0.38580  0.0042
86  76 0.38660  0.0039
87  76 0.38740  0.0035
88  75 0.38800  0.0032
89  76 0.38860  0.0029
90  76 0.38900  0.0027
91  78 0.38940  0.0024
92  78 0.38980  0.0022
93  78 0.39020  0.0020
94  78 0.39050  0.0018
95  78 0.39070  0.0017
96  78 0.39100  0.0015
97  78 0.39120  0.0014
98  77 0.39130  0.0013
99  78 0.39150  0.0012
100 78 0.39160  0.0011
