IC50,Cancer,Drug,PKA_124_VOL_X_Fingerprint_644,PKA_130_POL_X_Fingerprint_658,PKA_134_ASA_X_Fingerprint_576,PKA_134_ASA_X_Fingerprint_644,PKA_134_HYD_X_Fingerprint_644,PKA_134_POL_X_Fingerprint_779,PKA_134_VOL_X_Fingerprint_576,PKA_134_VOL_X_Fingerprint_644,PKA_139_P_CSV_X_Fingerprint_709,PKA_139_P_EXP_X_Fingerprint_709,PKA_139_P_X_Fingerprint_709,PKA_139_X_Fingerprint_779,PKA_145_HYD_X_Fingerprint_707,PKA_145_POL_X_Fingerprint_685,PKA_145_VOL_X_Fingerprint_776,PKA_145_VOL_X_Fingerprint_821,PKA_145_X_Fingerprint_644,PKA_158_ASA_X_Fingerprint_363,PKA_158_ASA_X_Fingerprint_646,PKA_160_ENG_X_Fingerprint_644,PKA_160_ENG_X_Fingerprint_776,PKA_205_B62_X_Fingerprint_712,PKA_205_ENG_X_Fingerprint_797,PKA_205_EXP_X_Fingerprint_797,PKA_205_HYD_X_Fingerprint_779,PKA_205_POL_X_Fingerprint_702,PKA_205_POL_X_Fingerprint_714,PKA_205_R_CSV_X_Fingerprint_709,PKA_205_VOL_X_Fingerprint_779,PKA_207_HYD_X_Fingerprint_617,PKA_207_HYD_X_Fingerprint_798,PKA_218_B62_X_Fingerprint_644,PKA_218_EXP_X_Fingerprint_644,PKA_218_HYD_X_Fingerprint_818,PKA_230_ASA_X_Fingerprint_659,PKA_230_ENG_X_Fingerprint_779,PKA_230_EXP_X_Fingerprint_779,PKA_230_VOL_X_Fingerprint_779,PKA_234_ASA_X_Fingerprint_576,PKA_269_B62_X_Fingerprint_646,PKA_289_EXP_X_Fingerprint_617,PKA_293_ASA_X_Fingerprint_702,PKA_293_ASA_X_Fingerprint_707,PKA_293_B62_X_Fingerprint_702,PKA_293_HYD_X_Fingerprint_826,PKA_52_B62_X_Fingerprint_576,EXP_CDK12_X_EXP_TCEA1,EXP_CDK20_X_EXP_GTF2H3,EXP_CDK4_X_EXP_HIST1H2BA,EXP_CDK4_X_EXP_NFATC1,EXP_CDK4_X_EXP_NOTCH1,EXP_CDK4_X_EXP_SMAD3,EXP_CDK6_X_EXP_CDC25A,EXP_CSNK1E_X_EXP_MPHOSPH10,EXP_CSNK1E_X_EXP_WDR43,EXP_CSNK2A1_X_EXP_NFATC1,EXP_EIF2AK3_X_EXP_PSEN1,EXP_FGFR2_X_EXP_FGF8,EXP_FGFR2_X_EXP_RNF41,EXP_MAP2K1_X_EXP_PIK3CA,EXP_MAP2K1_X_EXP_YWHAQ,EXP_MAP3K8_X_EXP_NFATC2,EXP_MAPK12_X_EXP_TGM6,EXP_MAPK3_X_EXP_GAB2,EXP_PRKACG_X_EXP_GNG7,EXP_PRKACG_X_EXP_GPR161,EXP_SMG1_X_EXP_RPL15,EXP_SMG1_X_EXP_RPL3,EXP_TP53RK_X_EXP_TPRKB,PWY_R_HSA_1226099_X_PWY_R_HSA_1280215,PWY_R_HSA_174143_EXP_X_PWY_R_HSA_2555396_EXP,PWY_R_HSA_380972_X_PWY_R_HSA_5693571,PWY_R_HSA_449836_X_PWY_R_HSA_69620,GO_0000165_CSV_X_GO_0031532_CSV,GO_0001541_X_GO_0014066,GO_0001666_X_GO_0071364,GO_0002931_EXP_X_GO_0008285_EXP,GO_0006182_X_GO_0030097,GO_0006928_EXP_X_GO_0016049_EXP,GO_0006928_X_GO_0023014,GO_0007155_EXP_X_GO_0007275_EXP,GO_0010212_EXP_X_GO_0043087_EXP,GO_0031397_X_GO_0038095,GO_0035162_EXP_X_GO_0046330_EXP,GO_0043087_EXP_X_GO_0043525_EXP,GO_0048812_X_GO_0051091,Predicted IC50,Validation
2.605571,688025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.662376351,14.200260892,27.633428132,32.178924033,32.597364373,41.647355346,48.456040373,67.132858225,47.568489273,26.904952321,28.780788296,11.103418082,17.396369931,48.27954706,80.815304055,9.1112813179,19.085752476,30.240953724,10.228768778,14.245273871,69.34357912,27.057921291,36.913242154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3662611528,10
2.194264,688026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.985591093,17.539774666,29.161032928,29.065978717,32.30650165,39.641158716,34.929258965,80.052588474,55.339162008,22.7196213,33.927904754,10.563148862,13.788916015,48.107082054,53.302779658,8.9229764547,21.801978692,24.155715056,14.055018523,20.241943094,62.427092317,26.447303469,37.043885,1,0,0,0,0,0,0,25.368588247,0,0,0,0,0,0,0,0,0,1.7714537854,10
3.454195,688027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.551309518,16.590366583,29.23561772,28.402777263,29.862419624,45.043411872,27.322824633,67.615466454,48.669116612,21.909771456,29.760846306,10.287160959,15.635211412,71.862942308,81.757712508,7.7843708267,19.931893149,23.139286193,10.656671758,11.774637327,60.697274348,25.365287767,23.545461827,0,0,0,0,0,0,0,0,0,0,0,0,17.191273375,0,0,34.161950024,0,3.0418128183,4
1.649766,688031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.529860049,18.709372471,25.338409455,24.907496926,27.817623605,34.728990902,48.651257624,77.666370631,61.416705597,23.323464563,39.729763124,12.202051005,17.119905192,50.885256978,76.517616962,8.475241435,18.978054732,25.471621175,10.894174092,14.159980301,68.547835997,27.656868595,40.432038435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5433287123,3
3.900268,713878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.507239101,15.988338304,28.224000728,31.795300024,32.707830498,44.365457403,29.043406322,79.892205425,59.784904518,24.261526679,29.763477648,10.083083372,19.247432819,51.45545005,79.155088178,9.1491065879,21.597253868,25.206632027,10.549466201,16.147679566,72.941369719,26.049869684,36.2803339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4451720191,6
2.618042,724872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.882294168,26.765758231,25.907637161,23.773882632,28.066232468,37.989184584,28.877235227,69.104683114,50.695493431,20.603771554,37.994608624,9.520758726,15.074700708,64.683470358,82.296700984,7.5223003681,21.906886997,21.317421906,12.8535608,11.93599391,58.978235803,25.939812184,28.559375375,0,0,0,0,0,0,0,23.67691109,0,0,0,0,0,0,0,0,0,2.7365450857,6
1.55852,753547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.159138409,17.518201477,27.734865776,28.451925186,31.703064821,42.851888443,40.628012125,78.987794657,63.882630166,22.608801915,31.221280826,9.8295456764,14.02489454,74.551574253,86.19090612,8.0721784058,23.12326489,21.299441132,10.328588967,14.852155009,66.934303221,28.871727901,37.813355404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6219059326,5
2.187562,753551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.058094772,14.971070584,24.928764886,25.351809991,27.62409184,29.409850489,17.495818076,70.17921033,44.829317102,23.637271809,40.715922373,11.153385677,14.314361893,50.170631412,74.701776411,9.4254955692,15.568928308,26.912325965,9.4164713453,10.372816597,60.313974964,26.221756226,25.512713353,0,0,0,0,0,0,0,0,0,10.177070047,1,0,0,0,0,0,0,3.5932190627,5
3.065327,753564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.148265285,19.880684426,32.056032193,27.136744434,31.532564287,48.713980385,24.57863468,78.419859698,55.36071889,21.179198368,42.374912481,9.9747603542,15.599378554,73.165650602,76.066847371,8.4257282822,16.619891603,24.60305105,10.912031172,14.63045364,70.194647209,29.905059064,33.165981778,0,41.302028447,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.9302782587,10
2.995164,753565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.309839899,17.448209134,27.410358157,32.084890618,35.690766667,55.961274498,42.256777857,75.826721349,54.719805814,25.40469612,35.716917251,12.754802458,17.892543042,53.790406185,77.238228358,8.6042245846,13.180314463,24.467603785,14.038560931,22.192121695,73.335313576,33.158768914,41.402435595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0396604601,10
