IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,DOM_I_set,MUT_EIF2AK1,MUT_MAP3K4_EXP,MUT_PASK,REC_R_HSA_2730833_CSV,REC_R_HSA_450346,PWY_R_HSA_193704_CSV,PWY_R_HSA_3371453,PWY_R_HSA_3371453_EXP,PWY_R_HSA_373755_CSV,PWY_R_HSA_416476_CSV,PWY_R_HSA_453279,GO_0001954_EXP,GO_0005977,GO_0005977_CSV,GO_0007050,GO_0007399_CSV,GO_0008283_EXP,GO_0016241,GO_0016572,GO_0019722,GO_0030509_EXP,GO_0031098_CSV,GO_0031623,GO_0050766_CSV,GO_0071560,SFAM_HIPK_EXP,EXP_STK11,EXP_DCLK2,EXP_CLK4,EXP_TRPM7,EXP_TBK1,EXP_TRIM33,EXP_LCK,EXP_MAPK1,EXP_EPHB2,EXP_GRK1,EXP_CAMK2D,EXP_MAP3K20,EXP_CAMK1,EXP_OXSR1,EXP_CDK11A,Predicted IC50,Validation
3.322689,687568,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9619950556,0,0,0,3.1547359808,0.818245,0,0,0,0,4.95070008,3.2297116779,4.7046616209,5.6015964486,7.8927871773,8.1193467296,3.1772224951,6.0508561743,3.6389332301,2.8993864896,5.756957562,5.3569275336,3.2312998861,6.55485905,8.2013378064,2.1787878029,6
2.559059,905984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4.5392469891,3.2450158085,4.5111449199,5.8156820238,8.3996648372,7.6473576584,3.3614551303,5.8940143246,4.8920976751,2.9267797974,5.430579323,6.4015161446,3.3738430004,7.1780076105,6.6157304197,2.2115132042,9
3.042554,905986,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.555755,0,0,1,0,4.6832955426,3.5135656788,4.2943515326,5.505058676,8.1727971111,7.768497066,3.077144696,6.1654818158,3.822336338,2.9199922247,5.8990639553,7.2566537681,4.0502732917,7.6075394891,6.992232175,2.3359387119,9
1.38884,906746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.889448777,0,0,1,0,0.635693,0,0,0,0,4.6223926055,3.9113472473,4.6138804633,5.5685187132,7.4284835426,7.0869459846,2.9958324768,6.2263931891,4.9521734004,2.9178033849,6.2913564666,7.4461542375,3.9420709252,5.975289183,6.7713005749,2.3898704089,4
2.667957,906834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3512354255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6429148956,4.8677903763,4.1725229969,4.0926174687,5.952595921,6.996508413,2.8645820827,6.1818302847,3.5380709863,3.1346522585,5.3489242344,5.5254571555,3.8248986716,7.2690948392,6.9970465015,3.6776450011,2
2.987478,906871,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7.8229784045,0,0,0,0,1,6.2497214121,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.1870870733,2.9794018299,4.5751925951,5.3590101847,8.0584097251,8.3723125608,3.0036626385,5.6153941295,3.794950141,2.9618013937,4.1213979846,6.6259915686,4.4172823883,6.2539328722,6.4999609328,2.270155589,1
4.060316,907279,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0924067397,0,0,0,0,0,1,0,0,0,4.9368298373,3.1774487141,4.6754784608,5.1029549558,7.9541233814,7.1788291516,2.9586817875,6.4666952465,3.8909246123,2.9427461556,7.8383101774,6.3851665058,4.5475040752,7.0497794008,6.5195263685,3.2764264594,3
2.296688,907282,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.7440314044,0,0,0,0,0,0,0,0,2.9283852311,0,0,0,0,0.79945,0,0,0,0,5.3987468904,4.69153152,4.1280428502,5.8261591059,7.9493103045,8.275562375,2.9695040964,6.9728085922,3.2956690354,2.8178618782,6.8320965811,5.9523606566,4.0247754244,6.3836656411,4.5878055096,3.0584528424,6
0.296548,907313,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6.2062152144,0,0,0,0,0,4.7991677816,3.3486849997,4.6040651361,6.1026434945,8.1808763533,7.4298295944,2.9535290289,5.8825538991,4.6692528065,3.1755600124,7.4458085268,6.2526706053,4.8566121554,6.5757787059,6.6416003102,1.7586543876,8
1.014411,908449,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2901464739,3.2187521083,4.839240409,5.5845176937,8.309806524,7.5253842393,3.0086862671,5.969713562,4.4014015029,3.3308376491,5.9968104017,6.4332037333,4.0456710481,7.0939105438,6.7881162381,2.5866966005,8
