
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 108.800
2    1 0.008849  99.160
3    1 0.017020  90.350
4    1 0.024510  82.320
5    1 0.031340  75.010
6    1 0.037540  68.350
7    1 0.043130  62.270
8    1 0.048150  56.740
9    1 0.052620  51.700
10   1 0.056600  47.110
11   1 0.060110  42.920
12   1 0.063210  39.110
13   1 0.065920  35.640
14   1 0.068280  32.470
15   1 0.070340  29.590
16   1 0.072130  26.960
17   1 0.073670  24.560
18   1 0.075000  22.380
19   2 0.076400  20.390
20   2 0.077650  18.580
21   3 0.078860  16.930
22   4 0.080500  15.430
23   4 0.082270  14.060
24   5 0.083990  12.810
25   7 0.085530  11.670
26   7 0.087070  10.630
27   7 0.088400   9.688
28   7 0.089580   8.827
29   8 0.090670   8.043
30   8 0.091780   7.328
31   8 0.092770   6.677
32   8 0.093660   6.084
33   8 0.094460   5.544
34   9 0.095680   5.051
35   9 0.097380   4.602
36   8 0.099040   4.194
37   9 0.100700   3.821
38   9 0.102500   3.482
39  10 0.105000   3.172
40  10 0.107500   2.890
41  11 0.110200   2.634
42  13 0.113500   2.400
43  13 0.117200   2.187
44  13 0.120900   1.992
45  14 0.124700   1.815
46  15 0.128900   1.654
47  15 0.133500   1.507
48  15 0.138100   1.373
49  15 0.142700   1.251
50  17 0.147400   1.140
51  17 0.152400   1.039
52  16 0.157300   0.946
53  15 0.162200   0.862
54  16 0.167100   0.786
55  16 0.172000   0.716
56  17 0.176900   0.652
57  17 0.181700   0.594
58  18 0.186500   0.542
59  18 0.191200   0.494
60  19 0.195800   0.450
61  20 0.200300   0.410
62  20 0.204700   0.373
63  21 0.208900   0.340
64  22 0.213000   0.310
65  22 0.216900   0.282
66  22 0.220600   0.257
67  23 0.224200   0.234
68  22 0.227600   0.214
69  22 0.230800   0.195
70  22 0.233800   0.177
71  22 0.236600   0.162
72  22 0.239300   0.147
73  22 0.241800   0.134
74  22 0.244100   0.122
75  22 0.246200   0.111
76  22 0.248200   0.102
77  22 0.250000   0.092
78  22 0.251700   0.084
79  21 0.253200   0.077
80  21 0.254600   0.070
81  21 0.255900   0.064
82  22 0.257000   0.058
83  23 0.258100   0.053
84  22 0.259000   0.048
85  22 0.259800   0.044
86  22 0.260500   0.040
87  24 0.261200   0.036
88  23 0.261800   0.033
89  24 0.262400   0.030
90  25 0.262900   0.028
91  25 0.263300   0.025
92  25 0.263700   0.023
93  25 0.264000   0.021
94  25 0.264300   0.019
95  25 0.264600   0.017
96  24 0.264800   0.016
97  24 0.265000   0.014
98  24 0.265200   0.013
99  25 0.265300   0.012
100 25 0.265400   0.011
