
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.8800
2    1 0.01359  9.9160
3    1 0.02498  9.0350
4    1 0.03451  8.2320
5    1 0.04247  7.5010
6    1 0.04913  6.8350
7    1 0.05470  6.2270
8    1 0.05934  5.6740
9    1 0.06321  5.1700
10   1 0.06644  4.7110
11   1 0.06914  4.2920
12   1 0.07138  3.9110
13   1 0.07326  3.5640
14   1 0.07481  3.2470
15   1 0.07611  2.9590
16   1 0.07719  2.6960
17   1 0.07809  2.4560
18   1 0.07884  2.2380
19   1 0.07946  2.0390
20   1 0.07998  1.8580
21   1 0.08041  1.6930
22   1 0.08077  1.5430
23   2 0.08239  1.4060
24   2 0.08383  1.2810
25   4 0.08536  1.1670
26   4 0.08692  1.0630
27   5 0.08853  0.9688
28   6 0.08984  0.8827
29   6 0.09143  0.8043
30   5 0.09256  0.7328
31   5 0.09348  0.6677
32   5 0.09427  0.6084
33   5 0.09493  0.5544
34   7 0.09911  0.5051
35   7 0.10630  0.4602
36   7 0.11280  0.4194
37   7 0.11870  0.3821
38   8 0.12480  0.3482
39   8 0.13410  0.3172
40   8 0.14250  0.2890
41   9 0.15000  0.2634
42   9 0.15660  0.2400
43  10 0.16280  0.2187
44   9 0.16890  0.1992
45  10 0.17430  0.1815
46  12 0.18190  0.1654
47  12 0.18980  0.1507
48  13 0.19680  0.1373
49  13 0.20300  0.1251
50  14 0.20880  0.1140
51  14 0.21510  0.1039
52  15 0.22070  0.0946
53  15 0.22570  0.0862
54  15 0.23010  0.0786
55  14 0.23380  0.0716
56  14 0.23710  0.0652
57  14 0.24000  0.0594
58  16 0.24290  0.0542
59  16 0.24580  0.0494
60  18 0.24850  0.0450
61  18 0.25080  0.0410
62  19 0.25290  0.0373
63  19 0.25470  0.0340
64  20 0.25630  0.0310
65  20 0.25760  0.0282
66  20 0.25880  0.0257
67  19 0.25980  0.0234
68  19 0.26070  0.0214
69  19 0.26150  0.0195
70  19 0.26210  0.0177
71  19 0.26260  0.0162
72  19 0.26310  0.0147
73  20 0.26350  0.0134
74  20 0.26390  0.0122
75  20 0.26430  0.0111
76  20 0.26460  0.0102
77  20 0.26480  0.0092
78  21 0.26500  0.0084
79  23 0.26520  0.0077
80  24 0.26540  0.0070
81  24 0.26550  0.0064
82  24 0.26560  0.0058
83  24 0.26570  0.0053
84  24 0.26580  0.0048
85  24 0.26580  0.0044
86  24 0.26590  0.0040
87  24 0.26590  0.0036
88  24 0.26600  0.0033
89  24 0.26600  0.0030
90  24 0.26600  0.0028
91  24 0.26600  0.0025
92  24 0.26610  0.0023
93  24 0.26610  0.0021
94  24 0.26610  0.0019
95  24 0.26610  0.0017
96  24 0.26610  0.0016
97  24 0.26610  0.0014
98  24 0.26610  0.0013
99  24 0.26610  0.0012
100 24 0.26610  0.0011
