
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 102.700
2    1 0.000562  93.550
3    1 0.001031  85.240
4    1 0.001423  77.670
5    1 0.001751  70.770
6    1 0.002025  64.480
7    1 0.002253  58.750
8    1 0.002443  53.530
9    1 0.002602  48.780
10   2 0.002853  44.440
11   2 0.003245  40.500
12   2 0.003578  36.900
13   2 0.003867  33.620
14   3 0.004270  30.630
15   3 0.004708  27.910
16   3 0.005086  25.430
17   3 0.005403  23.170
18   4 0.005731  21.110
19   5 0.006459  19.240
20   7 0.007885  17.530
21  10 0.009387  15.970
22  10 0.010750  14.550
23  10 0.011950  13.260
24  10 0.012960  12.080
25  10 0.013810  11.010
26  10 0.014530  10.030
27  10 0.015150   9.140
28  13 0.015680   8.328
29  14 0.016390   7.588
30  14 0.017360   6.914
31  15 0.018400   6.300
32  18 0.019440   5.740
33  18 0.020540   5.230
34  18 0.021480   4.766
35  18 0.022270   4.342
36  22 0.024160   3.956
37  24 0.026100   3.605
38  26 0.028350   3.285
39  27 0.030540   2.993
40  30 0.033160   2.727
41  31 0.035920   2.485
42  33 0.038830   2.264
43  34 0.041790   2.063
44  33 0.044610   1.880
45  36 0.047470   1.713
46  41 0.050670   1.561
47  42 0.053940   1.422
48  42 0.057170   1.296
49  43 0.060270   1.180
50  44 0.063360   1.076
51  45 0.066310   0.980
52  45 0.069230   0.893
53  46 0.072100   0.814
54  45 0.074890   0.741
55  47 0.077650   0.676
56  47 0.080340   0.616
57  48 0.082920   0.561
58  52 0.085370   0.511
59  55 0.087750   0.466
60  55 0.089990   0.424
61  55 0.092120   0.387
62  57 0.094160   0.352
63  58 0.096070   0.321
64  58 0.097880   0.292
65  58 0.099560   0.266
66  60 0.101100   0.243
67  61 0.102500   0.221
68  62 0.103800   0.202
69  65 0.105000   0.184
70  66 0.106100   0.167
71  67 0.107100   0.152
72  68 0.107900   0.139
73  69 0.108700   0.127
74  68 0.109400   0.115
75  68 0.110000   0.105
76  68 0.110500   0.096
77  71 0.111000   0.087
78  72 0.111400   0.079
79  74 0.111800   0.072
80  77 0.112100   0.066
81  81 0.112300   0.060
82  82 0.112600   0.055
83  83 0.112800   0.050
84  85 0.112900   0.045
85  84 0.113100   0.041
86  86 0.113200   0.038
87  87 0.113300   0.034
88  87 0.113400   0.031
89  87 0.113500   0.029
90  89 0.113600   0.026
91  91 0.113600   0.024
92  91 0.113700   0.022
93  92 0.113700   0.020
94  93 0.113700   0.018
95  93 0.113800   0.016
96  93 0.113800   0.015
97  93 0.113800   0.014
98  92 0.113800   0.012
99  93 0.113800   0.011
100 94 0.113900   0.010
