
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.2700
2    1 0.000575  9.3550
3    1 0.001052  8.5240
4    1 0.001449  7.7670
5    1 0.001778  7.0770
6    1 0.002051  6.4480
7    1 0.002278  5.8750
8    1 0.002467  5.3530
9    1 0.002624  4.8780
10   2 0.002819  4.4440
11   2 0.003265  4.0500
12   2 0.003641  3.6900
13   2 0.003950  3.3620
14   3 0.004342  3.0630
15   3 0.004789  2.7910
16   3 0.005171  2.5430
17   3 0.005488  2.3170
18   3 0.005765  2.1110
19   5 0.006582  1.9240
20   7 0.008085  1.7530
21   9 0.009624  1.5970
22  10 0.011050  1.4550
23  10 0.012290  1.3260
24  10 0.013320  1.2080
25  10 0.014170  1.1010
26  10 0.014890  1.0030
27  10 0.015480  0.9140
28  10 0.015970  0.8328
29  12 0.016650  0.7588
30  13 0.017690  0.6914
31  14 0.018720  0.6300
32  16 0.019820  0.5740
33  18 0.020950  0.5230
34  18 0.021940  0.4766
35  18 0.022680  0.4342
36  21 0.028290  0.3956
37  23 0.033940  0.3605
38  24 0.039480  0.3285
39  25 0.044440  0.2993
40  27 0.052310  0.2727
41  29 0.059430  0.2485
42  32 0.065910  0.2264
43  33 0.071700  0.2063
44  34 0.076770  0.1880
45  39 0.081350  0.1713
46  39 0.085700  0.1561
47  38 0.089630  0.1422
48  39 0.092880  0.1296
49  40 0.095690  0.1180
50  41 0.098180  0.1076
51  42 0.100400  0.0980
52  43 0.102300  0.0893
53  46 0.103900  0.0814
54  46 0.105400  0.0741
55  46 0.106600  0.0676
56  46 0.107500  0.0616
57  46 0.108500  0.0561
58  47 0.109200  0.0511
59  47 0.109800  0.0466
60  49 0.110300  0.0424
61  51 0.110800  0.0387
62  52 0.111200  0.0352
63  54 0.111500  0.0321
64  56 0.111800  0.0292
65  58 0.112100  0.0266
66  59 0.112400  0.0243
67  57 0.112600  0.0221
68  58 0.112800  0.0202
69  60 0.112900  0.0184
70  60 0.113100  0.0167
71  60 0.113200  0.0152
72  61 0.113300  0.0139
73  64 0.113400  0.0127
74  66 0.113400  0.0115
75  67 0.113500  0.0105
76  69 0.113600  0.0096
77  73 0.113600  0.0087
78  76 0.113700  0.0079
79  78 0.113700  0.0072
80  78 0.113700  0.0066
81  78 0.113700  0.0060
82  79 0.113800  0.0055
83  81 0.113800  0.0050
84  83 0.113800  0.0045
85  82 0.113800  0.0041
86  83 0.113800  0.0038
87  84 0.113800  0.0034
88  87 0.113800  0.0031
89  88 0.113900  0.0029
90  88 0.113900  0.0026
91  88 0.113900  0.0024
92  89 0.113900  0.0022
93  89 0.113900  0.0020
94  92 0.113900  0.0018
95  94 0.113900  0.0016
96  94 0.113900  0.0015
97  93 0.113900  0.0014
98  94 0.113900  0.0012
99  94 0.113900  0.0011
100 96 0.113900  0.0010
