IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_826,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_797,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_697,Fingerprint_686,Fingerprint_677,Fingerprint_673,Fingerprint_672,Fingerprint_659,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,GO_0034976,EXP_STK10,EXP_PRKCG,EXP_SGK2,EXP_CLK4,EXP_PLK3_X_EXP_PTEN,EXP_PRKCG_X_EXP_TRPV4,PWY_R_HSA_2682334_X_PWY_R_HSA_416476,Predicted IC50,Validation
1.887054,924102,1029,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.2805996096,3.3954973622,2.8865987829,4.2441295163,35.555315983,10.896537704,0,2.1536834074,10
0.614715,1240223,1021,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,4.6718875837,3.2892047784,3.0382677659,4.1705082584,40.454954776,11.186232827,0,0.6153005602,3
2.548997,906696,226,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,5.6887633734,3.2913097329,3.2239009534,4.1059921867,42.354548904,10.419057199,0,2.3987645394,1
3.808755,906864,207,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3.684231487,3.1605538831,2.8186225925,3.445590008,31.426247528,9.9042337231,1,3.0797155036,2
4.008956,910568,1203,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5.4744699407,3.3485190305,3.0875082201,5.1440836553,40.251729322,11.005225277,0,3.0990293451,6
4.482037,924238,298,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,4.9113196476,3.2564228182,2.8615461468,4.8776174633,44.100411177,11.264831987,0,4.5744055533,1
-1.861738,1240154,153,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,4.7162444395,3.469323839,3.1272072856,5.0934769034,41.910201759,11.793711053,0,-2.526174802,10
3.054886,910568,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,5.4744699407,3.3485190305,3.0875082201,5.1440836553,40.251729322,11.005225277,0,1.6562469414,9
0.536202,924102,299,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,5.2805996096,3.3954973622,2.8865987829,4.2441295163,35.555315983,10.896537704,0,1.2472179207,10
-3.876709,924104,1057,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,5.4871670756,3.3416628895,3.0274372318,4.2002853487,43.836712018,13.043405975,0,-3.763744734,10
1.123078,1240223,207,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6718875837,3.2892047784,3.0382677659,4.1705082584,40.454954776,11.186232827,0,1.0363551824,9
-1.483922,1240154,1022,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,4.7162444395,3.469323839,3.1272072856,5.0934769034,41.910201759,11.793711053,0,-1.98949937,4
6.077262,930299,329,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,3.0410457739,3.1467814703,2.7263316715,3.7019469694,34.050387313,9.5638449173,2,5.7995899799,5
2.19139,910568,52,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5.4744699407,3.3485190305,3.0875082201,5.1440836553,40.251729322,11.005225277,0,3.8153628099,8
3.128006,910568,305,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.4744699407,3.3485190305,3.0875082201,5.1440836553,40.251729322,11.005225277,0,2.6979376745,9
4.5647123086,1290722,1032,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,4.8540869637,3.2929922365,2.9068377196,4.4295536292,29.761514135,10.752885992,1,3.2449212699,2
