
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.7800
2    1 0.003691  9.8200
3    1 0.006759  8.9480
4    1 0.009308  8.1530
5    1 0.011430  7.4290
6    1 0.013190  6.7690
7    1 0.014650  6.1680
8    1 0.015870  5.6200
9    1 0.016880  5.1200
10   1 0.017720  4.6650
11   1 0.018410  4.2510
12   1 0.018990  3.8730
13   3 0.019760  3.5290
14   3 0.023110  3.2160
15   3 0.025960  2.9300
16   4 0.029350  2.6700
17   4 0.032380  2.4330
18   4 0.034900  2.2160
19   4 0.037000  2.0200
20   4 0.038740  1.8400
21   4 0.040200  1.6770
22   4 0.041400  1.5280
23   4 0.042410  1.3920
24   4 0.043240  1.2680
25   4 0.043930  1.1560
26   4 0.044510  1.0530
27   4 0.044990  0.9595
28   5 0.045490  0.8742
29   6 0.046090  0.7966
30   6 0.046740  0.7258
31   7 0.047300  0.6613
32   7 0.047800  0.6026
33   7 0.048210  0.5490
34   7 0.048550  0.5003
35   7 0.048830  0.4558
36   8 0.049500  0.4153
37   8 0.050090  0.3784
38   9 0.050710  0.3448
39   8 0.051300  0.3142
40   8 0.052220  0.2863
41   8 0.058230  0.2608
42  10 0.065870  0.2377
43  13 0.073870  0.2166
44  13 0.081410  0.1973
45  16 0.089160  0.1798
46  16 0.096320  0.1638
47  17 0.102400  0.1493
48  18 0.107800  0.1360
49  18 0.112400  0.1239
50  19 0.116400  0.1129
51  19 0.119900  0.1029
52  21 0.122900  0.0937
53  21 0.125400  0.0854
54  22 0.127600  0.0778
55  23 0.129500  0.0709
56  23 0.131100  0.0646
57  26 0.132400  0.0589
58  25 0.133600  0.0536
59  26 0.134600  0.0489
60  26 0.135400  0.0445
61  26 0.136200  0.0406
62  24 0.136800  0.0370
63  24 0.137300  0.0337
64  23 0.137700  0.0307
65  24 0.138000  0.0280
66  25 0.138300  0.0255
67  26 0.138600  0.0232
68  27 0.138800  0.0212
69  26 0.139000  0.0193
70  27 0.139100  0.0176
71  27 0.139200  0.0160
72  28 0.139300  0.0146
73  29 0.139400  0.0133
74  29 0.139500  0.0121
75  29 0.139600  0.0110
76  29 0.139600  0.0100
77  29 0.139700  0.0092
78  30 0.139700  0.0083
79  30 0.139800  0.0076
80  31 0.139800  0.0069
81  31 0.139800  0.0063
82  31 0.139800  0.0058
83  31 0.139900  0.0052
84  32 0.139900  0.0048
85  32 0.139900  0.0044
86  33 0.139900  0.0040
87  34 0.139900  0.0036
88  35 0.139900  0.0033
89  37 0.139900  0.0030
90  37 0.139900  0.0027
91  38 0.139900  0.0025
92  38 0.140000  0.0023
93  38 0.140000  0.0021
94  39 0.140000  0.0019
95  39 0.140000  0.0017
96  41 0.140000  0.0016
97  41 0.140000  0.0014
98  41 0.140000  0.0013
99  42 0.140000  0.0012
100 43 0.140000  0.0011
