
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 6.4670
2    1 0.003706 5.8920
3    1 0.006782 5.3690
4    1 0.009337 4.8920
5    1 0.011460 4.4570
6    1 0.013220 4.0610
7    1 0.014680 3.7010
8    1 0.015890 3.3720
9    1 0.016900 3.0720
10   1 0.017740 2.7990
11   1 0.018430 2.5510
12   1 0.019010 2.3240
13   2 0.019750 2.1180
14   3 0.023120 1.9290
15   3 0.025990 1.7580
16   4 0.029400 1.6020
17   4 0.032460 1.4600
18   4 0.034980 1.3300
19   4 0.037080 1.2120
20   4 0.038830 1.1040
21   4 0.040270 1.0060
22   4 0.041470 0.9166
23   4 0.042470 0.8352
24   4 0.043300 0.7610
25   4 0.043980 0.6934
26   4 0.044560 0.6318
27   4 0.045030 0.5757
28   5 0.045510 0.5245
29   6 0.046090 0.4779
30   6 0.046750 0.4355
31   7 0.047310 0.3968
32   7 0.047810 0.3615
33   7 0.048230 0.3294
34   7 0.048570 0.3002
35   7 0.048850 0.2735
36   8 0.049520 0.2492
37   8 0.050120 0.2271
38   9 0.050750 0.2069
39   8 0.051340 0.1885
40   8 0.052400 0.1718
41   8 0.060040 0.1565
42  10 0.069140 0.1426
43  13 0.078170 0.1299
44  13 0.086240 0.1184
45  15 0.093840 0.1079
46  16 0.101100 0.0983
47  16 0.107100 0.0896
48  18 0.112100 0.0816
49  18 0.116400 0.0744
50  19 0.120100 0.0678
51  20 0.123200 0.0617
52  21 0.125800 0.0562
53  21 0.128100 0.0512
54  22 0.129900 0.0467
55  22 0.131500 0.0426
56  23 0.132800 0.0388
57  24 0.133900 0.0353
58  25 0.134900 0.0322
59  24 0.135700 0.0293
60  24 0.136400 0.0267
61  23 0.137000 0.0244
62  22 0.137400 0.0222
63  23 0.137800 0.0202
64  23 0.138100 0.0184
65  24 0.138400 0.0168
66  24 0.138700 0.0153
67  24 0.138900 0.0139
68  25 0.139000 0.0127
69  26 0.139200 0.0116
70  24 0.139300 0.0105
71  24 0.139400 0.0096
72  26 0.139500 0.0088
73  27 0.139500 0.0080
74  27 0.139600 0.0073
75  28 0.139600 0.0066
76  28 0.139700 0.0060
77  28 0.139700 0.0055
78  28 0.139800 0.0050
79  29 0.139800 0.0046
80  30 0.139800 0.0042
81  30 0.139800 0.0038
82  30 0.139900 0.0035
83  31 0.139900 0.0031
84  31 0.139900 0.0029
85  31 0.139900 0.0026
86  32 0.139900 0.0024
87  33 0.139900 0.0022
88  34 0.139900 0.0020
89  35 0.139900 0.0018
90  37 0.139900 0.0016
91  38 0.139900 0.0015
92  38 0.140000 0.0014
93  38 0.140000 0.0012
94  38 0.140000 0.0011
95  39 0.140000 0.0010
96  40 0.140000 0.0009
97  41 0.140000 0.0009
98  41 0.140000 0.0008
99  41 0.140000 0.0007
100 42 0.140000 0.0006
