IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_656,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,GO_0001570,GO_0006977_EXP,GO_0007095_EXP,GO_0008285,GO_0008285_EXP,GO_0034976_EXP,GO_0042981_EXP,GO_0070372,EXP_MAP3K20,EXP_MAP3K6,EXP_CDK10,EXP_AATK,EXP_CDC42BPA,EXP_MYLK3,EXP_CSNK1D_X_EXP_STX5,EXP_CSNK1D_X_EXP_YWHAG,EXP_LYN_X_EXP_CSF2RA,EXP_LYN_X_EXP_KITLG,EXP_LYN_X_EXP_SNCA,EXP_MAP2K4_X_EXP_NFKB1,EXP_RIPK4_X_EXP_P4HB,EXP_SRC_X_EXP_NTN1,EXP_STK24_X_EXP_CCT8,EXP_STK24_X_EXP_MOB1B,PWY_R_HSA_112409_EXP_X_PWY_R_HSA_212436_EXP,PWY_R_HSA_112409_EXP_X_PWY_R_HSA_74160_EXP,GO_0016477_X_GO_0016525
0.553888,735784,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.40397603264804,0,0,0,9.67724471644779,0,7.13936950753581,3.27871916753536,4.36943841709453,3.43008699308093,5.06710867798812,3.0463042035431,31.315379229629,31.0596336134518,22.2147687641396,29.8785288771779,56.3820143800793,50.0354099171009,43.3526767101167,17.8344562213495,53.5016368559367,22.6223730295192,0,0,0
2.723788,753555,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.52927124255442,11.3909496603521,0,7.46544083577208,3.28887107696965,4.47120854871985,3.62196868675422,4.79434620401024,3.06478274914435,26.1539174530326,28.3156892268049,29.1440955100592,35.3515369539109,47.2866682520604,68.2689891766674,47.2818186787782,13.4986088302807,54.4325527121079,24.0812434741587,0,0,0
0.959552,753614,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11.5456252076247,0,0,0,4.67307213659671,3.56985458747645,4.80017422867732,6.03441927457321,5.07371898725959,3.16598236407176,39.7924329443842,33.3557964087539,22.8241989553964,31.4453911395552,26.6486231887146,51.7757371790881,73.9461178090684,20.5525988011702,59.2588274139998,34.2296110176162,0,0,0
-1.404277,753621,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.43333624055133,5.32451161402147,0,6.03122572158299,3.5143806716696,4.0324154780742,3.80802723234171,4.79380239486571,3.08297646342411,26.4623253821681,32.0092962842481,20.0969593635588,44.0206969851731,33.7290708339238,48.4016478426486,57.411584612219,15.9467682945523,53.9816534795114,22.791062113099,0,0,0
1.246102,753622,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.4058295188927,0,5.9756575265295,3.6694626494391,4.35559511664484,3.54946915145626,4.28251338345643,3.19574374672868,34.4094447198471,32.8220394052674,20.0903634339464,21.7764623737315,47.7631431262348,53.6461492648517,51.8105250355319,16.1474132841134,57.3809215860893,24.6199339280206,0,0,1
1.805941,753623,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.42307524110449,0,6.63698828076161,3.67332763062499,4.82639212585108,5.00547303417623,4.48849453249827,3.18061821910625,31.6053645237814,28.8222842032355,17.7251058001797,21.2756448033548,25.6454492602357,41.8314046400502,43.4270716087369,16.3105102564174,51.3116921811737,19.3086874347272,0,0,0
0.176131,946355,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.1017800665464,0,5.70831218462939,3.388656221751,4.18307503558435,4.17443292806305,4.69899456892528,2.85393897797227,25.5405472124074,26.2720149622535,23.5689640403329,31.5869426912513,48.9607025670001,59.1525615479589,50.4090118715157,13.811659389053,55.3707219033391,23.4947316460845,0,0,0
-2.616285,946356,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.18744464847695,0,4.81228855273292,0,6.23631114900128,3.63367182213465,4.67715594450263,3.91685155062439,4.27690907773261,3.11847012050418,34.0485553035944,34.0817056566271,19.7021586367424,29.8069031891825,30.2351510809876,53.9715639557415,60.7182205899391,20.1037278772078,59.4616955303217,24.6705686551457,0,0,0
4.151331,735784,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.40397603264804,0,0,0,9.67724471644779,0,7.13936950753581,3.27871916753536,4.36943841709453,3.43008699308093,5.06710867798812,3.0463042035431,31.315379229629,31.0596336134518,22.2147687641396,29.8785288771779,56.3820143800793,50.0354099171009,43.3526767101167,17.8344562213495,53.5016368559367,22.6223730295192,0,0,0
4.797169,753555,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.52927124255442,11.3909496603521,0,7.46544083577208,3.28887107696965,4.47120854871985,3.62196868675422,4.79434620401024,3.06478274914435,26.1539174530326,28.3156892268049,29.1440955100592,35.3515369539109,47.2866682520604,68.2689891766674,47.2818186787782,13.4986088302807,54.4325527121079,24.0812434741587,0,0,0
