IC50,Cancer,Drug,MOT_3D_RegulatorySpine_CSV,REC_R_HSA_3928602,REC_R_HSA_5218804,GO_0007286,GO_0016477_CSV,GO_0035023,GO_0048008,GO_0070372_EXP,FAM_CK1,EXP_CSNK1A1L,Predicted IC50,Validation
3.066911,909720,1,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,9
4.329094,909754,1,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,3
2.551989,909756,1,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,7
2.758826,924248,1,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,8
3.379476,925343,1,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,3
2.657416,971773,1,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,3
1.466195,909720,5,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,1
2.867211,909732,5,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,3
6.055149,909754,5,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,10
1.601767,909756,5,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,10
1.206525,909759,5,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,2
3.587691,924248,5,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,3
3.602015,925343,5,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,10
3.707801,971773,5,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,3
-0.541216,909720,6,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,10
2.967591,909732,6,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,3
4.561841,909754,6,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,6
2.40839,909756,6,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,2
3.265654,909759,6,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,6
0.635282,924248,6,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,5
3.625313,925343,6,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
2.669452,971773,6,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,4
1.037623,1240166,6,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,8
3.718427,909720,29,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,4
1.376837,909732,29,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,10
5.327043,909754,29,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,8
-2.165293,909756,29,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,9
0.775098,924248,29,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,1
1.143136,925343,29,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,2
3.021814,971773,29,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,8
1.11086,1240166,29,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,8
1.550504,909720,30,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,3
0.809302,909732,30,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,2
5.362002,909754,30,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,5
1.506442,909756,30,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,6
1.602798,924248,30,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,1
0.897979,925343,30,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,2
2.439973,971773,30,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,9
2.204338,1240166,30,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,2
-0.116866,909720,32,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,8
-2.486435,909732,32,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,1
4.604443,909754,32,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,9
0.939127,909756,32,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,10
-2.212686,909759,32,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,2
1.972701,924248,32,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,2
-4.939742,925343,32,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,9
0.373029,971773,32,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,5
3.009429,909720,34,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,4
2.998703,909732,34,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,5
2.511062,909754,34,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,10
2.23457,909756,34,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,10
3.2479,909759,34,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,5
1.629178,924248,34,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,4
3.522189,925343,34,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,1
2.696146,971773,34,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,5
2.541348,1240166,34,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,3
0.105175,909720,35,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
0.425346,909732,35,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,9
3.131101,909754,35,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,5
-0.576556,909756,35,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,1
-1.852986,909759,35,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,9
2.706793,924248,35,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,10
-1.300145,925343,35,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,5
1.565947,971773,35,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,5
0.190681,1240166,35,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,2
0.083832,909720,37,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,1
1.925921,909732,37,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,1
4.619104,909754,37,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,1
2.182328,909756,37,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,9
2.092568,909759,37,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,8
2.336921,924248,37,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,5
1.419753,925343,37,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,5
2.63158,971773,37,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,9
1.889127,1240166,37,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,3
3.074429,909720,38,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,1
1.941427,909732,38,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,6
2.284789,909754,38,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,8
0.378555,909756,38,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,8
0.612453,909759,38,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,9
2.714024,924248,38,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,5
0.485325,925343,38,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,1
2.688384,971773,38,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,2
2.74174,1240166,38,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,5
0.724239,909720,51,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,5
0.020462,909732,51,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,2
-1.084089,909754,51,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,4
-3.059134,909756,51,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,8
-4.281606,909759,51,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,5
2.811399,924248,51,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,3
-3.053227,925343,51,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,5
1.753884,971773,51,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,10
2.528966,909720,52,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,7
1.550991,909732,52,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,6
3.449775,909754,52,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,7
1.46937,909756,52,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,5
2.84148,909759,52,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,7
2.663988,924248,52,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,1
3.015266,925343,52,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
2.202447,971773,52,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,6
-2.535857,909720,53,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,7
-2.425905,909732,53,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,8
2.446274,909754,53,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,10
-3.712283,909756,53,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,4
-3.689043,909759,53,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,10
-3.186809,924248,53,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,1
-3.037505,925343,53,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,4
-1.744017,971773,53,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,3
3.081559,909720,54,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
2.811048,909732,54,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,4
5.496688,909754,54,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,2
2.536517,909756,54,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,5
2.319873,909759,54,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,6
3.913237,924248,54,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,4
2.938707,925343,54,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,6
3.36226,971773,54,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,4
1.614298,909720,55,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
2.241772,909732,55,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,7
2.586995,909754,55,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,1
-0.785799,909756,55,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,3
-1.126259,909759,55,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,6
1.628286,924248,55,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,7
-0.031225,925343,55,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
3.154672,971773,55,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,2
3.399401,909720,56,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,5
2.03202,909732,56,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,4
-1.827301,909754,56,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,2
-0.208534,909756,56,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,9
-0.36066,909759,56,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,2
3.765251,924248,56,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,1
-1.918655,925343,56,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,8
3.63269,971773,56,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,7
4.292843,909720,59,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,3
4.614867,909732,59,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,6
2.823311,909754,59,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,3
4.389063,909756,59,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,4
2.726978,909759,59,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,4
3.873889,924248,59,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,2
2.350575,925343,59,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,10
4.016399,971773,59,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,8
-3.12532,909720,60,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,9
-3.178338,909732,60,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,10
-0.762859,909754,60,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,3
-1.249044,909756,60,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,5
-3.109595,909759,60,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,6
-1.071838,924248,60,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,3
-3.476263,925343,60,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,8
-1.714879,971773,60,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,9
2.465388,909720,63,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,8
3.911088,909732,63,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,7
4.106891,909754,63,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,2
2.399111,909756,63,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,1
1.256433,909759,63,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,10
4.059475,924248,63,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,5
1.233627,925343,63,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,5
3.241445,971773,63,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,10
0.350397,909720,64,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,1
1.098006,909732,64,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,3
2.893136,909754,64,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,9
2.181915,909756,64,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,10
0.436776,909759,64,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,2
0.870867,924248,64,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,10
2.20634,925343,64,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,8
3.386446,971773,64,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,1
-4.187548,909720,83,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
-3.703244,909732,83,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,9
1.767219,909754,83,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,7
-4.188289,909756,83,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,2
-3.885306,909759,83,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,3
-0.363604,924248,83,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,7
-3.613874,925343,83,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
-1.401272,971773,83,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,6
-1.121724,909720,86,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,9
-2.488904,909732,86,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,6
2.378205,909754,86,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,4
-1.305162,909756,86,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,1
-1.757359,909759,86,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,8
