
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.9300
2     1 0.00111  9.9610
3     1 0.00204  9.0760
4     1 0.00282  8.2700
5     1 0.00346  7.5350
6     2 0.00403  6.8660
7     2 0.00531  6.2560
8     2 0.00637  5.7000
9     2 0.00726  5.1940
10    2 0.00800  4.7320
11    2 0.00861  4.3120
12    4 0.00956  3.9290
13    5 0.01110  3.5800
14    7 0.01285  3.2620
15    7 0.01472  2.9720
16    7 0.01627  2.7080
17    7 0.01757  2.4670
18    7 0.01865  2.2480
19    7 0.01955  2.0480
20    7 0.02030  1.8660
21    7 0.02092  1.7010
22    8 0.02159  1.5500
23    8 0.02215  1.4120
24   10 0.02283  1.2860
25   11 0.02412  1.1720
26   12 0.02572  1.0680
27   12 0.02707  0.9732
28   12 0.02822  0.8867
29   14 0.03162  0.8080
30   15 0.03583  0.7362
31   17 0.03990  0.6708
32   17 0.04375  0.6112
33   19 0.04978  0.5569
34   21 0.05740  0.5074
35   21 0.06479  0.4623
36   23 0.07275  0.4213
37   24 0.08103  0.3838
38   23 0.08883  0.3497
39   25 0.09761  0.3187
40   24 0.10630  0.2904
41   26 0.11510  0.2646
42   27 0.12340  0.2411
43   29 0.13140  0.2196
44   32 0.14010  0.2001
45   36 0.14950  0.1824
46   39 0.15940  0.1662
47   41 0.16960  0.1514
48   43 0.17960  0.1379
49   44 0.18910  0.1257
50   49 0.19870  0.1145
51   56 0.20900  0.1044
52   57 0.21950  0.0951
53   59 0.22940  0.0866
54   63 0.23990  0.0789
55   64 0.25100  0.0719
56   68 0.26200  0.0655
57   70 0.27320  0.0597
58   72 0.28410  0.0544
59   73 0.29450  0.0496
60   77 0.30460  0.0452
61   78 0.31430  0.0412
62   82 0.32400  0.0375
63   82 0.33340  0.0342
64   84 0.34220  0.0311
65   85 0.35070  0.0284
66   86 0.35860  0.0258
67   89 0.36600  0.0236
68   93 0.37340  0.0215
69   95 0.38040  0.0196
70   98 0.38700  0.0178
71   98 0.39320  0.0162
72   99 0.39900  0.0148
73   99 0.40420  0.0135
74  105 0.40920  0.0123
75  106 0.41390  0.0112
76  107 0.41830  0.0102
77  110 0.42240  0.0093
78  112 0.42610  0.0085
79  114 0.42960  0.0077
80  113 0.43270  0.0070
81  113 0.43560  0.0064
82  113 0.43810  0.0058
83  114 0.44050  0.0053
84  115 0.44250  0.0048
85  116 0.44440  0.0044
86  117 0.44610  0.0040
87  116 0.44760  0.0037
88  115 0.44890  0.0033
89  115 0.45010  0.0030
90  116 0.45110  0.0028
91  117 0.45210  0.0025
92  118 0.45290  0.0023
93  118 0.45360  0.0021
94  120 0.45420  0.0019
95  121 0.45480  0.0017
96  121 0.45530  0.0016
97  121 0.45570  0.0014
98  122 0.45600  0.0013
99  122 0.45640  0.0012
100 122 0.45660  0.0011
