
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 2.73300
2     1 0.00113 2.49000
3     1 0.00207 2.26900
4     1 0.00285 2.06700
5     1 0.00349 1.88400
6     2 0.00405 1.71600
7     2 0.00535 1.56400
8     2 0.00642 1.42500
9     2 0.00731 1.29800
10    2 0.00805 1.18300
11    2 0.00867 1.07800
12    4 0.00960 0.98220
13    5 0.01115 0.89490
14    7 0.01292 0.81540
15    7 0.01480 0.74300
16    7 0.01637 0.67700
17    7 0.01766 0.61680
18    7 0.01874 0.56200
19    7 0.01963 0.51210
20    7 0.02038 0.46660
21    7 0.02099 0.42520
22    8 0.02165 0.38740
23    8 0.02220 0.35300
24   10 0.02287 0.32160
25   11 0.02425 0.29310
26   12 0.02594 0.26700
27   12 0.02736 0.24330
28   12 0.02853 0.22170
29   14 0.03484 0.20200
30   16 0.04205 0.18400
31   17 0.04820 0.16770
32   17 0.05336 0.15280
33   19 0.06502 0.13920
34   20 0.07659 0.12690
35   21 0.08636 0.11560
36   22 0.09565 0.10530
37   23 0.10620 0.09596
38   24 0.11870 0.08744
39   25 0.12930 0.07967
40   25 0.13850 0.07259
41   27 0.14700 0.06614
42   28 0.15530 0.06027
43   29 0.16280 0.05491
44   34 0.17300 0.05003
45   37 0.18360 0.04559
46   39 0.19270 0.04154
47   41 0.20270 0.03785
48   42 0.21360 0.03449
49   44 0.22350 0.03142
50   47 0.23350 0.02863
51   53 0.24560 0.02609
52   53 0.25600 0.02377
53   60 0.27020 0.02166
54   63 0.28820 0.01973
55   66 0.30500 0.01798
56   68 0.32050 0.01638
57   70 0.33660 0.01493
58   72 0.35140 0.01360
59   75 0.36420 0.01239
60   76 0.37500 0.01129
61   80 0.38470 0.01029
62   82 0.39370 0.00938
63   82 0.40140 0.00854
64   83 0.40800 0.00778
65   84 0.41360 0.00709
66   88 0.41840 0.00646
67   94 0.42320 0.00589
68   96 0.42760 0.00536
69   96 0.43130 0.00489
70   98 0.43450 0.00445
71   99 0.43730 0.00406
72  102 0.44010 0.00370
73  102 0.44270 0.00337
74  103 0.44500 0.00307
75  104 0.44700 0.00280
76  106 0.44880 0.00255
77  109 0.45020 0.00232
78  110 0.45150 0.00212
79  110 0.45250 0.00193
80  110 0.45340 0.00176
81  111 0.45410 0.00160
82  112 0.45470 0.00146
83  113 0.45520 0.00133
84  113 0.45570 0.00121
85  114 0.45610 0.00110
86  115 0.45640 0.00100
87  115 0.45660 0.00092
88  115 0.45690 0.00083
89  116 0.45710 0.00076
90  117 0.45720 0.00069
91  117 0.45740 0.00063
92  117 0.45750 0.00058
93  117 0.45760 0.00052
94  116 0.45770 0.00048
95  116 0.45770 0.00044
96  118 0.45780 0.00040
97  118 0.45790 0.00036
98  119 0.45790 0.00033
99  119 0.45800 0.00030
100 121 0.45800 0.00027
