
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 102.300
2    2 0.00894  93.210
3    2 0.01807  84.920
4    2 0.02577  77.380
5    2 0.03226  70.510
6    2 0.03772  64.240
7    2 0.04231  58.540
8    2 0.04617  53.340
9    2 0.04941  48.600
10   2 0.05212  44.280
11   2 0.05440  40.350
12   2 0.05630  36.760
13   2 0.05789  33.500
14   2 0.05922  30.520
15   2 0.06034  27.810
16   2 0.06127  25.340
17   2 0.06204  23.090
18   2 0.06269  21.040
19   2 0.06323  19.170
20   2 0.06368  17.460
21   2 0.06406  15.910
22   3 0.06463  14.500
23   3 0.06551  13.210
24   3 0.06626  12.040
25   4 0.06726  10.970
26   4 0.06812   9.994
27   4 0.06886   9.106
28   4 0.06947   8.297
29   4 0.07000   7.560
30   4 0.07044   6.889
31   4 0.07081   6.277
32   4 0.07112   5.719
33   6 0.07177   5.211
34   6 0.07245   4.748
35   6 0.07303   4.326
36   6 0.07373   3.942
37   6 0.07471   3.592
38   6 0.07553   3.273
39   6 0.07625   2.982
40   6 0.07688   2.717
41   6 0.07743   2.476
42   5 0.07781   2.256
43   5 0.07803   2.055
44   6 0.07882   1.873
45   6 0.08065   1.706
46   6 0.08253   1.555
47   6 0.08445   1.417
48   7 0.08655   1.291
49   8 0.08873   1.176
50  10 0.09097   1.072
51  11 0.09366   0.976
52  12 0.09628   0.890
53  12 0.09879   0.811
54  12 0.10140   0.739
55  12 0.10370   0.673
56  12 0.10610   0.613
57  12 0.10840   0.559
58  12 0.11060   0.509
59  13 0.11270   0.464
60  13 0.11480   0.423
61  13 0.11680   0.385
62  12 0.11860   0.351
63  14 0.12040   0.320
64  14 0.12210   0.291
65  16 0.12370   0.266
66  18 0.12520   0.242
67  18 0.12660   0.220
68  18 0.12790   0.201
69  19 0.12900   0.183
70  19 0.13000   0.167
71  19 0.13100   0.152
72  19 0.13180   0.138
73  19 0.13260   0.126
74  19 0.13320   0.115
75  20 0.13380   0.105
76  20 0.13430   0.095
77  21 0.13470   0.087
78  21 0.13510   0.079
79  21 0.13550   0.072
80  21 0.13580   0.066
81  22 0.13600   0.060
82  22 0.13620   0.055
83  22 0.13640   0.050
84  22 0.13660   0.045
85  24 0.13670   0.041
86  25 0.13680   0.038
87  25 0.13690   0.034
88  26 0.13700   0.031
89  26 0.13710   0.028
90  26 0.13720   0.026
91  27 0.13720   0.024
92  27 0.13720   0.022
93  28 0.13730   0.020
94  30 0.13730   0.018
95  30 0.13730   0.016
96  30 0.13740   0.015
97  30 0.13740   0.014
98  30 0.13740   0.012
99  30 0.13740   0.011
100 30 0.13740   0.010
