
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1   48 0.00000 10230.0
2   48 0.03349  9321.0
3   48 0.03540  8492.0
4   48 0.03733  7738.0
5   48 0.03927  7051.0
6   48 0.04122  6424.0
7   48 0.04315  5854.0
8   48 0.04506  5334.0
9   48 0.04694  4860.0
10  48 0.04877  4428.0
11  48 0.05055  4035.0
12  48 0.05227  3676.0
13  48 0.05392  3350.0
14  48 0.05549  3052.0
15  48 0.05699  2781.0
16  48 0.05840  2534.0
17  48 0.05972  2309.0
18  48 0.06095  2104.0
19  48 0.06210  1917.0
20  48 0.06316  1746.0
21  48 0.06414  1591.0
22  48 0.06504  1450.0
23  48 0.06587  1321.0
24  48 0.06663  1204.0
25  48 0.06732  1097.0
26  48 0.06795   999.4
27  48 0.06853   910.6
28  48 0.06906   829.7
29  48 0.06955   756.0
30  48 0.07000   688.9
31  48 0.07041   627.7
32  48 0.07080   571.9
33  48 0.07117   521.1
34  48 0.07151   474.8
35  48 0.07183   432.6
36  48 0.07215   394.2
37  48 0.07244   359.2
38  48 0.07273   327.3
39  48 0.07302   298.2
40  48 0.07329   271.7
41  48 0.07356   247.6
42  48 0.07383   225.6
43  48 0.07410   205.5
44  48 0.07437   187.3
45  48 0.07464   170.6
46  48 0.07491   155.5
47  48 0.07518   141.7
48  48 0.07546   129.1
49  48 0.07574   117.6
50  48 0.07603   107.2
51  48 0.07632    97.6
52  48 0.07661    89.0
53  48 0.07691    81.1
54  48 0.07722    73.9
55  48 0.07753    67.3
56  48 0.07785    61.3
57  48 0.07818    55.9
58  48 0.07851    50.9
59  48 0.07886    46.4
60  48 0.07921    42.3
61  48 0.07957    38.5
62  48 0.07994    35.1
63  48 0.08032    32.0
64  48 0.08071    29.1
65  48 0.08110    26.6
66  48 0.08151    24.2
67  48 0.08193    22.0
68  48 0.08236    20.1
69  48 0.08280    18.3
70  48 0.08326    16.7
71  48 0.08373    15.2
72  48 0.08421    13.8
73  48 0.08470    12.6
74  48 0.08521    11.5
75  48 0.08574    10.5
76  48 0.08628     9.5
77  48 0.08683     8.7
78  48 0.08741     7.9
79  48 0.08801     7.2
80  48 0.08863     6.6
81  48 0.08927     6.0
82  48 0.08994     5.5
83  48 0.09060     5.0
84  48 0.09138     4.5
85  48 0.09208     4.1
86  48 0.09293     3.8
87  48 0.09371     3.4
88  48 0.09462     3.1
89  48 0.09549     2.8
90  48 0.09645     2.6
91  48 0.09745     2.4
92  48 0.09849     2.2
93  48 0.09957     2.0
94  48 0.10070     1.8
95  48 0.10190     1.6
96  48 0.10310     1.5
97  48 0.10440     1.4
98  48 0.10570     1.2
99  48 0.10700     1.1
100 48 0.10840     1.0
