
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.7700
2    2 0.009379  9.8110
3    2 0.018980  8.9390
4    2 0.026940  8.1450
5    2 0.033560  7.4220
6    2 0.039050  6.7620
7    2 0.043610  6.1620
8    2 0.047400  5.6140
9    2 0.050540  5.1150
10   2 0.053150  4.6610
11   2 0.055320  4.2470
12   2 0.057120  3.8700
13   2 0.058610  3.5260
14   2 0.059850  3.2130
15   2 0.060880  2.9270
16   2 0.061740  2.6670
17   2 0.062450  2.4300
18   2 0.063040  2.2140
19   2 0.063530  2.0180
20   2 0.063930  1.8380
21   2 0.064270  1.6750
22   3 0.064660  1.5260
23   3 0.065620  1.3910
24   3 0.066420  1.2670
25   4 0.067310  1.1550
26   4 0.068220  1.0520
27   4 0.068980  0.9586
28   4 0.069620  0.8734
29   4 0.070150  0.7958
30   4 0.070580  0.7251
31   4 0.070940  0.6607
32   4 0.071240  0.6020
33   5 0.071740  0.5485
34   6 0.072580  0.4998
35   6 0.073390  0.4554
36   6 0.073890  0.4149
37   6 0.075060  0.3781
38   6 0.076000  0.3445
39   6 0.076790  0.3139
40   6 0.077450  0.2860
41   5 0.077910  0.2606
42   5 0.078140  0.2374
43   5 0.078350  0.2163
44   6 0.081840  0.1971
45   6 0.090010  0.1796
46   6 0.096840  0.1637
47   7 0.102600  0.1491
48   7 0.107600  0.1359
49   8 0.111700  0.1238
50   8 0.115300  0.1128
51  10 0.118500  0.1028
52  11 0.121400  0.0936
53  11 0.123800  0.0853
54  12 0.125800  0.0778
55  12 0.127500  0.0708
56  12 0.129100  0.0646
57  12 0.130200  0.0588
58  12 0.131300  0.0536
59  13 0.132100  0.0488
60  13 0.132900  0.0445
61  13 0.133500  0.0405
62  14 0.134000  0.0369
63  13 0.134500  0.0337
64  15 0.134900  0.0307
65  15 0.135300  0.0279
66  16 0.135700  0.0255
67  16 0.136000  0.0232
68  17 0.136200  0.0211
69  17 0.136400  0.0193
70  17 0.136600  0.0176
71  18 0.136700  0.0160
72  18 0.136800  0.0146
73  18 0.136900  0.0133
74  18 0.137000  0.0121
75  18 0.137100  0.0110
76  19 0.137200  0.0100
77  19 0.137200  0.0092
78  19 0.137200  0.0083
79  19 0.137300  0.0076
80  19 0.137300  0.0069
81  21 0.137300  0.0063
82  21 0.137400  0.0057
83  22 0.137400  0.0052
84  22 0.137400  0.0048
85  22 0.137400  0.0043
86  22 0.137400  0.0040
87  23 0.137400  0.0036
88  23 0.137400  0.0033
89  23 0.137400  0.0030
90  23 0.137400  0.0027
91  24 0.137400  0.0025
92  24 0.137500  0.0023
93  25 0.137500  0.0021
94  27 0.137500  0.0019
95  28 0.137500  0.0017
96  28 0.137500  0.0016
97  28 0.137500  0.0014
98  28 0.137500  0.0013
99  30 0.137500  0.0012
100 31 0.137500  0.0011
