
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.2300
2    2 0.009381  9.3210
3    2 0.018980  8.4920
4    2 0.026950  7.7380
5    2 0.033570  7.0510
6    2 0.039060  6.4240
7    2 0.043620  5.8540
8    2 0.047410  5.3340
9    2 0.050550  4.8600
10   2 0.053160  4.4280
11   2 0.055330  4.0350
12   2 0.057130  3.6760
13   2 0.058620  3.3500
14   2 0.059860  3.0520
15   2 0.060890  2.7810
16   2 0.061740  2.5340
17   2 0.062450  2.3090
18   2 0.063040  2.1040
19   2 0.063530  1.9170
20   2 0.063940  1.7460
21   2 0.064270  1.5910
22   3 0.064660  1.4500
23   3 0.065620  1.3210
24   3 0.066420  1.2040
25   4 0.067310  1.0970
26   4 0.068220  0.9994
27   4 0.068980  0.9106
28   4 0.069620  0.8297
29   4 0.070150  0.7560
30   4 0.070580  0.6889
31   4 0.070940  0.6277
32   4 0.071250  0.5719
33   5 0.071740  0.5211
34   6 0.072580  0.4748
35   6 0.073390  0.4326
36   6 0.073900  0.3942
37   6 0.075060  0.3592
38   6 0.076000  0.3273
39   6 0.076800  0.2982
40   6 0.077450  0.2717
41   5 0.077910  0.2476
42   5 0.078140  0.2256
43   5 0.078350  0.2055
44   6 0.081940  0.1873
45   6 0.090290  0.1706
46   6 0.097220  0.1555
47   7 0.103000  0.1417
48   7 0.108000  0.1291
49   8 0.112200  0.1176
50   8 0.115700  0.1072
51  10 0.118800  0.0976
52  11 0.121700  0.0890
53  11 0.124100  0.0811
54  12 0.126100  0.0739
55  12 0.127800  0.0673
56  12 0.129300  0.0613
57  12 0.130400  0.0559
58  12 0.131400  0.0509
59  13 0.132300  0.0464
60  13 0.133000  0.0423
61  14 0.133600  0.0385
62  14 0.134100  0.0351
63  13 0.134500  0.0320
64  15 0.134900  0.0291
65  15 0.135400  0.0266
66  16 0.135700  0.0242
67  16 0.136000  0.0220
68  17 0.136200  0.0201
69  17 0.136400  0.0183
70  17 0.136600  0.0167
71  18 0.136700  0.0152
72  18 0.136900  0.0138
73  18 0.137000  0.0126
74  18 0.137000  0.0115
75  18 0.137100  0.0105
76  19 0.137200  0.0095
77  19 0.137200  0.0087
78  19 0.137300  0.0079
79  19 0.137300  0.0072
80  19 0.137300  0.0066
81  21 0.137300  0.0060
82  21 0.137400  0.0055
83  22 0.137400  0.0050
84  22 0.137400  0.0045
85  22 0.137400  0.0041
86  22 0.137400  0.0038
87  23 0.137400  0.0034
88  23 0.137400  0.0031
89  23 0.137400  0.0028
90  23 0.137400  0.0026
91  24 0.137500  0.0024
92  24 0.137500  0.0022
93  24 0.137500  0.0020
94  24 0.137500  0.0018
95  26 0.137500  0.0016
96  27 0.137500  0.0015
97  29 0.137500  0.0014
98  31 0.137500  0.0012
99  31 0.137500  0.0011
100 31 0.137500  0.0010
