
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 1023.00
2    2 0.006027  932.10
3    3 0.012960  849.20
4    3 0.019500  773.80
5    3 0.025340  705.10
6    3 0.030520  642.40
7    3 0.035110  585.40
8    3 0.039150  533.40
9    3 0.042690  486.00
10   3 0.045790  442.80
11   3 0.048490  403.50
12   3 0.050830  367.60
13   3 0.052860  335.00
14   3 0.054610  305.20
15   3 0.056130  278.10
16   3 0.057430  253.40
17   3 0.058550  230.90
18   3 0.059510  210.40
19   4 0.060390  191.70
20   4 0.061410  174.60
21   4 0.062310  159.10
22   5 0.063260  145.00
23   5 0.064260  132.10
24   5 0.065180  120.40
25   5 0.066000  109.70
26   5 0.066750   99.94
27   6 0.067450   91.06
28   6 0.068140   82.97
29   9 0.068780   75.60
30   9 0.069450   68.89
31  10 0.070050   62.77
32  10 0.070590   57.19
33  10 0.071070   52.11
34  11 0.071510   47.48
35  12 0.072040   43.26
36  12 0.072580   39.42
37  12 0.073120   35.92
38  12 0.073620   32.73
39  13 0.074080   29.82
40  14 0.074570   27.17
41  14 0.075070   24.76
42  14 0.075550   22.56
43  14 0.076000   20.55
44  16 0.076530   18.73
45  16 0.077180   17.06
46  16 0.077790   15.55
47  14 0.078330   14.17
48  13 0.078810   12.91
49  13 0.079290   11.76
50  13 0.079810   10.72
51  14 0.080530    9.76
52  14 0.081320    8.90
53  15 0.082160    8.11
54  16 0.082930    7.39
55  16 0.083800    6.73
56  16 0.084610    6.13
57  16 0.085500    5.59
58  15 0.086320    5.09
59  15 0.087240    4.64
60  15 0.088060    4.23
61  16 0.089040    3.85
62  17 0.089980    3.51
63  17 0.090980    3.20
64  17 0.092050    2.91
65  20 0.093120    2.65
66  20 0.094280    2.42
67  22 0.095490    2.20
68  23 0.096730    2.01
69  24 0.098050    1.83
70  24 0.099390    1.67
71  24 0.100800    1.52
72  26 0.102200    1.38
73  26 0.103600    1.26
74  26 0.105100    1.15
75  26 0.106600    1.05
76  28 0.108100    0.95
77  27 0.109700    0.87
78  28 0.111200    0.79
79  28 0.112700    0.72
80  28 0.114300    0.66
81  28 0.115800    0.60
82  28 0.117300    0.55
83  29 0.118700    0.50
84  29 0.120200    0.45
85  32 0.121600    0.41
86  32 0.122900    0.38
87  34 0.124200    0.34
88  34 0.125400    0.31
89  34 0.126600    0.28
90  34 0.127700    0.26
91  34 0.128700    0.24
92  34 0.129600    0.22
93  35 0.130500    0.20
94  35 0.131300    0.18
95  35 0.132000    0.16
96  35 0.132700    0.15
97  35 0.133300    0.14
98  36 0.133800    0.12
99  37 0.134300    0.11
100 37 0.134700    0.10
