IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_826,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_809,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_698,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_647,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_611,MOT_2D_linker_EXP,SDOM_subdomainI_CSV,EXP_FASTK,EXP_BTK,EXP_BTK_X_EXP_CD79A,EXP_MARK3_X_EXP_IQGAP1,EXP_MARK3_X_EXP_PPP2CB,EXP_MET_X_EXP_CBLC,EXP_MET_X_EXP_RAPGEF1,EXP_PTK6_X_EXP_CCND1,EXP_PTK6_X_EXP_PTPN1,Predicted IC50,Validation
6.036689,908470,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.0338054432,2.8585885655,8.3012978356,56.980871356,62.955331073,22.677224702,30.850625239,27.276362268,22.802024611,5.87393457,3
2.434704,1290813,1050,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.780554,5.2091791815,2.7033667794,7.7562416591,79.978478787,86.544734405,10.203707579,14.21057198,20.699008223,23.419317958,1.9246983181,6
2.564734,908150,167,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.1184414732,2.8330325461,8.2388435171,61.553823408,78.245324949,13.711035485,18.486390244,20.776586426,27.181992954,2.8676516725,4
1.262042,908150,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,8.2388435171,61.553823408,78.245324949,13.711035485,18.486390244,20.776586426,27.181992954,0.6480723559,5
2.733992,1240135,1164,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,5.674709318,2.6813974884,7.9624831909,58.37328712,61.173852453,18.847004846,24.585529065,28.652618645,28.914554505,2.9815786343,5
2.652559,908150,279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.1184414732,2.8330325461,8.2388435171,61.553823408,78.245324949,13.711035485,18.486390244,20.776586426,27.181992954,2.9861029343,4
0.679608,1290813,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.780554,5.2091791815,2.7033667794,7.7562416591,79.978478787,86.544734405,10.203707579,14.21057198,20.699008223,23.419317958,2.1032721997,1
2.856452,908152,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5.3429321045,2.6871948187,8.2212545271,62.960818384,73.250822371,19.610997219,25.892290024,26.350402108,28.109719287,2.1984596239,5
1.934577,1290813,1219,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.780554,5.2091791815,2.7033667794,7.7562416591,79.978478787,86.544734405,10.203707579,14.21057198,20.699008223,23.419317958,1.4910334863,5
0.123332,908152,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,5.3429321045,2.6871948187,8.2212545271,62.960818384,73.250822371,19.610997219,25.892290024,26.350402108,28.109719287,2.2333567162,5
-0.871999,1290808,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,5.1620848713,2.7535974853,7.5384644386,64.521495524,80.723939508,14.372841411,19.531302544,25.374180268,26.515451866,-0.536598502,6
1.112986,907173,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5.728878424,2.7360690798,7.7904559658,77.379585716,81.210359251,10.670837274,15.081077168,21.930456179,28.374291335,1.4115324546,6
5.086667,907173,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,5.728878424,2.7360690798,7.7904559658,77.379585716,81.210359251,10.670837274,15.081077168,21.930456179,28.374291335,5.3935246605,10
2.161837,1240139,1015,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.628027,5.0660121893,2.5942349983,7.3433331797,71.659818412,87.948117115,14.973664313,24.623235837,18.988871228,28.63788774,2.4091722715,8
4.370731,1290814,1032,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4.4170555399,0,5.7291578198,2.8107565076,8.2160319146,63.977508857,65.492580676,17.930153269,29.211687744,30.822836462,31.38947943,4.1150322988,4
-1.195257,1240131,283,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.4555268868,2.7831885291,8.4631252224,60.138854775,69.1012606,16.953195407,26.041027321,26.665694103,30.386261843,-1.286696898,5
3.279568,908150,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,5.1184414732,2.8330325461,8.2388435171,61.553823408,78.245324949,13.711035485,18.486390244,20.776586426,27.181992954,3.8810657335,9
2.733822,907173,219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,5.728878424,2.7360690798,7.7904559658,77.379585716,81.210359251,10.670837274,15.081077168,21.930456179,28.374291335,3.0684484657,8
2.635456,1240138,1010,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.8489033846,2.6710348552,7.8797203773,73.14869077,68.181311515,11.781910726,17.008211472,28.074886528,32.263262236,2.3906108544,7
3.310362,908152,1219,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5.3429321045,2.6871948187,8.2212545271,62.960818384,73.250822371,19.610997219,25.892290024,26.350402108,28.109719287,3.3451326775,7
5.108447,1240136,1194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.696031644,2.8469700598,8.3226548005,65.948460867,79.239375967,14.929778199,25.365276719,25.929724784,29.400685929,5.8401329804,7
1.863462,908150,177,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,5.1184414732,2.8330325461,8.2388435171,61.553823408,78.245324949,13.711035485,18.486390244,20.776586426,27.181992954,3.638001816,5
0.923889,1240131,153,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,6.4555268868,2.7831885291,8.4631252224,60.138854775,69.1012606,16.953195407,26.041027321,26.665694103,30.386261843,1.6382341405,7
3.659239,1240141,1015,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,7.9756568119,0,6.4031710619,2.9042703236,8.0874076402,63.763984675,79.240994131,21.524118521,20.991015328,31.31923844,32.175592729,3.7214957492,9
