IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_118_ASA,PKA_137_N_EXP,PKA_219,PKA_219_ASA,PKA_44,PKA_44_ASA,PKA_44_CHA,PKA_44_ENG,PKA_44_EXP,DOM_FAT,MUT_PAK5,MUT_STK19,MUT_STK19_EXP,REC_R_HSA_428531,REC_R_HSA_5672950_EXP,REC_R_HSA_5692755_EXP,PWY_R_HSA_373755_CSV,PWY_R_HSA_75035_EXP,GO_0007010,GO_0007030,GO_0007548,GO_0007568,GO_0043154,GO_0043154_EXP,GO_0051402,GO_2000379,EXP_FAM20A,EXP_BRDT,EXP_STK16,EXP_CAMK2D,PKA_109_I_CSV_X_Fingerprint_617,PKA_109_I_X_Fingerprint_617,PKA_190_ENG_X_Fingerprint_694,PKA_190_EXP_X_Fingerprint_644,PKA_190_E_EXP_X_Fingerprint_860,PKA_190_VOL_X_Fingerprint_860,PKA_192_ASA_X_Fingerprint_576,PKA_192_B62_X_Fingerprint_576,PKA_192_CSV_X_Fingerprint_576,PKA_192_VOL_X_Fingerprint_576,PKA_194_CSV_X_Fingerprint_709,PKA_249_ENG_X_Fingerprint_576,PKA_294_CSV_X_Fingerprint_576,PKA_59_ENG_X_Fingerprint_702,PKA_89_ASA_X_Fingerprint_702,EXP_COL4A3BP_X_EXP_COL4A3,EXP_CSNK1E_X_EXP_DIEXF,EXP_CSNK1E_X_EXP_HEATR1,EXP_CSNK1E_X_EXP_RPP40,EXP_CSNK2A1_X_EXP_HDAC1,EXP_CSNK2A1_X_EXP_HDAC4,EXP_CSNK2A1_X_EXP_SIN3A,EXP_CSNK2A1_X_EXP_SUPT5H,EXP_INSRR_X_EXP_GRB2,EXP_INSRR_X_EXP_SOS2,EXP_MAP2K1_X_EXP_DNM1,EXP_MAP2K1_X_EXP_PIK3CD,EXP_MAP2K1_X_EXP_RPS27A,EXP_PAK3_X_EXP_CTNNA1,EXP_TBK1_X_EXP_TRAF3,PWY_R_HSA_1280218_CSV_X_PWY_R_HSA_442742_CSV,PWY_R_HSA_187687_EXP_X_PWY_R_HSA_6804758_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_388841_EXP,GO_0001666_X_GO_0006469,GO_0001933_EXP_X_GO_0006914_EXP,GO_0007049_CSV_X_GO_0035019_CSV,GO_0007249_X_GO_0097190,GO_0010507_X_GO_0023014,Predicted IC50,Validation
-0.094267,910697,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8446799855,3.011024581,6.611937614,5.4941446307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.581995587,58.124879847,43.238032656,46.413892267,75.02939564,28.896413475,44.223414176,64.964359287,21.719675731,12.213056781,38.853309778,31.40853394,36.871514483,27.523684267,47.00823082,0,0,0,0,0,0,0,0,1.9316435835,4
2.557837,910921,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6982204348,0,0,0,0,0,0,0,0,0,0,0,4.7066039441,3.1587881037,6.8081987162,5.5538107885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.884248672,50.64740796,47.146565894,52.829387329,64.46911784,23.401130131,37.023887101,50.402848801,22.202646735,12.562072004,31.349067635,28.305321541,30.509243081,43.054527586,44.227532787,0.58894723,0,0,0,0,0,0,0,2.227268629,2
2.64093,925339,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6489332262,0,0,0,1,0,0,0,0,0,0,0,3.062479867,3.0825653738,6.5520872733,4.5364269217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.449408283,50.983893273,45.910463672,47.04678476,55.251437981,21.878988137,34.722620004,41.367670538,24.32531098,12.743306578,29.606541846,30.968908855,27.200420954,40.110603293,34.704153546,0,0,0,0,0,0,0,0,3.7011777661,3
3.6846,971777,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6708432221,0,0,0,0,0,0,0,1,6.6708432221,0,0,2.8759289153,3.1153607494,7.0680068856,4.4456227649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.209887856,48.324280408,53.037351541,61.232393218,65.471984391,26.040050748,43.833676965,51.329255538,22.929799133,12.441270779,33.124605904,27.969891658,33.123017713,43.162180428,49.22696498,0,0,0,0,0,0,0,0,2.7276474787,3
5.704146,687448,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.2430086243,0,5.8129981607,0,0,0,0,0,0,0,0,0,0,0,3.0246092431,2.9447520849,5.1066096864,5.428577798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.228087898,52.98541087,48.54758234,54.35830418,70.871516397,28.213318188,41.172154995,55.3174619,25.266094201,14.167859584,27.972207168,25.339352779,30.311337265,29.07281379,53.649703374,0,0,0,1,0,0,0,0,3.7299165147,6
5.182168,753546,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,2.9947934633,3.0622456647,6.4880234608,4.3197374658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.500145019,53.246483044,49.600287049,57.041898391,69.704598902,26.601179688,43.62870504,53.098638062,27.781200272,15.184112697,27.63829846,29.778003913,32.291907633,34.879757528,41.082070867,0,0,0,0,25.751211648,0,0,2,3.809412543,10
4.765808,753579,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9306829853,2.9262743824,5.5640534114,5.4976556021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.619756231,50.559752678,51.190399001,55.995688668,71.005657292,27.344762486,44.597742161,51.174183798,23.052839882,14.66652438,28.094192431,23.874515306,26.331919409,42.711964745,33.130806942,0,0,0,0,0,0,0,0,2.8793673813,6
2.079553,753596,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.231704838,0,0.807021,0,2,0,0,1,0,0,0,0,3.702485248,2.9957976654,5.9352159326,4.1359245241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.980043174,55.86450978,45.860303177,40.318841622,68.032179354,28.704660841,44.642763654,50.30405023,21.984713177,15.175852339,31.077480279,32.511718502,27.550928355,32.777374706,49.175573293,0.6068120022,0,0,0,0,0,1,0,2.7591514581,9
4.03632,905955,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0194321487,3.0794714486,5.3016956496,4.7436687975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.091875583,55.049879557,47.343263938,58.218767244,68.232902032,25.93146684,46.545346629,50.040076305,24.492575975,12.823429103,25.5912206,30.996078497,28.192374415,35.565514001,42.741548832,0,0,0,0,0,0,2,0,3.0626219751,8
2.570323,905974,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6816879044,0,0,0,0,0,1,1,0,0,0,1,2.8982673111,3.1179858022,6.6223905422,6.3735193297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.179250323,69.231584365,57.96100094,71.586451382,68.193469921,24.939037809,46.568674468,54.459331281,21.917179356,11.513393429,39.765015224,32.334077235,33.840786163,32.896410711,52.824260528,0,0,0,0,0,0,0,0,1.8966662922,10
