
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 3.6190
2     1 0.00209 3.2980
3     1 0.00414 3.0050
4     4 0.00721 2.7380
5     7 0.01441 2.4950
6     7 0.02376 2.2730
7     7 0.03262 2.0710
8    11 0.04304 1.8870
9    18 0.05654 1.7190
10   26 0.07320 1.5670
11   29 0.09193 1.4270
12   32 0.11120 1.3010
13   36 0.12970 1.1850
14   37 0.14690 1.0800
15   41 0.16290 0.9839
16   44 0.17860 0.8965
17   50 0.19410 0.8169
18   55 0.20880 0.7443
19   60 0.22400 0.6782
20   64 0.23920 0.6179
21   69 0.25420 0.5630
22   69 0.26810 0.5130
23   71 0.28080 0.4674
24   74 0.29380 0.4259
25   77 0.30550 0.3881
26   77 0.31660 0.3536
27   80 0.32650 0.3222
28   84 0.33600 0.2936
29   87 0.34540 0.2675
30   88 0.35420 0.2437
31   88 0.36220 0.2221
32   89 0.36940 0.2023
33   91 0.37600 0.1844
34   94 0.38210 0.1680
35   94 0.38750 0.1531
36   94 0.39220 0.1395
37   96 0.39680 0.1271
38   98 0.40080 0.1158
39   98 0.40470 0.1055
40   98 0.40810 0.0961
41  105 0.41140 0.0876
42  106 0.41460 0.0798
43  108 0.41770 0.0727
44  109 0.42040 0.0663
45  110 0.42300 0.0604
46  111 0.42520 0.0550
47  111 0.42730 0.0501
48  112 0.42910 0.0457
49  113 0.43070 0.0416
50  117 0.43230 0.0379
51  116 0.43370 0.0346
52  118 0.43490 0.0315
53  120 0.43600 0.0287
54  121 0.43710 0.0261
55  123 0.43800 0.0238
56  124 0.43890 0.0217
57  124 0.43970 0.0198
58  123 0.44030 0.0180
59  124 0.44090 0.0164
60  124 0.44140 0.0150
61  124 0.44190 0.0136
62  124 0.44230 0.0124
63  125 0.44270 0.0113
64  126 0.44310 0.0103
65  125 0.44340 0.0094
66  129 0.44360 0.0086
67  129 0.44390 0.0078
68  130 0.44410 0.0071
69  131 0.44420 0.0065
70  131 0.44440 0.0059
71  132 0.44460 0.0054
72  131 0.44470 0.0049
73  131 0.44480 0.0045
74  131 0.44490 0.0041
75  132 0.44500 0.0037
76  135 0.44510 0.0034
77  135 0.44520 0.0031
78  135 0.44530 0.0028
79  135 0.44540 0.0026
80  135 0.44540 0.0023
81  136 0.44550 0.0021
82  136 0.44550 0.0019
83  136 0.44550 0.0018
84  137 0.44560 0.0016
85  137 0.44560 0.0015
86  137 0.44560 0.0013
87  137 0.44560 0.0012
88  137 0.44570 0.0011
89  137 0.44570 0.0010
90  137 0.44570 0.0009
91  137 0.44570 0.0008
92  138 0.44570 0.0008
93  138 0.44570 0.0007
94  138 0.44570 0.0006
95  138 0.44570 0.0006
96  138 0.44580 0.0005
97  138 0.44580 0.0005
98  138 0.44580 0.0004
99  138 0.44580 0.0004
100 138 0.44580 0.0004
