
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 1.86800
2     1 0.00031 1.70200
3     2 0.00141 1.55000
4     3 0.00446 1.41300
5     3 0.00800 1.28700
6     3 0.01093 1.17300
7     3 0.01337 1.06900
8     3 0.01539 0.97370
9     3 0.01707 0.88720
10    3 0.01847 0.80840
11    3 0.01963 0.73660
12    3 0.02059 0.67120
13    4 0.02148 0.61150
14    4 0.02229 0.55720
15    5 0.02309 0.50770
16    5 0.02403 0.46260
17    5 0.02480 0.42150
18    6 0.02550 0.38410
19    6 0.02652 0.34990
20    7 0.02743 0.31890
21    7 0.02829 0.29050
22    7 0.02899 0.26470
23    8 0.02971 0.24120
24    8 0.03037 0.21980
25    8 0.03091 0.20020
26    8 0.03137 0.18250
27    8 0.03174 0.16630
28    9 0.03245 0.15150
29   10 0.03457 0.13800
30   11 0.03940 0.12580
31   11 0.04657 0.11460
32   12 0.05317 0.10440
33   15 0.06245 0.09513
34   17 0.07263 0.08668
35   17 0.08443 0.07898
36   18 0.09455 0.07197
37   22 0.10700 0.06557
38   22 0.11840 0.05975
39   24 0.12800 0.05444
40   27 0.13840 0.04960
41   29 0.14860 0.04520
42   29 0.15930 0.04118
43   32 0.16980 0.03752
44   34 0.18030 0.03419
45   36 0.19130 0.03115
46   35 0.20060 0.02838
47   39 0.20900 0.02586
48   42 0.21970 0.02357
49   45 0.22880 0.02147
50   48 0.23740 0.01956
51   51 0.24910 0.01783
52   58 0.26330 0.01624
53   62 0.27900 0.01480
54   65 0.29600 0.01349
55   68 0.31110 0.01229
56   72 0.32480 0.01120
57   73 0.33680 0.01020
58   76 0.34750 0.00930
59   78 0.35740 0.00847
60   81 0.36670 0.00772
61   81 0.37480 0.00703
62   84 0.38150 0.00641
63   87 0.38730 0.00584
64   89 0.39250 0.00532
65   90 0.39800 0.00485
66   88 0.40240 0.00442
67   90 0.40600 0.00402
68   93 0.40960 0.00367
69   97 0.41370 0.00334
70   98 0.41720 0.00304
71   99 0.42030 0.00277
72   99 0.42280 0.00253
73   99 0.42510 0.00230
74  103 0.42710 0.00210
75  104 0.42910 0.00191
76  106 0.43090 0.00174
77  107 0.43250 0.00159
78  108 0.43400 0.00145
79  110 0.43530 0.00132
80  112 0.43640 0.00120
81  113 0.43750 0.00109
82  114 0.43840 0.00100
83  112 0.43920 0.00091
84  113 0.43990 0.00083
85  114 0.44060 0.00075
86  116 0.44120 0.00069
87  116 0.44180 0.00063
88  117 0.44220 0.00057
89  118 0.44260 0.00052
90  117 0.44300 0.00047
91  117 0.44320 0.00043
92  119 0.44350 0.00039
93  118 0.44370 0.00036
94  120 0.44390 0.00033
95  121 0.44410 0.00030
96  122 0.44420 0.00027
97  123 0.44440 0.00025
98  123 0.44460 0.00022
99  125 0.44470 0.00020
100 126 0.44490 0.00019
