
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

     Df     %Dev Lambda
1     0 0.000000 7.0950
2     2 0.001379 6.4650
3     8 0.003745 5.8910
4    11 0.007589 5.3670
5    19 0.011840 4.8910
6    21 0.016220 4.4560
7    25 0.020240 4.0600
8    30 0.024230 3.7000
9    35 0.028160 3.3710
10   39 0.031790 3.0710
11   44 0.035200 2.7990
12   51 0.038350 2.5500
13   53 0.041170 2.3230
14   55 0.043680 2.1170
15   55 0.045940 1.9290
16   61 0.048160 1.7580
17   60 0.050250 1.6010
18   62 0.052150 1.4590
19   63 0.053890 1.3300
20   67 0.055550 1.2110
21   66 0.057110 1.1040
22   73 0.058780 1.0060
23   76 0.060630 0.9164
24   78 0.062370 0.8350
25   83 0.064120 0.7608
26   86 0.065840 0.6932
27   86 0.067430 0.6316
28   91 0.069080 0.5755
29   90 0.070620 0.5244
30   96 0.072040 0.4778
31  100 0.073520 0.4354
32  102 0.074980 0.3967
33  105 0.076370 0.3614
34  104 0.077700 0.3293
35  109 0.078970 0.3001
36  111 0.080170 0.2734
37  112 0.081260 0.2491
38  114 0.082260 0.2270
39  117 0.083170 0.2068
40  123 0.084010 0.1885
41  120 0.084830 0.1717
42  125 0.085540 0.1565
43  126 0.086220 0.1426
44  131 0.086800 0.1299
45  135 0.087370 0.1184
46  138 0.087860 0.1078
47  140 0.088380 0.0983
48  141 0.088830 0.0895
49  146 0.089240 0.0816
50  147 0.089620 0.0743
51  149 0.089950 0.0677
52  153 0.090250 0.0617
53  156 0.090530 0.0562
54  161 0.090790 0.0512
55  163 0.091030 0.0467
56  168 0.091220 0.0425
57  171 0.091400 0.0388
58  174 0.091580 0.0353
59  175 0.091720 0.0322
60  178 0.091850 0.0293
61  179 0.091970 0.0267
62  181 0.092070 0.0243
63  182 0.092160 0.0222
64  185 0.092230 0.0202
65  186 0.092310 0.0184
66  189 0.092370 0.0168
67  192 0.092420 0.0153
68  198 0.092450 0.0139
69  200 0.092490 0.0127
70  200 0.092530 0.0116
71  201 0.092550 0.0105
72  206 0.092600 0.0096
73  209 0.092610 0.0087
74  213 0.092640 0.0080
75  216 0.092660 0.0073
76  218 0.092680 0.0066
77  221 0.092690 0.0060
78  224 0.092710 0.0055
79  227 0.092720 0.0050
80  232 0.092730 0.0046
81  236 0.092740 0.0042
82  238 0.092750 0.0038
83  239 0.092750 0.0034
84  242 0.092760 0.0031
85  244 0.092770 0.0029
86  243 0.092780 0.0026
87  244 0.092780 0.0024
88  245 0.092790 0.0022
89  248 0.092790 0.0020
90  253 0.092790 0.0018
91  252 0.092800 0.0016
92  255 0.092800 0.0015
93  256 0.092800 0.0014
94  258 0.092810 0.0012
95  258 0.092810 0.0011
96  261 0.092810 0.0010
97  261 0.092810 0.0009
98  263 0.092820 0.0009
99  265 0.092820 0.0008
100 264 0.092820 0.0007
