
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 1.12000
2     1 0.00037 1.02100
3     1 0.00068 0.93020
4     1 0.00093 0.84760
5     1 0.00114 0.77230
6     1 0.00132 0.70370
7     1 0.00146 0.64120
8     1 0.00158 0.58420
9     1 0.00168 0.53230
10    1 0.00177 0.48500
11    1 0.00184 0.44190
12    2 0.00193 0.40270
13    2 0.00248 0.36690
14    2 0.00293 0.33430
15    2 0.00331 0.30460
16    2 0.00363 0.27760
17    2 0.00389 0.25290
18    2 0.00410 0.23040
19    3 0.00576 0.21000
20    3 0.01239 0.19130
21    3 0.01791 0.17430
22    3 0.02248 0.15880
23    6 0.02922 0.14470
24    6 0.04118 0.13190
25    6 0.05111 0.12010
26    8 0.05975 0.10950
27    9 0.06964 0.09975
28   10 0.08137 0.09089
29   12 0.09275 0.08281
30   12 0.10260 0.07545
31   13 0.11140 0.06875
32   14 0.11960 0.06264
33   14 0.12730 0.05708
34   19 0.13660 0.05201
35   22 0.14870 0.04739
36   21 0.15950 0.04318
37   22 0.16840 0.03934
38   25 0.17760 0.03585
39   26 0.18780 0.03266
40   28 0.19750 0.02976
41   33 0.20710 0.02712
42   34 0.21820 0.02471
43   39 0.23010 0.02251
44   44 0.24640 0.02051
45   46 0.26290 0.01869
46   48 0.27890 0.01703
47   49 0.29430 0.01552
48   52 0.30960 0.01414
49   56 0.32330 0.01288
50   58 0.33530 0.01174
51   61 0.34590 0.01070
52   63 0.35570 0.00974
53   63 0.36430 0.00888
54   64 0.37150 0.00809
55   65 0.37770 0.00737
56   66 0.38290 0.00672
57   67 0.38730 0.00612
58   71 0.39160 0.00558
59   72 0.39570 0.00508
60   74 0.39920 0.00463
61   74 0.40230 0.00422
62   75 0.40480 0.00384
63   78 0.40750 0.00350
64   78 0.41010 0.00319
65   82 0.41220 0.00291
66   82 0.41410 0.00265
67   83 0.41570 0.00241
68   84 0.41700 0.00220
69   84 0.41820 0.00200
70   85 0.41950 0.00183
71   86 0.42050 0.00166
72   84 0.42150 0.00152
73   85 0.42230 0.00138
74   88 0.42300 0.00126
75   92 0.42370 0.00115
76   93 0.42440 0.00104
77   95 0.42500 0.00095
78   96 0.42550 0.00087
79   97 0.42600 0.00079
80   96 0.42650 0.00072
81   97 0.42690 0.00066
82   98 0.42720 0.00060
83   98 0.42750 0.00054
84   99 0.42770 0.00050
85  100 0.42790 0.00045
86  104 0.42810 0.00041
87  104 0.42830 0.00038
88  104 0.42840 0.00034
89  104 0.42850 0.00031
90  104 0.42860 0.00028
91  104 0.42870 0.00026
92  105 0.42880 0.00024
93  105 0.42890 0.00021
94  106 0.42890 0.00020
95  106 0.42900 0.00018
96  107 0.42900 0.00016
97  106 0.42910 0.00015
98  106 0.42910 0.00014
99  108 0.42910 0.00012
100 109 0.42920 0.00011
