
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 2.03600
2     2 0.00938 1.85600
3     2 0.01808 1.69100
4     2 0.02530 1.54100
5     2 0.03129 1.40400
6     2 0.03627 1.27900
7     4 0.04112 1.16500
8     4 0.04610 1.06200
9     4 0.05024 0.96750
10    4 0.05367 0.88150
11    4 0.05652 0.80320
12    6 0.05911 0.73190
13    6 0.06187 0.66680
14    7 0.06468 0.60760
15    7 0.06746 0.55360
16    9 0.06990 0.50440
17    9 0.07248 0.45960
18    9 0.07463 0.41880
19   10 0.07684 0.38160
20   10 0.07871 0.34770
21   12 0.08045 0.31680
22   12 0.08206 0.28870
23   13 0.08338 0.26300
24   13 0.08469 0.23970
25   14 0.08583 0.21840
26   14 0.08688 0.19900
27   15 0.09537 0.18130
28   15 0.10420 0.16520
29   15 0.11160 0.15050
30   15 0.11980 0.13710
31   15 0.12800 0.12500
32   17 0.13520 0.11390
33   18 0.14140 0.10370
34   19 0.14850 0.09452
35   20 0.15460 0.08613
36   21 0.16630 0.07848
37   24 0.17850 0.07150
38   26 0.18920 0.06515
39   28 0.19930 0.05936
40   29 0.20780 0.05409
41   31 0.21570 0.04928
42   32 0.22270 0.04491
43   35 0.23010 0.04092
44   38 0.23990 0.03728
45   40 0.25070 0.03397
46   41 0.25990 0.03095
47   41 0.26770 0.02820
48   45 0.27560 0.02570
49   46 0.28440 0.02341
50   51 0.29330 0.02133
51   55 0.30440 0.01944
52   57 0.31520 0.01771
53   61 0.32560 0.01614
54   66 0.33730 0.01470
55   67 0.34950 0.01340
56   70 0.36120 0.01221
57   71 0.37140 0.01112
58   74 0.38160 0.01014
59   78 0.39110 0.00924
60   80 0.39970 0.00842
61   79 0.40740 0.00767
62   80 0.41560 0.00699
63   81 0.42310 0.00636
64   83 0.42960 0.00580
65   88 0.43570 0.00528
66   90 0.44230 0.00482
67   93 0.44820 0.00439
68   95 0.45350 0.00400
69   98 0.45800 0.00364
70   98 0.46210 0.00332
71   99 0.46560 0.00302
72  100 0.46910 0.00276
73  103 0.47230 0.00251
74  105 0.47550 0.00229
75  106 0.47840 0.00208
76  109 0.48090 0.00190
77  108 0.48320 0.00173
78  108 0.48540 0.00158
79  108 0.48710 0.00144
80  109 0.48860 0.00131
81  109 0.48980 0.00119
82  109 0.49080 0.00109
83  109 0.49160 0.00099
84  109 0.49240 0.00090
85  109 0.49290 0.00082
86  110 0.49340 0.00075
87  110 0.49380 0.00068
88  113 0.49420 0.00062
89  113 0.49450 0.00057
90  114 0.49470 0.00052
91  116 0.49490 0.00047
92  116 0.49510 0.00043
93  116 0.49520 0.00039
94  117 0.49540 0.00036
95  118 0.49550 0.00032
96  118 0.49560 0.00030
97  121 0.49560 0.00027
98  121 0.49570 0.00025
99  121 0.49570 0.00022
100 121 0.49580 0.00020
