
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 101.800
2     2 0.00377  92.780
3     3 0.00823  84.540
4     3 0.01319  77.030
5     3 0.01787  70.180
6     4 0.02264  63.950
7     5 0.02777  58.270
8     6 0.03291  53.090
9     6 0.03783  48.370
10    6 0.04228  44.080
11    7 0.04653  40.160
12    7 0.05059  36.590
13    8 0.05439  33.340
14    8 0.05790  30.380
15    8 0.06102  27.680
16   10 0.06409  25.220
17   10 0.06695  22.980
18   10 0.06949  20.940
19   10 0.07173  19.080
20   12 0.07378  17.380
21   13 0.07584  15.840
22   13 0.07772  14.430
23   13 0.07937  13.150
24   14 0.08086  11.980
25   14 0.08220  10.920
26   14 0.08338   9.948
27   15 0.08472   9.064
28   15 0.08603   8.259
29   16 0.08730   7.525
30   18 0.08874   6.857
31   19 0.09025   6.248
32   20 0.09201   5.693
33   23 0.09405   5.187
34   24 0.09637   4.726
35   26 0.09894   4.306
36   28 0.10170   3.924
37   29 0.10470   3.575
38   30 0.10790   3.258
39   32 0.11110   2.968
40   34 0.11460   2.705
41   36 0.11840   2.464
42   39 0.12230   2.245
43   41 0.12660   2.046
44   46 0.13110   1.864
45   49 0.13600   1.699
46   50 0.14120   1.548
47   53 0.14650   1.410
48   57 0.15210   1.285
49   63 0.15790   1.171
50   65 0.16390   1.067
51   70 0.17010   0.972
52   70 0.17640   0.886
53   73 0.18280   0.807
54   78 0.18930   0.735
55   82 0.19600   0.670
56   85 0.20270   0.610
57   87 0.20950   0.556
58   88 0.21630   0.507
59   88 0.22320   0.462
60   89 0.22990   0.421
61   91 0.23670   0.383
62   91 0.24340   0.349
63   93 0.25010   0.318
64   97 0.25680   0.290
65  101 0.26350   0.264
66  101 0.27020   0.241
67  101 0.27680   0.219
68  104 0.28320   0.200
69  107 0.28960   0.182
70  107 0.29600   0.166
71  107 0.30230   0.151
72  107 0.30850   0.138
73  109 0.31470   0.126
74  110 0.32070   0.114
75  107 0.32670   0.104
76  109 0.33250   0.095
77  112 0.33830   0.087
78  114 0.34400   0.079
79  116 0.34970   0.072
80  117 0.35530   0.065
81  117 0.36080   0.060
82  118 0.36630   0.054
83  118 0.37170   0.050
84  119 0.37700   0.045
85  118 0.38220   0.041
86  119 0.38740   0.037
87  120 0.39250   0.034
88  119 0.39730   0.031
89  121 0.40210   0.028
90  120 0.40690   0.026
91  120 0.41160   0.024
92  120 0.41610   0.021
93  121 0.42060   0.020
94  120 0.42490   0.018
95  121 0.42910   0.016
96  121 0.43310   0.015
97  122 0.43710   0.013
98  121 0.44090   0.012
99  121 0.44460   0.011
100 120 0.44810   0.010
