
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.1800
2     2 0.00832  9.2780
3     2 0.01632  8.4540
4     2 0.02316  7.7030
5     2 0.02899  7.0180
6     3 0.03423  6.3950
7     4 0.03963  5.8270
8     4 0.04463  5.3090
9     4 0.04883  4.8370
10    4 0.05236  4.4080
11    6 0.05540  4.0160
12    6 0.05858  3.6590
13    6 0.06128  3.3340
14    7 0.06443  3.0380
15    7 0.06708  2.7680
16    9 0.06957  2.5220
17    9 0.07208  2.2980
18   10 0.07425  2.0940
19   10 0.07643  1.9080
20   10 0.07827  1.7380
21   12 0.08002  1.5840
22   12 0.08162  1.4430
23   13 0.08303  1.3150
24   13 0.08434  1.1980
25   14 0.08547  1.0920
26   14 0.08652  0.9948
27   15 0.08987  0.9064
28   15 0.09373  0.8259
29   15 0.09748  0.7525
30   16 0.10210  0.6857
31   17 0.10730  0.6248
32   18 0.11260  0.5693
33   19 0.11870  0.5187
34   21 0.12520  0.4726
35   21 0.13120  0.4306
36   23 0.13740  0.3924
37   26 0.14470  0.3575
38   29 0.15220  0.3258
39   30 0.16170  0.2968
40   32 0.17080  0.2705
41   34 0.17970  0.2464
42   35 0.18850  0.2245
43   37 0.19700  0.2046
44   41 0.20600  0.1864
45   42 0.21490  0.1699
46   42 0.22360  0.1548
47   44 0.23190  0.1410
48   48 0.24030  0.1285
49   52 0.24860  0.1171
50   53 0.25700  0.1067
51   59 0.26570  0.0972
52   64 0.27470  0.0886
53   68 0.28390  0.0807
54   69 0.29270  0.0735
55   72 0.30160  0.0670
56   74 0.31020  0.0610
57   77 0.31910  0.0556
58   79 0.32780  0.0507
59   79 0.33620  0.0462
60   81 0.34430  0.0421
61   82 0.35210  0.0383
62   84 0.35960  0.0349
63   84 0.36680  0.0318
64   87 0.37380  0.0290
65   90 0.38060  0.0264
66   92 0.38710  0.0241
67   91 0.39330  0.0219
68   95 0.39910  0.0200
69   99 0.40500  0.0182
70   99 0.41080  0.0166
71  102 0.41630  0.0151
72  103 0.42190  0.0138
73  105 0.42730  0.0126
74  105 0.43240  0.0114
75  104 0.43710  0.0104
76  104 0.44150  0.0095
77  105 0.44550  0.0087
78  108 0.44940  0.0079
79  110 0.45310  0.0072
80  111 0.45670  0.0065
81  112 0.46010  0.0060
82  112 0.46330  0.0054
83  111 0.46630  0.0050
84  111 0.46910  0.0045
85  112 0.47170  0.0041
86  112 0.47420  0.0037
87  112 0.47650  0.0034
88  112 0.47850  0.0031
89  112 0.48040  0.0028
90  113 0.48220  0.0026
91  115 0.48370  0.0024
92  115 0.48520  0.0021
93  116 0.48650  0.0020
94  116 0.48760  0.0018
95  116 0.48870  0.0016
96  116 0.48960  0.0015
97  117 0.49040  0.0013
98  118 0.49110  0.0012
99  119 0.49180  0.0011
100 120 0.49240  0.0010
