IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_828,Fingerprint_821,Fingerprint_818,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_672,Fingerprint_669,Fingerprint_648,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_611,MOT_2D_linker_EXP,SDOM_subdomainI_CSV,SDOM_subdomainV_CSV,EXP_BTK,EXP_BTK_X_EXP_CD79A,EXP_MARK3_X_EXP_IQGAP1,EXP_MET_X_EXP_CBLC,EXP_MET_X_EXP_FGF12,EXP_MET_X_EXP_PDGFA,EXP_MET_X_EXP_RAPGEF1,EXP_PTK6_X_EXP_CCND1,Predicted IC50,Validation
3.176001,907173,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7360690798,7.7904559658,77.379585716,10.670837274,10.778754486,22.832449059,15.081077168,21.930456179,1.4056579625,7
1.262042,908150,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8330325461,8.2388435171,61.553823408,13.711035485,15.223651682,27.359157773,18.486390244,20.776586426,1.6882541517,6
2.629854,907173,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2.7360690798,7.7904559658,77.379585716,10.670837274,10.778754486,22.832449059,15.081077168,21.930456179,2.2468815121,5
3.095066,908150,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2.8330325461,8.2388435171,61.553823408,13.711035485,15.223651682,27.359157773,18.486390244,20.776586426,2.4132326206,1
2.59111,908152,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2.6871948187,8.2212545271,62.960818384,19.610997219,21.996136023,37.168822467,25.892290024,26.350402108,2.1268335203,3
3.406062,907173,6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2.7360690798,7.7904559658,77.379585716,10.670837274,10.778754486,22.832449059,15.081077168,21.930456179,3.9592243852,2
3.154035,908150,6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2.8330325461,8.2388435171,61.553823408,13.711035485,15.223651682,27.359157773,18.486390244,20.776586426,3.8852128275,3
3.133817,908152,6,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2.6871948187,8.2212545271,62.960818384,19.610997219,21.996136023,37.168822467,25.892290024,26.350402108,4.519662659,6
2.682806,907173,29,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2.7360690798,7.7904559658,77.379585716,10.670837274,10.778754486,22.832449059,15.081077168,21.930456179,1.626834732,5
0.782183,908150,29,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2.8330325461,8.2388435171,61.553823408,13.711035485,15.223651682,27.359157773,18.486390244,20.776586426,1.534483247,5
