IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,DOM_I_set,MUT_EIF2AK1,REC_R_HSA_450346,PWY_R_HSA_170834,PWY_R_HSA_170834_EXP,PWY_R_HSA_1852241_EXP,PWY_R_HSA_3371453,PWY_R_HSA_453279,GO_0007399_CSV,GO_0008283_EXP,GO_0016572,GO_0019722,GO_0019933,GO_0030509_EXP,GO_0031098_CSV,GO_0032147_CSV,GO_0050766_CSV,GO_0071560,SFAM_RIPK_EXP,EXP_CLK4,EXP_TRPM7,EXP_TBK1,EXP_MAPK1,EXP_STRADB,EXP_CAMK2D,EXP_MAP3K20,EXP_CAMK1,EXP_CDK11A,EXP_DCLK2_X_EXP_ASF1B,EXP_TBK1_X_EXP_IFIH1,PWY_R_HSA_1430728_X_PWY_R_HSA_168898,PWY_R_HSA_166016_EXP_X_PWY_R_HSA_6802957_EXP,PWY_R_HSA_166058_EXP_X_PWY_R_HSA_6802957_EXP,PWY_R_HSA_168898_EXP_X_PWY_R_HSA_6802957_EXP,PWY_R_HSA_194315_X_PWY_R_HSA_556833,GO_0006970_EXP_X_GO_2000505_EXP,GO_0007050_X_GO_0043066,GO_0007411_X_GO_0051534,GO_0010628_X_GO_0045087,GO_0031532_X_GO_0045893,Predicted IC50,Validation
1.332871,905984,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.5111449199,5.8156820238,8.3996648372,5.8940143246,2.9919851554,5.430579323,6.4015161446,3.3738430004,6.6157304197,15.340599916,48.335618487,0,0,0,0,0,15.075071036,0,1,0,0,2.4823780933,3
1.319399,905986,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.555755,0.555755,0,1,0,4.2943515326,5.505058676,8.1727971111,6.1654818158,3.8015779062,5.8990639553,7.2566537681,4.0502732917,6.992232175,18.858966761,32.047702784,0,0,0,0,0,0,0,0,0,0,2.6663839447,2
4.995202,906746,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,11.889448777,0,1,0,0,0.635693,0,0,0,0,4.6138804633,5.5685187132,7.4284835426,6.2263931891,4.347476504,6.2913564666,7.4461542375,3.9420709252,6.7713005749,12.357028788,40.762220863,0,0,0,0,0,0,0,0,0,0,3.0107731961,3
2.177508,906834,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.1725229969,4.0926174687,5.952595921,6.1818302847,3.3084127963,5.3489242344,5.5254571555,3.8248986716,6.9970465015,26.698995867,25.946942886,0,0,0,0,0,0,1,0,2,0,4.1460890917,6
1.709795,906871,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4.5751925951,5.3590101847,8.0584097251,5.6153941295,3.3508207522,4.1213979846,6.6259915686,4.4172823883,6.4999609328,14.715962079,35.561222659,0,0,0,0,0,0,0,0,0,0,1.5585800696,1
3.523919,907279,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0924067397,0,0,0,0,0,0,0,0,0,4.6754784608,5.1029549558,7.9541233814,6.4666952465,3.5883796809,7.8383101774,6.3851665058,4.5475040752,6.5195263685,18.440965675,34.680934417,0,0,0,0,0,0,0,0,1,0,2.8986722418,6
4.653318,907282,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.9283852311,0,0,0,0,0.79945,0,0,0,0,4.1280428502,5.8261591059,7.9493103045,6.9728085922,3.8912923838,6.8320965811,5.9523606566,4.0247754244,4.5878055096,25.273460129,37.165121292,0,0,0,0,0,0,0,0,0,0,3.332797233,10
0.598751,907313,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,0,2,0,0,6.2062152144,0,0,0,0,0,4.6040651361,6.1026434945,8.1808763533,5.8825538991,3.415764169,7.4458085268,6.2526706053,4.8566121554,6.6416003102,18.453412631,37.669368089,1,65.905542637,65.905542637,65.905542637,1,0,0,0,0,6,1.0574948314,7
2.935004,908449,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.839240409,5.5845176937,8.309806524,5.969713562,4.1791224445,5.9968104017,6.4332037333,4.0456710481,6.7881162381,12.954006971,41.941436497,0,0,0,0,0,0,0,0,0,0,2.5709546294,2
2.337366,908450,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.712379,0,0,0,0,0,0,0,0,0,0,5.1292209704,5.8901845604,7.7419421927,6.5917998766,3.954212381,7.3749762223,7.5303543727,5.3552640353,6.5742155213,21.044790683,36.107810818,0,0,0,0,0,0,0,0,0,0,2.8266344975,2
2.666471,908452,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5457412729,1,0,0.666601,6.6041090281,0,0,0,0,0,0,0,0,0,4.4993487387,4.9189899974,7.5756339912,5.9998077867,3.5110666904,5.4370459246,7.1027673478,3.6626675086,6.8668822969,20.062543474,38.379785389,0,0,0,0,0,0,0,0,0,0,2.3060197966,7
2.328382,909248,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4.0468439365,0,0,0,0,0,5.0391210645,4.4861731387,7.7641633609,5.7520780523,3.2480024937,4.7308943868,5.882834465,3.457638413,6.653794665,14.460291988,36.50923862,1,20.12078628,20.12078628,20.12078628,3,0,0,0,0,0,3.02128723,10
4.482175,910933,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.3809343032,0,0,0,4.0587348028,0,0,0,0,0,4.1127463055,4.9250980132,8.3192366905,6.342337264,3.2056703386,4.5090952573,6.1644402833,5.6402100168,6.8430780652,20.45602533,33.352077626,0,0,0,0,0,0,0,0,0,2,3.6752401558,8
