IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_804,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_363,PKA_190,PKA_190_CHA,PKA_190_EXP,DOM_Myosin_head_EXP,DOM_SH3_1,MUT_CDC42BPA_EXP,MUT_CDKL5,MUT_CDKL5_EXP,REC_R_HSA_2730861_EXP,REC_R_HSA_74885,REC_R_HSA_74885_EXP,PWY_R_HSA_111465,PWY_R_HSA_8864260,PWY_R_HSA_8878171,GO_0006357_EXP,GO_0008283,GO_0030900,GO_0030900_EXP,GO_0043547,GO_0048015_EXP,GO_0048170,EXP_MAP3K20,EXP_STK38,EXP_RPS6KB1,EXP_ATM,EXP_NEK11,EXP_BMPR2,PKA_111_EXP_X_Fingerprint_643,PKA_114_B62_X_Fingerprint_363,PKA_214_HYD_X_Fingerprint_818,PKA_228_EXP_X_Fingerprint_363,PKA_228_X_Fingerprint_363,PKA_235_CSV_X_Fingerprint_363,PKA_235_X_Fingerprint_363,PKA_235_X_Fingerprint_776,PKA_239_ENG_X_Fingerprint_363,PKA_264_CSV_X_Fingerprint_363,PKA_264_ENG_X_Fingerprint_812,PKA_264_ENG_X_Fingerprint_818,PKA_48_ASA_X_Fingerprint_672,PKA_48_CSV_X_Fingerprint_672,PKA_48_ENG_X_Fingerprint_672,PKA_48_X_Fingerprint_672,PKA_72_ASA_X_Fingerprint_672,PKA_98_ASA_X_Fingerprint_363,PKA_98_ASA_X_Fingerprint_776,PKA_98_B62_X_Fingerprint_363,PKA_98_B62_X_Fingerprint_776,PKA_98_CSV_X_Fingerprint_776,PKA_98_ENG_X_Fingerprint_363,PKA_98_ENG_X_Fingerprint_776,PKA_98_EXP_X_Fingerprint_611,PKA_98_HYD_X_Fingerprint_363,PKA_98_HYD_X_Fingerprint_776,PKA_98_VOL_X_Fingerprint_776,EXP_MAP4K4_X_EXP_FADD,EXP_STK25_X_EXP_GOLGA2,GO_0001934_EXP_X_GO_0019221_EXP,GO_0008284_X_GO_0051402,GO_0032212_EXP_X_GO_0051402_EXP,GO_0048661_EXP_X_GO_0070059_EXP,Predicted IC50,Validation
2.178744,907783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.9244170364,7.7975809945,6.4260125001,7.2486695602,3.6076161653,4.6990656735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.24398257,25.947845534,0,0,0,0,3.225386078,5
1.876477,908126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6164124217,0,0,0,0,0,0,0,0,0,0,2,0,0,7.0509418407,8.2488098742,6.5051254636,5.3671053706,3.4226364272,5.5298650468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.968937362,34.262239332,0,0,0,0,2.7619088527,9
2.643769,908148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9628428931,0,0,0,6.2721830814,7.2167976286,6.9368781843,6.1819094008,3.279795275,6.1400620802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.008717636,31.134477499,0,0,0,0,1.7656173495,7
3.159454,908448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.9262033222,8.1308485681,7.252474898,6.6127963928,3.2549222025,7.0655390324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.601055142,29.583221572,0,0,0,0,1.7984036563,1
3.348916,908451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.8386226383,0,0,0,0,0,0,6.8533528802,7.9035867888,6.1201338362,6.3542339064,3.4369386131,4.5566149582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.988069275,27.771076324,0,0,0,0,2.8418851196,4
2.470049,909253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3.8783915044,6.9200552717,5.6908662685,5.7126201033,3.6625096143,4.7773398599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.205326944,22.867336712,0,0,0,0,4.1650490308,3
2.333492,909703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5010142305,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.1458135983,8.920625903,6.1091640292,5.7138409146,3.5480115929,4.3322421829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.128311657,28.823660452,0,0,0,0,1.8542664157,5
1.315042,909715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,4.1491430884,0,0,0,0,0,0,0,0,0,1,0,2.9609210107,3,0,0,0,6.2316962244,1,5.2865254926,6.898856315,6.4646310938,5.8912008178,3.4253898472,5.2656798228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.402704747,28.539304148,29.262738288,0,0,0,1.2065966463,10
3.032187,909771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5022981265,7.712674139,5.5922699552,5.8582912204,3.7734304674,5.9409729446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.423410991,28.083161987,0,1,34.319576023,0,3.1893134225,8
3.007462,910544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9726898678,1,0,1,3.6117652571,0,0,0,1,0,1,0,0,0,0,1,0,0,3.868274414,6.9963632356,6.5986700635,5.8923138047,3.4648278094,5.5730037582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8634517,28.625149804,0,0,0,0,3.4872857452,10
2.176794,910545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7017272162,6.7233171403,5.8671685533,6.3639998287,3.4905906813,6.6337012313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.381786834,28.575893147,0,0,0,0,2.3638508705,2
2.719367,910566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9979501666,0,5.9834628879,7.8240760167,6.4898979281,6.2232882366,3.3204542884,5.1638064849,6.8336631019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.717645034,26.054698197,0,0,0,0,2.3965594068,8
2.776724,910688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9238796587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7641965596,6.1980836059,5.4784358484,6.2994784182,3.3136982092,6.093086236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1098828,28.057612184,0,0,0,0,2.3018734931,4
1.435513,910710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0691796652,0,0,0,6.3095677972,9.5607971857,6.1365409864,7.1916664317,3.3313170354,5.9672993147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.359740741,27.622711121,0,0,0,0,1.9511988975,6
1.842314,910947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5986332834,7.0756361216,5.7415347336,6.3391357087,3.3012229874,5.2242952305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.457153667,28.945686862,0,0,0,0,2.1960155169,7
2.362012,1323913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2.9910652469,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.8524299657,8.0980392699,6.3537043563,6.7343451709,3.2319938232,6.5937311922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.282543169,31.380763625,0,0,0,0,1.8307917131,1
2.42115,1327771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5392135977,6.8244777884,6.0582212367,5.28248997,3.4721811489,7.4632971193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.55399896,26.408431793,0,0,0,0,3.0963932071,5
2.278081,1330931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,17.300761462,0,6.3359393602,7.3063942346,5.7912395132,5.2824059137,3.5496228884,6.9493809843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.320554558,29.71406447,0,0,0,0,2.894245673,10
3.663477,1330942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3928511901,0,0,0,0,12.159065256,0,0,2,0,2,0,0,0,0,0,3.4904198758,0,5.3478699959,7.177048043,5.8318761703,5.899691721,3.5778448737,5.7349283746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.043420404,21.769390145,0,1,42.440243042,0,4.4248518077,6
1.144296,1330947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4508464004,0,0,0,0,0,1,2.9656856259,0,4.4235751388,0,5.8049340385,7.5047736329,6.0237783856,6.0828974884,3.5898436767,4.8936472047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.121683235,29.762487742,49.556591736,0,0,31.923285162,0.5698331424,7
2.349529,1330985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6073369216,0,5.9646758938,7.6786299505,6.4324640703,4.4564779586,3.6876656997,6.8119854849,8.3414689396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.812416106,32.554940264,0,0,0,0,2.3375147515,2
3.646735,1330991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706805974,6.67721219,6.3942889296,5.8377834298,3.4642280325,4.6594439134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.365032204,24.101047283,0,0,0,0,2.8276067328,6
1.456419,905938,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.7141404489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4249172569,6.8162722046,5.5983933989,6.0273557826,3.5145338763,3.5149884467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.915820351,30.289363299,0,0,0,0,1.4154305532,5
