
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 0.99480
2    1 0.00056 0.90650
3    1 0.00103 0.82590
4    1 0.00142 0.75260
5    1 0.00174 0.68570
6    1 0.00201 0.62480
7    1 0.00224 0.56930
8    2 0.00297 0.51870
9    2 0.00392 0.47260
10   2 0.00470 0.43060
11   3 0.00585 0.39240
12   4 0.00685 0.35750
13   4 0.00769 0.32580
14   4 0.00838 0.29680
15   4 0.00896 0.27050
16   5 0.02095 0.24640
17   5 0.03097 0.22450
18   5 0.03929 0.20460
19   6 0.04620 0.18640
20   8 0.05832 0.16990
21   8 0.07031 0.15480
22   8 0.08026 0.14100
23   9 0.09003 0.12850
24  11 0.10200 0.11710
25  13 0.11630 0.10670
26  13 0.13270 0.09720
27  14 0.14810 0.08856
28  16 0.16150 0.08069
29  16 0.17400 0.07353
30  17 0.18460 0.06699
31  19 0.19610 0.06104
32  21 0.21070 0.05562
33  22 0.22560 0.05068
34  23 0.23810 0.04618
35  22 0.24810 0.04207
36  23 0.25680 0.03834
37  28 0.26640 0.03493
38  29 0.27520 0.03183
39  30 0.28450 0.02900
40  30 0.29210 0.02642
41  31 0.29870 0.02408
42  36 0.30560 0.02194
43  38 0.31470 0.01999
44  43 0.32740 0.01821
45  47 0.34230 0.01659
46  50 0.36080 0.01512
47  51 0.37790 0.01378
48  54 0.39690 0.01255
49  58 0.41280 0.01144
50  60 0.42700 0.01042
51  63 0.44040 0.00950
52  64 0.45210 0.00865
53  64 0.46180 0.00788
54  66 0.47030 0.00718
55  66 0.47820 0.00654
56  67 0.48490 0.00596
57  67 0.49160 0.00543
58  69 0.49780 0.00495
59  71 0.50310 0.00451
60  72 0.50800 0.00411
61  73 0.51240 0.00375
62  76 0.51700 0.00341
63  74 0.52110 0.00311
64  75 0.52500 0.00283
65  76 0.52800 0.00258
66  78 0.53070 0.00235
67  81 0.53420 0.00214
68  82 0.53780 0.00195
69  84 0.54180 0.00178
70  83 0.54490 0.00162
71  85 0.54790 0.00148
72  85 0.55060 0.00135
73  85 0.55300 0.00123
74  86 0.55500 0.00112
75  88 0.55670 0.00102
76  88 0.55820 0.00093
77  87 0.55940 0.00085
78  88 0.56050 0.00077
79  89 0.56130 0.00070
80  91 0.56220 0.00064
81  91 0.56290 0.00058
82  91 0.56340 0.00053
83  91 0.56390 0.00048
84  91 0.56430 0.00044
85  92 0.56470 0.00040
86  92 0.56500 0.00037
87  92 0.56520 0.00033
88  92 0.56540 0.00030
89  92 0.56560 0.00028
90  91 0.56580 0.00025
91  91 0.56590 0.00023
92  91 0.56600 0.00021
93  91 0.56610 0.00019
94  91 0.56620 0.00017
95  91 0.56620 0.00016
96  91 0.56630 0.00014
97  91 0.56630 0.00013
98  91 0.56630 0.00012
99  91 0.56640 0.00011
100 91 0.56640 0.00010
