
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 5.8120
2     1 0.00385 5.2950
3     1 0.00773 4.8250
4     2 0.01165 4.3960
5     2 0.01832 4.0060
6     2 0.02494 3.6500
7     2 0.03147 3.3260
8     4 0.03917 3.0300
9     4 0.04831 2.7610
10    5 0.05720 2.5160
11   10 0.06951 2.2920
12   13 0.08490 2.0890
13   16 0.10230 1.9030
14   20 0.12050 1.7340
15   30 0.13930 1.5800
16   33 0.15860 1.4400
17   36 0.17840 1.3120
18   47 0.19760 1.1950
19   52 0.21800 1.0890
20   53 0.23770 0.9923
21   55 0.25600 0.9041
22   58 0.27300 0.8238
23   58 0.28880 0.7506
24   63 0.30390 0.6839
25   64 0.31960 0.6232
26   66 0.33480 0.5678
27   66 0.34890 0.5174
28   67 0.36180 0.4714
29   78 0.37390 0.4295
30   83 0.38590 0.3914
31   96 0.39730 0.3566
32   99 0.40900 0.3249
33   99 0.41970 0.2961
34  101 0.42970 0.2698
35  105 0.43930 0.2458
36  108 0.44850 0.2240
37  108 0.45700 0.2041
38  108 0.46480 0.1859
39  110 0.47220 0.1694
40  111 0.47910 0.1544
41  112 0.48550 0.1407
42  112 0.49130 0.1282
43  113 0.49660 0.1168
44  111 0.50140 0.1064
45  113 0.50600 0.0970
46  114 0.51020 0.0883
47  114 0.51430 0.0805
48  116 0.51810 0.0733
49  116 0.52190 0.0668
50  118 0.52530 0.0609
51  119 0.52850 0.0555
52  119 0.53160 0.0506
53  119 0.53450 0.0461
54  120 0.53720 0.0420
55  121 0.53970 0.0382
56  120 0.54190 0.0348
57  120 0.54390 0.0318
58  120 0.54570 0.0289
59  121 0.54750 0.0264
60  121 0.54910 0.0240
61  121 0.55060 0.0219
62  122 0.55190 0.0199
63  122 0.55320 0.0182
64  122 0.55430 0.0166
65  122 0.55530 0.0151
66  123 0.55630 0.0137
67  123 0.55720 0.0125
68  123 0.55810 0.0114
69  125 0.55880 0.0104
70  125 0.55960 0.0095
71  124 0.56020 0.0086
72  124 0.56080 0.0079
73  125 0.56140 0.0072
74  125 0.56190 0.0065
75  125 0.56240 0.0059
76  125 0.56280 0.0054
77  125 0.56320 0.0049
78  125 0.56360 0.0045
79  125 0.56390 0.0041
80  125 0.56420 0.0037
81  125 0.56450 0.0034
82  125 0.56470 0.0031
83  125 0.56500 0.0028
84  125 0.56510 0.0026
85  124 0.56530 0.0023
86  125 0.56550 0.0021
87  125 0.56560 0.0019
88  125 0.56570 0.0018
89  125 0.56580 0.0016
90  125 0.56590 0.0015
91  125 0.56600 0.0013
92  125 0.56610 0.0012
93  125 0.56610 0.0011
94  125 0.56620 0.0010
95  125 0.56620 0.0009
96  125 0.56630 0.0008
97  125 0.56630 0.0008
98  125 0.56640 0.0007
99  125 0.56640 0.0006
100 125 0.56640 0.0006
