
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 106.100
2    1 0.01065  96.690
3    1 0.01952  88.100
4    1 0.02690  80.270
5    1 0.03303  73.140
6    1 0.03814  66.650
7    1 0.04239  60.720
8    1 0.04592  55.330
9    1 0.04886  50.410
10   1 0.05130  45.940
11   1 0.05333  41.860
12   1 0.05501  38.140
13   1 0.05642  34.750
14   1 0.05758  31.660
15   1 0.05855  28.850
16   1 0.05935  26.290
17   1 0.06002  23.950
18   1 0.06058  21.820
19   1 0.06104  19.880
20   1 0.06142  18.120
21   1 0.06174  16.510
22   1 0.06200  15.040
23   1 0.06222  13.710
24   2 0.06254  12.490
25   2 0.06295  11.380
26   3 0.06331  10.370
27   3 0.06498   9.447
28   3 0.06627   8.608
29   3 0.06733   7.843
30   3 0.06824   7.146
31   3 0.06900   6.511
32   2 0.06953   5.933
33   2 0.06977   5.406
34   4 0.07037   4.926
35   5 0.07288   4.488
36   5 0.07560   4.089
37   5 0.07789   3.726
38   5 0.07980   3.395
39   5 0.08140   3.093
40   5 0.08273   2.819
41   5 0.08385   2.568
42   5 0.08478   2.340
43   6 0.08568   2.132
44   6 0.08648   1.943
45   6 0.08712   1.770
46   6 0.08766   1.613
47   6 0.08811   1.470
48   8 0.08848   1.339
49   9 0.08883   1.220
50   9 0.08972   1.112
51   9 0.09039   1.013
52  10 0.09094   0.923
53  10 0.09147   0.841
54  10 0.09193   0.766
55  10 0.09231   0.698
56  10 0.09262   0.636
57  11 0.09289   0.580
58  11 0.09311   0.528
59  12 0.09333   0.481
60  13 0.09355   0.438
61  14 0.09375   0.400
62  15 0.09426   0.364
63  16 0.09475   0.332
64  16 0.09519   0.302
65  14 0.09564   0.275
66  14 0.09589   0.251
67  14 0.09614   0.229
68  16 0.09633   0.208
69  16 0.09654   0.190
70  16 0.09671   0.173
71  16 0.09686   0.158
72  16 0.09699   0.144
73  17 0.09711   0.131
74  17 0.09723   0.119
75  17 0.09733   0.109
76  18 0.09741   0.099
77  19 0.09748   0.090
78  20 0.09755   0.082
79  20 0.09763   0.075
80  20 0.09769   0.068
81  20 0.09774   0.062
82  22 0.09777   0.057
83  22 0.09782   0.052
84  22 0.09785   0.047
85  22 0.09788   0.043
86  22 0.09790   0.039
87  22 0.09792   0.036
88  22 0.09794   0.032
89  22 0.09795   0.030
90  22 0.09797   0.027
91  22 0.09798   0.025
92  22 0.09798   0.022
93  23 0.09799   0.020
94  23 0.09800   0.019
95  24 0.09800   0.017
96  24 0.09801   0.015
97  25 0.09801   0.014
98  25 0.09801   0.013
99  26 0.09802   0.012
100 27 0.09802   0.011
